expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-8.200000000000000000e+01,1.853028821945190430e+01,1.005637711235379594e+00,9.300000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.228965044021606445e+00,2.212492844043753015e-01,2.200000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+01,8.058184146881103516e+00,3.390758866423532192e-01,4.100000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.230055093765258789e+00,2.388961855779874466e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.237817049026489258e+00,3.314781775841741940e-01,2.700000000000000000e+01
0.000000000000000000e+00,-7.800000000000000000e+01,1.772393298149108887e+01,9.779115988248183733e-01,8.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001054596900939941e+01,1.771076375698757754e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001309394836425781e+01,1.833495101964300433e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001363015174865723e+01,1.481747430840400837e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001152300834655762e+01,1.396153348145555029e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.600000000000000000e+01,7.277446031570434570e+00,4.904901369636625041e-01,3.700000000000000000e+01
0.000000000000000000e+00,-7.900000000000000000e+01,1.799231696128845215e+01,8.951474360707301070e-01,9.000000000000000000e+01
0.000000000000000000e+00,-1.050000000000000000e+02,2.324967384338378906e+01,9.198553881304568636e-01,1.160000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012134885787963867e+01,1.274146203281582013e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012297296524047852e+01,1.197100329546477049e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012304687500000000e+01,1.724312242061319278e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+01,6.066374063491821289e+00,2.476011333443680906e-01,3.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012076401710510254e+01,1.644035946952364657e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.800000000000000000e+01,1.172822999954223633e+01,4.125555986046128831e-01,5.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011618804931640625e+01,1.351594884754897530e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012192201614379883e+01,1.121822733680656548e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011897087097167969e+01,1.331705358728174859e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.600000000000000000e+01,1.132303786277770996e+01,5.046465621763218667e-01,5.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012436509132385254e+01,1.127554483332215307e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012108087539672852e+01,1.466532759503086814e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011812710762023926e+01,1.763161182386373094e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.051476693153381348e+01,6.182186829481464141e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011871981620788574e+01,1.689494366202534792e+00,1.500000000000000000e+02
