human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-3.446570110587351965e-01,1.723166772964598858e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.475995804251399979e-01,1.725434062016472370e-01,-3.545792168405365735e-02,5.088994010513839261e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.475995804251399979e-01,1.725434062016472370e-01,-3.545792168405365735e-02,5.088994010513839261e-03,-3.532118351600038175e-01,1.759047008905595122e-01,-7.566829000125483567e-03,2.831708253560057467e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.532118351600038175e-01,1.759047008905595122e-01,-7.566829000125483567e-03,2.831708253560057467e-02,-3.505417821308899340e-01,1.832875805958320836e-01,3.332390413463194589e-02,4.605417178289295671e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.505417821308899340e-01,1.832875805958320836e-01,3.332390413463194589e-02,4.605417178289295671e-02,-3.459328383315524169e-01,1.946228879553306701e-01,5.518991403149885872e-03,6.732300480264022391e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.459328383315524169e-01,1.946228879553306701e-01,5.518991403149885872e-03,6.732300480264022391e-02,-3.460414696574547477e-01,2.100643387412217400e-01,-1.119865414856467374e-03,8.722492849151425309e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.460414696574547477e-01,2.100643387412217400e-01,-1.119865414856467374e-03,8.722492849151425309e-02,-3.431963659416537027e-01,2.286306862651286409e-01,3.289962567516254571e-02,8.832818182949002395e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.431963659416537027e-01,2.286306862651286409e-01,3.289962567516254571e-02,8.832818182949002395e-02,-3.384608610760945213e-01,2.443431432601130271e-01,5.618927049887913368e-03,6.877756380511891587e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.384608610760945213e-01,2.443431432601130271e-01,5.618927049887913368e-03,6.877756380511891587e-02,-3.359603591729673489e-01,2.563595164635910639e-01,3.057835801470639228e-02,4.824539487555168371e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.359603591729673489e-01,2.563595164635910639e-01,3.057835801470639228e-02,4.824539487555168371e-02,-3.316487039745570353e-01,2.638679613565691473e-01,3.378780905412076974e-03,2.742787233501963948e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.316487039745570353e-01,2.638679613565691473e-01,3.378780905412076974e-03,2.742787233501963948e-02,-3.322131614996251536e-01,2.673575706025009269e-01,-4.291733872874507749e-03,5.996637061205178053e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.322131614996251536e-01,2.673575706025009269e-01,-4.291733872874507749e-03,5.996637061205178053e-03,-3.299496318297879816e-01,2.668446699978203607e-01,3.222285459740324709e-02,-1.149521883209560398e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.299496318297879816e-01,2.668446699978203607e-01,3.222285459740324709e-02,-1.149521883209560398e-02,-3.195646293397129134e-01,2.622704704505977591e-01,7.324405569302798458e-02,-3.005999719599896161e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.195646293397129134e-01,2.622704704505977591e-01,7.324405569302798458e-02,-3.005999719599896161e-02,-3.042083964530442053e-01,2.559725371510716552e-01,7.831372797730416779e-02,-2.405238697843972012e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.042083964530442053e-01,2.559725371510716552e-01,7.831372797730416779e-02,-2.405238697843972012e-02,-2.852709308001405986e-01,2.533388307982030185e-01,1.104517527919151587e-01,-2.856659773827539914e-03,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.852709308001405986e-01,2.533388307982030185e-01,1.104517527919151587e-01,-2.856659773827539914e-03,-2.649091557193064550e-01,2.545281522314531419e-01,8.200513305123141583e-02,6.816999821787634271e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.649091557193064550e-01,2.545281522314531419e-01,8.200513305123141583e-02,6.816999821787634271e-03,-2.464748690832611056e-01,2.539418942978755589e-01,1.108348885663678340e-01,-1.404089622472673785e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.464748690832611056e-01,2.539418942978755589e-01,1.108348885663678340e-01,-1.404089622472673785e-02,-2.261694467250554563e-01,2.495863253480585520e-01,8.247830782694151597e-02,-2.210138652301447612e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.261694467250554563e-01,2.495863253480585520e-01,8.247830782694151597e-02,-2.210138652301447612e-02,-2.108070870505829308e-01,2.471326940427272245e-01,7.764503996311808431e-02,-2.585356685828666887e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.108070870505829308e-01,2.471326940427272245e-01,7.764503996311808431e-02,-2.585356685828666887e-03,-1.983949424680184481e-01,2.487198986482018759e-01,4.299267900792805991e-02,1.810679614485161473e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.983949424680184481e-01,2.487198986482018759e-01,4.299267900792805991e-02,1.810679614485161473e-02,-1.879030291413888443e-01,2.545577844690475322e-01,7.004113828060372360e-02,3.833387449578874034e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.879030291413888443e-01,2.545577844690475322e-01,7.004113828060372360e-02,3.833387449578874034e-02,-1.719667677364835612e-01,2.618265076331976471e-01,8.698577096225620225e-04,3.409583716572332779e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.719667677364835612e-01,2.618265076331976471e-01,8.698577096225620225e-04,3.409583716572332779e-02,-1.751390766987744319e-01,2.653388874243206019e-01,-3.537824557737744013e-02,7.920529195696735664e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.751390766987744319e-01,2.653388874243206019e-01,-3.537824557737744013e-02,7.920529195696735664e-03,-1.861026123777147212e-01,2.647891669515878288e-01,-7.472589306503074624e-02,-1.346450099909445551e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.861026123777147212e-01,2.647891669515878288e-01,-7.472589306503074624e-02,-1.346450099909445551e-02,-1.990409618264841196e-01,2.607830058930899475e-01,-4.489301045597861306e-02,-1.880079219910439289e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.990409618264841196e-01,2.607830058930899475e-01,-4.489301045597861306e-02,-1.880079219910439289e-02,-2.071502358313828396e-01,2.593710129698950095e-01,-3.858689457687786845e-02,3.547492616010982855e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.071502358313828396e-01,2.593710129698950095e-01,-3.858689457687786845e-02,3.547492616010982855e-03,-2.178905184453008848e-01,2.620802282741750422e-01,-7.189112147983679757e-02,2.344629219747838833e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.178905184453008848e-01,2.620802282741750422e-01,-7.189112147983679757e-02,2.344629219747838833e-02,-2.364276627565297662e-01,2.664872179746889946e-01,-1.119445166313642326e-01,1.328019002342574473e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.364276627565297662e-01,2.664872179746889946e-01,-1.119445166313642326e-01,1.328019002342574473e-02,-2.570713772307848255e-01,2.672647960465306394e-01,-8.491792591126534617e-02,-3.115974278018121416e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.570713772307848255e-01,2.672647960465306394e-01,-8.491792591126534617e-02,-3.115974278018121416e-04,-2.757733100153481609e-01,2.670359067316923074e-01,-1.132728280477485472e-01,-2.240170348490867769e-03,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.757733100153481609e-01,2.670359067316923074e-01,-1.132728280477485472e-01,-2.240170348490867769e-03,-3.036575508834151726e-01,2.661349148849250779e-01,-1.549170969537937148e-01,-1.193905705256237577e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.036575508834151726e-01,2.661349148849250779e-01,-1.549170969537937148e-01,-1.193905705256237577e-02,-3.325111260191528362e-01,2.616969155832000182e-01,-1.270141182009313086e-01,-3.189915737666620954e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.325111260191528362e-01,2.616969155832000182e-01,-1.270141182009313086e-01,-3.189915737666620954e-02,-3.594689109371912994e-01,2.542454504197576570e-01,-1.353146250447101462e-01,-3.211132641753616096e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.594689109371912994e-01,2.542454504197576570e-01,-1.353146250447101462e-01,-3.211132641753616096e-02,-3.566618650192899809e-01,2.500169289312751397e-01,3.286516013041259482e-02,-1.176917976524492759e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.566618650192899809e-01,2.500169289312751397e-01,3.286516013041259482e-02,-1.176917976524492759e-02,-3.457279721215526513e-01,2.498868026790897201e-01,7.713213716702937983e-02,7.780230145887576283e-03,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.457279721215526513e-01,2.498868026790897201e-01,7.713213716702937983e-02,7.780230145887576283e-03,-3.327235014019770398e-01,2.534852804920154634e-01,4.730447782096616760e-02,1.973201970960315743e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.327235014019770398e-01,2.534852804920154634e-01,4.730447782096616760e-02,1.973201970960315743e-02,-3.242922387001602180e-01,2.555677463487749379e-01,3.910556788396654659e-02,-4.152671022271962518e-04,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.242922387001602180e-01,2.555677463487749379e-01,3.910556788396654659e-02,-4.152671022271962518e-04,-3.132753394402840730e-01,2.534117227316897702e-01,7.317554215648805482e-02,-2.036722219819370877e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.132753394402840730e-01,2.534117227316897702e-01,7.317554215648805482e-02,-2.036722219819370877e-02,-3.003258522491112359e-01,2.511593509991549289e-01,4.610970611386536189e-02,-1.488049173536734431e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.003258522491112359e-01,2.511593509991549289e-01,4.610970611386536189e-02,-1.488049173536734431e-03,-2.952415367684785297e-01,2.528943238098125823e-01,7.699748799318323518e-03,1.751938067200963650e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.952415367684785297e-01,2.528943238098125823e-01,7.699748799318323518e-03,1.751938067200963650e-02,-2.951699647000872173e-01,2.577194601543217334e-01,-3.864595565861761629e-05,2.465313286914529167e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.951699647000872173e-01,2.577194601543217334e-01,-3.864595565861761629e-05,2.465313286914529167e-02,-2.951714166584757937e-01,2.607522716208116598e-01,-3.190634124423850047e-04,6.128286444341662573e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.951714166584757937e-01,2.607522716208116598e-01,-3.190634124423850047e-04,6.128286444341662573e-03,-2.981109107574689276e-01,2.596465069502094103e-01,-3.404537124919364277e-02,-1.538336345852596258e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.981109107574689276e-01,2.596465069502094103e-01,-3.404537124919364277e-02,-1.538336345852596258e-02,-3.090475275311092562e-01,2.552050463353029430e-01,-7.202952291381913008e-02,-2.045040921978422827e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.090475275311092562e-01,2.552050463353029430e-01,-7.202952291381913008e-02,-2.045040921978422827e-02,-3.250000686223784574e-01,2.533397750591619979e-01,-7.919499539265856258e-02,9.875312037410956516e-04,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.250000686223784574e-01,2.533397750591619979e-01,-7.919499539265856258e-02,9.875312037410956516e-04,-3.439398132177275969e-01,2.555243421381807600e-01,-1.142095628138920932e-01,2.045665891143695972e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.439398132177275969e-01,2.555243421381807600e-01,-1.142095628138920932e-01,2.045665891143695972e-02,-3.583455662476906500e-01,2.613538967440049432e-01,1.569362111330286150e-02,3.256254402787676222e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.583455662476906500e-01,2.613538967440049432e-01,1.569362111330286150e-02,3.256254402787676222e-02,-3.569313756653409442e-01,2.660609133762631417e-01,-1.510301917572339989e-02,1.159673034129990628e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.569313756653409442e-01,2.660609133762631417e-01,-1.510301917572339989e-02,1.159673034129990628e-02,-3.579840113465450058e-01,2.663986244355593391e-01,9.865921860997238502e-03,-9.964576058923061905e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.579840113465450058e-01,2.663986244355593391e-01,9.865921860997238502e-03,-9.964576058923061905e-03,-3.574687112376236930e-01,2.626599073976215171e-01,-1.677480033540090787e-02,-2.818064996294656482e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.574687112376236930e-01,2.626599073976215171e-01,-1.677480033540090787e-02,-2.818064996294656482e-02,-3.591043369956164466e-01,2.562871663103488684e-01,7.672404804596174265e-03,-2.473033912138673102e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.591043369956164466e-01,2.562871663103488684e-01,7.672404804596174265e-03,-2.473033912138673102e-02,-3.562234337631470238e-01,2.533086972341230814e-01,1.520352075188961989e-02,-4.428723967897730575e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.562234337631470238e-01,2.533086972341230814e-01,1.520352075188961989e-02,-4.428723967897730575e-03,-3.562110522472483609e-01,2.543186514815166666e-01,-2.028708837076002164e-02,1.379747689320529914e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.562110522472483609e-01,2.543186514815166666e-01,-2.028708837076002164e-02,1.379747689320529914e-02,-3.563984238247740466e-01,2.595189232174240357e-01,2.191782074981595181e-04,3.604504448593161270e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.563984238247740466e-01,2.595189232174240357e-01,2.191782074981595181e-04,3.604504448593161270e-02,-3.563625537090906459e-01,2.651165330285833455e-01,1.334177176297268426e-04,1.894498123182952048e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.563625537090906459e-01,2.651165330285833455e-01,1.334177176297268426e-04,1.894498123182952048e-02,-3.563635994712356925e-01,2.666525433817103496e-01,-1.437764906952789575e-03,-2.347590915433642178e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.563635994712356925e-01,2.666525433817103496e-01,-1.437764906952789575e-03,-2.347590915433642178e-03,-3.563455956978643369e-01,2.642857030518210859e-01,6.030223275951954783e-04,-2.255448337396851258e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.563455956978643369e-01,2.642857030518210859e-01,6.030223275951954783e-04,-2.255448337396851258e-02,-3.563437654511098507e-01,2.578299388553295102e-01,2.160272749690630729e-04,-4.184711153950476659e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.563437654511098507e-01,2.578299388553295102e-01,2.160272749690630729e-04,-4.184711153950476659e-02,-3.563189904411308007e-01,2.507720901658557211e-01,2.001735970432236668e-04,-2.430075044599867146e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.563189904411308007e-01,2.507720901658557211e-01,2.001735970432236668e-04,-2.430075044599867146e-02,-3.562769219627692219e-01,2.481164001253413909e-01,-2.278311571885058040e-05,-3.140516538713191124e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.562769219627692219e-01,2.481164001253413909e-01,-2.278311571885058040e-05,-3.140516538713191124e-03,-3.562942782098580397e-01,2.493736823907698741e-01,-9.450397673074015931e-04,1.642744035598470501e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.562942782098580397e-01,2.493736823907698741e-01,-9.450397673074015931e-04,1.642744035598470501e-02,-3.533089127231663351e-01,2.547011683727847253e-01,3.384922663911101720e-02,3.657120088195141977e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.533089127231663351e-01,2.547011683727847253e-01,3.384922663911101720e-02,3.657120088195141977e-02,-3.423407938527984751e-01,2.600997303763274426e-01,7.568897092406839944e-02,1.780997898513058189e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.423407938527984751e-01,2.600997303763274426e-01,7.568897092406839944e-02,1.780997898513058189e-02,-3.234025486496913127e-01,2.613577514789895417e-01,1.148865219495389667e-01,-2.918719266284544069e-03,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.234025486496913127e-01,2.613577514789895417e-01,1.148865219495389667e-01,-2.918719266284544069e-03,-2.951378891706311625e-01,2.586160546278481465e-01,1.580428594859609459e-01,-1.622999471536853977e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.951378891706311625e-01,2.586160546278481465e-01,1.580428594859609459e-01,-1.622999471536853977e-02,-2.658764410783164833e-01,2.574678768944246854e-01,1.274098904755210371e-01,3.817970350826475467e-03,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.658764410783164833e-01,2.574678768944246854e-01,1.274098904755210371e-01,3.817970350826475467e-03,-2.444947352275364250e-01,2.600884214628532698e-01,8.928020705434665250e-02,1.432936561539397378e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.444947352275364250e-01,2.600884214628532698e-01,8.928020705434665250e-02,1.432936561539397378e-02,-2.251271916541617568e-01,2.608927786399150572e-01,1.151010513952945846e-01,-6.309554139257826828e-03,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.251271916541617568e-01,2.608927786399150572e-01,1.151010513952945846e-01,-6.309554139257826828e-03,-2.008947486868957744e-01,2.576159396918369926e-01,1.212232592811501863e-01,-2.553704554438970126e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.008947486868957744e-01,2.576159396918369926e-01,1.212232592811501863e-01,-2.553704554438970126e-02,-1.736981747785176222e-01,2.541010228603104437e-01,1.554419838866779313e-01,-8.851950245684841317e-03,2.000000000000000042e-02,2.000000000000000111e-01
