expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001381397247314453e+01,2.387720086326304614e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.900000000000000000e+01,1.792803812026977539e+01,1.238196643435055755e+00,9.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001239514350891113e+01,2.000171506923260623e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001431894302368164e+01,2.236054383078096119e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001097393035888672e+01,2.124647133719454573e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.400000000000000000e+01,1.289199113845825195e+01,6.879649724640062303e-01,6.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001294398307800293e+01,2.001648424365586099e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001164722442626953e+01,2.074479265822493979e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001518607139587402e+01,1.853400570113091117e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+00,2.216177940368652344e+00,7.586059212851579969e-02,1.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012286496162414551e+01,2.339236719399607978e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012201285362243652e+01,2.004040672125513733e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.240000000000000000e+02,2.708888602256774902e+01,2.079133535621346507e+00,1.350000000000000000e+02
0.000000000000000000e+00,-7.300000000000000000e+01,1.677545619010925293e+01,1.361764089143589374e+00,8.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011436486244201660e+01,1.805452525862279334e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012360477447509766e+01,1.850236997983822018e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012375211715698242e+01,1.782966141201628218e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012172579765319824e+01,1.821106897624743981e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011824607849121094e+01,2.118757933752537514e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011752510070800781e+01,1.973270779835705868e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011975789070129395e+01,1.675447241750497973e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011877894401550293e+01,1.902012269294456770e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012479019165039062e+01,1.671561276896926129e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011970496177673340e+01,1.788463171308467770e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011478185653686523e+01,1.976015456195313380e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011873006820678711e+01,1.920158287986833745e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012109088897705078e+01,2.195154693405961588e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011514091491699219e+01,1.887379177247284989e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011685800552368164e+01,2.217133449232405518e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+00,3.842056035995483398e+00,1.994293066524709668e-01,2.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012315487861633301e+01,1.751142997830111181e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012120699882507324e+01,2.269537328643880247e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.400000000000000000e+01,6.874665975570678711e+00,4.245156618032447926e-01,3.500000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.618131160736083984e+00,8.433126389001095735e-02,9.000000000000000000e+00
0.000000000000000000e+00,-1.500000000000000000e+02,3.011816000938415527e+01,2.235606019215872653e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012132501602172852e+01,1.829324467572901014e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011856508255004883e+01,1.865664769429335124e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011639904975891113e+01,2.046663664048057552e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.700000000000000000e+01,1.556827402114868164e+01,1.342594065902791955e+00,7.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012175989151000977e+01,1.469661622099114107e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.000000000000000000e+00,3.437113046646118164e+00,1.542798622742397319e-01,1.800000000000000000e+01
0.000000000000000000e+00,-6.900000000000000000e+01,1.597189903259277344e+01,9.959673785138042357e-01,8.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012092709541320801e+01,1.760652177824615139e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.400000000000000000e+01,2.102750897407531738e+01,1.056859588693564334e+00,1.050000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012046909332275391e+01,1.696776842429066789e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011481499671936035e+01,1.933618490167056336e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.040000000000000000e+02,2.304566693305969238e+01,1.609221191695273889e+00,1.150000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011998105049133301e+01,1.996675555173075711e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.200000000000000000e+02,2.627925920486450195e+01,1.765168715234948005e+00,1.310000000000000000e+02
0.000000000000000000e+00,-3.200000000000000000e+01,8.492581129074096680e+00,5.829490802978650743e-01,4.300000000000000000e+01
