human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-1.844695620988598961e-01,1.739000625648617349e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.813067602738661632e-01,1.743422884847188881e-01,3.495497682175888188e-02,1.011147276475670743e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.813067602738661632e-01,1.743422884847188881e-01,3.495497682175888188e-02,1.011147276475670743e-02,-1.763965248443647438e-01,1.783072651146503651e-01,4.705920612458336372e-03,3.081388440273730503e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.763965248443647438e-01,1.783072651146503651e-01,4.705920612458336372e-03,3.081388440273730503e-02,-1.734067261351047162e-01,1.862460662495455388e-01,-1.335519716038206621e-02,4.933719998265186785e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.734067261351047162e-01,1.862460662495455388e-01,-1.335519716038206621e-02,4.933719998265186785e-02,-1.735498015694144081e-01,1.989109245390682235e-01,-2.350016605483541145e-04,7.025432628117987688e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.735498015694144081e-01,1.989109245390682235e-01,-2.350016605483541145e-04,7.025432628117987688e-02,-1.734089018553090500e-01,2.151293789415127389e-01,-6.611457292220482241e-04,9.123173343198945351e-02,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.734089018553090500e-01,2.151293789415127389e-01,-6.611457292220482241e-04,9.123173343198945351e-02,-1.732778541004506012e-01,2.339808543545327524e-01,9.356288965299442307e-04,9.473121351998289863e-02,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.732778541004506012e-01,2.339808543545327524e-01,9.356288965299442307e-04,9.473121351998289863e-02,-1.763078343434578976e-01,2.529019393049238285e-01,-3.478744789977803592e-02,9.117703084886030762e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.763078343434578976e-01,2.529019393049238285e-01,-3.478744789977803592e-02,9.117703084886030762e-02,-1.874598252724682390e-01,2.691349058949925044e-01,-7.829171141256362210e-02,6.798405774433094462e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.874598252724682390e-01,2.691349058949925044e-01,-7.829171141256362210e-02,6.798405774433094462e-02,-2.012445070820810811e-01,2.816253410787490363e-01,-4.601535704863070342e-02,5.073255269158920278e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.012445070820810811e-01,2.816253410787490363e-01,-4.601535704863070342e-02,5.073255269158920278e-02,-2.127026733399251524e-01,2.896208673978795667e-01,-7.614541819941737788e-02,2.885095373151435813e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.127026733399251524e-01,2.896208673978795667e-01,-7.614541819941737788e-02,2.885095373151435813e-02,-2.290690542626766524e-01,2.935681522188529624e-01,-8.302074822796932929e-02,9.791460368428690428e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.290690542626766524e-01,2.935681522188529624e-01,-8.302074822796932929e-02,9.791460368428690428e-03,-2.484949908712486555e-01,2.934756849185747862e-01,-1.164265103918295796e-01,-1.057610617251728176e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.484949908712486555e-01,2.934756849185747862e-01,-1.164265103918295796e-01,-1.057610617251728176e-02,-2.728740649654026740e-01,2.893077418466681872e-01,-1.221653158359511243e-01,-3.097893987343965094e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.728740649654026740e-01,2.893077418466681872e-01,-1.221653158359511243e-01,-3.097893987343965094e-02,-2.940868077780720569e-01,2.812210464929407738e-01,-8.590413938231421243e-02,-4.968595020770030096e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.940868077780720569e-01,2.812210464929407738e-01,-8.590413938231421243e-02,-4.968595020770030096e-02,-3.075662220845015726e-01,2.686581894425594808e-01,-4.348810882733331745e-02,-7.057990866246953432e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.075662220845015726e-01,2.686581894425594808e-01,-4.348810882733331745e-02,-7.057990866246953432e-02,-3.185185957409977231e-01,2.525226337326278436e-01,-7.389564885729435484e-02,-9.236877408248447829e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.185185957409977231e-01,2.525226337326278436e-01,-7.389564885729435484e-02,-9.236877408248447829e-02,-3.344391791299716754e-01,2.322725253611697960e-01,-7.937974188455880487e-02,-1.099700373099092299e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.344391791299716754e-01,2.322725253611697960e-01,-7.937974188455880487e-02,-1.099700373099092299e-01,-3.534982714878847077e-01,2.123729768024023301e-01,-1.149327048050024364e-01,-9.036504284251184460e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.534982714878847077e-01,2.123729768024023301e-01,-1.149327048050024364e-01,-9.036504284251184460e-02,-3.556959605254008672e-01,1.966625556525351537e-01,3.441434800963858592e-02,-6.770037052350774687e-02,2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.556959605254008672e-01,1.966625556525351537e-01,3.441434800963858592e-02,-6.770037052350774687e-02,-3.483046262173914442e-01,1.850051003684118345e-01,3.734238937158664007e-02,-4.866919189970975862e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.483046262173914442e-01,1.850051003684118345e-01,3.734238937158664007e-02,-4.866919189970975862e-02,-3.405144882173478105e-01,1.749797718152065473e-01,3.705307415241715363e-02,-4.975307976652176140e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.405144882173478105e-01,1.749797718152065473e-01,3.705307415241715363e-02,-4.975307976652176140e-02,-3.362878812150086882e-01,1.652210306244869531e-01,2.514612913351901759e-03,-4.907584838603025468e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.362878812150086882e-01,1.652210306244869531e-01,2.514612913351901759e-03,-4.907584838603025468e-02,-3.400862075751504010e-01,1.615132609113786033e-01,-4.140379047254728884e-02,-1.370290497105571687e-03,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.400862075751504010e-01,1.615132609113786033e-01,-4.140379047254728884e-02,-1.370290497105571687e-03,-3.487170503922050191e-01,1.615384628528853395e-01,-4.370983541563025487e-02,7.367680463788961974e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-3.487170503922050191e-01,1.615384628528853395e-01,-4.370983541563025487e-02,7.367680463788961974e-05,-3.542464108075650264e-01,1.615694750848842565e-01,-6.324901809464376565e-03,2.987397688142298495e-04,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.542464108075650264e-01,1.615694750848842565e-01,-6.324901809464376565e-03,2.987397688142298495e-04,-3.545908324961026814e-01,1.617739048395630819e-01,-1.267863598146867690e-03,9.427018612854890650e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.545908324961026814e-01,1.617739048395630819e-01,-1.267863598146867690e-03,9.427018612854890650e-03,-3.549182043093996874e-01,1.653011666727353390e-01,-2.020783841301867102e-03,2.709381671730621416e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.549182043093996874e-01,1.653011666727353390e-01,-2.020783841301867102e-03,2.709381671730621416e-02,-3.520390521965102160e-01,1.728304706935094026e-01,3.099374056969500177e-02,4.906584145885382192e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.520390521965102160e-01,1.728304706935094026e-01,3.099374056969500177e-02,4.906584145885382192e-02,-3.443115087254628448e-01,1.842650842906793374e-01,4.033407933639109044e-02,6.797945336002246541e-02,2.000000000000000042e-02,0.000000000000000000e+00
