expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.010292100906372070e+01,2.727707741512119366e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.009780001640319824e+01,2.589593998404658315e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010443806648254395e+01,2.558172064977932259e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010814595222473145e+01,2.499769508315967226e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011325216293334961e+01,3.327643192690619589e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010689902305603027e+01,2.140268568176317387e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010549092292785645e+01,2.064319388489012752e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010013508796691895e+01,2.519218973968096353e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010710787773132324e+01,2.304510103274615584e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.100000000000000000e+02,2.424887299537658691e+01,1.752177259536036313e+00,1.210000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022030997276306152e+01,1.860440058968610533e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021839594841003418e+01,2.088866619965382032e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022339200973510742e+01,2.529632496672733044e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021272087097167969e+01,2.287188124713275705e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021740388870239258e+01,1.794089681742627285e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021485400199890137e+01,2.078328553018927938e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021266198158264160e+01,1.780879388172374789e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021500205993652344e+01,1.944056484755005698e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021904397010803223e+01,2.071650507208476100e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.160000000000000000e+02,2.555110692977905273e+01,1.607028284820972264e+00,1.270000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021715879440307617e+01,1.575199451592632638e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021158504486083984e+01,2.218601489153731343e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021811819076538086e+01,1.899183905259042238e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021267795562744141e+01,1.892894972410577026e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021487498283386230e+01,2.259217921214760949e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021445298194885254e+01,2.204548210500119509e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021884393692016602e+01,1.765024636577863237e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.600000000000000000e+01,1.946954107284545898e+01,8.944598672473689227e-01,9.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021441292762756348e+01,2.062491135572138923e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021609401702880859e+01,1.877548536037811910e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021367216110229492e+01,2.290299362029643682e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021382904052734375e+01,1.912574389352041493e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021637201309204102e+01,1.766309223748277368e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021964597702026367e+01,1.990046858959624965e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.230000000000000000e+02,2.696285510063171387e+01,2.251710842277781843e+00,1.340000000000000000e+02
0.000000000000000000e+00,-1.150000000000000000e+02,2.534663701057434082e+01,1.564372720237928727e+00,1.260000000000000000e+02
0.000000000000000000e+00,-4.100000000000000000e+01,1.034289097785949707e+01,6.808059149610403704e-01,5.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021206021308898926e+01,1.805905163275250525e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021342086791992188e+01,1.707336560520849922e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.000000000000000000e+00,2.636829137802124023e+00,1.853540646870034392e-01,1.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021510100364685059e+01,1.624410798724843064e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.220000000000000000e+02,2.677186107635498047e+01,1.826121278825305838e+00,1.330000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021366286277770996e+01,2.217510640642613051e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.200000000000000000e+01,4.462524890899658203e+00,3.138168379842278255e-01,2.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021513295173645020e+01,1.776791694013140299e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.300000000000000000e+01,8.720830917358398438e+00,4.067893495480270905e-01,4.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021035909652709961e+01,1.991887953285538249e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021908497810363770e+01,1.607361105444909732e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021760487556457520e+01,1.932811612923915012e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021066904067993164e+01,2.015950827419842106e+00,1.500000000000000000e+02
