human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,1.000000000000000000e+00,-3.396513193868262448e-01,3.276724647948674463e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.366761811767866597e-01,3.276511005234501450e-01,3.405609063841370104e-02,-2.325155978963776228e-04,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.366761811767866597e-01,3.276511005234501450e-01,3.405609063841370104e-02,-2.325155978963776228e-04,-3.317247967280314014e-01,3.271404383121505055e-01,6.669404007952703904e-03,-1.010404472137013676e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.317247967280314014e-01,3.271404383121505055e-01,6.669404007952703904e-03,-1.010404472137013676e-02,-3.345712710237979115e-01,3.231572884514242738e-01,-3.491733010435394552e-02,-3.021163584232242072e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.345712710237979115e-01,3.231572884514242738e-01,-3.491733010435394552e-02,-3.021163584232242072e-02,-3.395316867295471996e-01,3.150853268574559385e-01,-5.021435135970947483e-03,-5.007954346313284177e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.395316867295471996e-01,3.150853268574559385e-01,-5.021435135970947483e-03,-5.007954346313284177e-02,-3.362460107450717661e-01,3.024757537073949343e-01,3.674216681742722979e-02,-7.064191147347365085e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.362460107450717661e-01,3.024757537073949343e-01,3.674216681742722979e-02,-7.064191147347365085e-02,-3.247315400714634315e-01,2.862334664588736532e-01,7.653836510080248845e-02,-9.139719408382644683e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.247315400714634315e-01,2.862334664588736532e-01,7.653836510080248845e-02,-9.139719408382644683e-02,-3.081727256190991415e-01,2.659864721126878884e-01,8.145973392887652376e-02,-1.101124098622077302e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.081727256190991415e-01,2.659864721126878884e-01,8.145973392887652376e-02,-1.101124098622077302e-01,-2.915029005344066393e-01,2.459922804984140954e-01,8.280380255503559661e-02,-9.067978993737058069e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.915029005344066393e-01,2.459922804984140954e-01,8.280380255503559661e-02,-9.067978993737058069e-02,-2.773493175704372926e-01,2.294699245777891694e-01,4.817221389284945948e-02,-6.848600677480620735e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.773493175704372926e-01,2.294699245777891694e-01,4.817221389284945948e-02,-6.848600677480620735e-02,-2.659637510427065310e-01,2.176792579673417216e-01,7.705479872174979261e-02,-4.918227615725039026e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.659637510427065310e-01,2.176792579673417216e-01,7.705479872174979261e-02,-4.918227615725039026e-02,-2.496321167353935666e-01,2.097970090161399015e-01,8.149164202759902331e-02,-2.936207182252683484e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.496321167353935666e-01,2.097970090161399015e-01,8.149164202759902331e-02,-2.936207182252683484e-02,-2.363047408199103472e-01,2.059563513256107703e-01,4.718559979659921189e-02,-9.653163546080395507e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.363047408199103472e-01,2.059563513256107703e-01,4.718559979659921189e-02,-9.653163546080395507e-03,-2.308398885250214638e-01,2.062220087264042545e-01,1.754780033242520770e-03,1.338310825296370153e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.308398885250214638e-01,2.062220087264042545e-01,1.754780033242520770e-03,1.338310825296370153e-02,-2.307561597200087633e-01,2.105819272728322866e-01,3.451240609449953995e-04,3.125650807148702692e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.307561597200087633e-01,2.105819272728322866e-01,3.451240609449953995e-04,3.125650807148702692e-02,-2.307190376224653727e-01,2.189098486043815628e-01,-9.750361736525313535e-04,5.204976000234988465e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.307190376224653727e-01,2.189098486043815628e-01,-9.750361736525313535e-04,5.204976000234988465e-02,-2.276906972057493039e-01,2.318663657233238085e-01,3.706661423353736079e-02,7.164342612791008147e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.276906972057493039e-01,2.318663657233238085e-01,3.706661423353736079e-02,7.164342612791008147e-02,-2.195746688608074815e-01,2.483869423888842021e-01,4.192641671919986046e-02,9.216930390346651791e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.195746688608074815e-01,2.483869423888842021e-01,4.192641671919986046e-02,9.216930390346651791e-02,-2.143142882515821079e-01,2.678025123282470887e-01,7.554449614243316340e-03,9.227819478933273201e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.143142882515821079e-01,2.678025123282470887e-01,7.554449614243316340e-03,9.227819478933273201e-02,-2.170917203555202402e-01,2.843538573096385802e-01,-3.306183705006228435e-02,7.179904235068407248e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.170917203555202402e-01,2.843538573096385802e-01,-3.306183705006228435e-02,7.179904235068407248e-02,-2.225925762140233410e-01,2.971844879909741888e-01,-8.873310217199649463e-03,5.332273719489889069e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.225925762140233410e-01,2.971844879909741888e-01,-8.873310217199649463e-03,5.332273719489889069e-02,-2.229002240660477308e-01,3.055288449761899283e-01,-1.462204579250657790e-03,3.255486569461694263e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.229002240660477308e-01,3.055288449761899283e-01,-1.462204579250657790e-03,3.255486569461694263e-02,-2.261829132268746989e-01,3.098072644682592913e-01,-3.620891929573753082e-02,1.191741423061082501e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.261829132268746989e-01,3.098072644682592913e-01,-3.620891929573753082e-02,1.191741423061082501e-02,-2.374013488036795794e-01,3.100532901605857483e-01,-7.734020749609749057e-02,-8.324496444408434337e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.374013488036795794e-01,3.100532901605857483e-01,-7.734020749609749057e-02,-8.324496444408434337e-03,-2.546479337518500197e-01,3.060334501310784661e-01,-8.410161998937651373e-02,-2.969926135560983088e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.546479337518500197e-01,3.060334501310784661e-01,-8.410161998937651373e-02,-2.969926135560983088e-02,-2.742310166418601147e-01,2.980714472206437149e-01,-1.159942009775355859e-01,-5.109507697447935454e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.742310166418601147e-01,2.980714472206437149e-01,-1.159942009775355859e-01,-5.109507697447935454e-02,-3.017308051577887174e-01,2.859335264932595932e-01,-1.574044473600298144e-01,-7.222087507111540905e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.017308051577887174e-01,2.859335264932595932e-01,-1.574044473600298144e-01,-7.222087507111540905e-02,-3.311997610327700459e-01,2.697835657255462372e-01,-1.286777032325191750e-01,-9.032048026681713249e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.311997610327700459e-01,2.697835657255462372e-01,-1.286777032325191750e-01,-9.032048026681713249e-02,-3.510283407428137492e-01,2.510132633535133717e-01,1.548688102103309809e-02,-8.102052630254696908e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.510283407428137492e-01,2.510132633535133717e-01,1.548688102103309809e-02,-8.102052630254696908e-02,-3.457360088347345428e-01,2.370247635068426229e-01,4.623314083437708027e-02,-5.981474823070614261e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.457360088347345428e-01,2.370247635068426229e-01,4.623314083437708027e-02,-5.981474823070614261e-02,-3.354118240376300353e-01,2.269621429085774134e-01,5.354958262802914787e-02,-4.090797213540403598e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.354118240376300353e-01,2.269621429085774134e-01,5.354958262802914787e-02,-4.090797213540403598e-02,-3.221581840680218245e-01,2.208764910170246676e-01,8.617365966307100056e-02,-2.095192093540782646e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.221581840680218245e-01,2.208764910170246676e-01,8.617365966307100056e-02,-2.095192093540782646e-02,-3.059047693017911129e-01,2.187944274278295631e-01,5.901291279785154248e-02,-6.561087521628644094e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.059047693017911129e-01,2.187944274278295631e-01,5.901291279785154248e-02,-6.561087521628644094e-04,-2.922807156689369856e-01,2.208066024978558028e-01,8.798017687761518213e-02,1.939752437621903788e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.922807156689369856e-01,2.208066024978558028e-01,8.798017687761518213e-02,1.939752437621903788e-02,-2.737926349863571973e-01,2.268201517878508933e-01,9.374549535178977600e-02,3.871355859777592806e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.737926349863571973e-01,2.268201517878508933e-01,9.374549535178977600e-02,3.871355859777592806e-02,-2.551622952237096453e-01,2.367919545948753979e-01,9.212774912087104418e-02,6.045143234763436513e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.551622952237096453e-01,2.367919545948753979e-01,9.212774912087104418e-02,6.045143234763436513e-02,-2.327790660936450706e-01,2.513241028508361175e-01,1.253036910326140452e-01,8.013810075029319246e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.327790660936450706e-01,2.513241028508361175e-01,1.253036910326140452e-01,8.013810075029319246e-02,-2.060453201410446245e-01,2.693430353808499156e-01,1.341233528033267952e-01,1.009764470241187317e-01,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.060453201410446245e-01,2.693430353808499156e-01,1.341233528033267952e-01,1.009764470241187317e-01,-1.821486160085727390e-01,2.904168395700296723e-01,1.016482578241779816e-01,1.007685116919193324e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.821486160085727390e-01,2.904168395700296723e-01,1.016482578241779816e-01,1.007685116919193324e-01,-1.667817214563609429e-01,3.084564800937657503e-01,1.978991251431008649e-03,7.497556649741290991e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.667817214563609429e-01,3.084564800937657503e-01,1.978991251431008649e-03,7.497556649741290991e-02,-1.667300387720421773e-01,3.232192532866510759e-01,-9.641489831476816050e-04,5.972357730938166603e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.667300387720421773e-01,3.232192532866510759e-01,-9.641489831476816050e-04,5.972357730938166603e-02,-1.666584731600050384e-01,3.332740281449769748e-01,-2.357340036514542778e-04,4.073720114173797618e-02,-2.000000000000000042e-02,0.000000000000000000e+00
