expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001518893241882324e+01,2.022908974813857341e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000951385498046875e+01,2.404443356584773372e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001164603233337402e+01,2.201415230848835058e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001306319236755371e+01,1.853545974960358667e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.150000000000000000e+02,2.518068504333496094e+01,1.599296415607557087e+00,1.260000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001230788230895996e+01,1.673876530347550018e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000842380523681641e+01,1.890787992110500859e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.100000000000000000e+01,2.034278011322021484e+01,1.292960321167220261e+00,1.020000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001256895065307617e+01,1.928629492867760753e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001554679870605469e+01,1.773582417338789075e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012917613983154297e+01,1.696545188220915712e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012164688110351562e+01,1.639609448733477803e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011588811874389648e+01,1.479445403585794461e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.100000000000000000e+01,6.270152091979980469e+00,2.753496244518859326e-01,3.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.056152105331420898e+00,2.036886566315738167e-01,2.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012026691436767578e+01,1.689996520488558307e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.500000000000000000e+01,9.098841905593872070e+00,4.991556948945422567e-01,4.600000000000000000e+01
