human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,-1.792019300726784836e-01,2.977434158674700515e-01,3.730007042197829243e-04,-5.719362810673530445e-02,-1.791453148211465951e-01,2.880017157409088258e-01,-4.146559955975961118e-04,-3.762206872984662914e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.791453148211465951e-01,2.880017157409088258e-01,-4.146559955975961118e-04,-3.762206872984662914e-02,-1.791244227686089596e-01,2.827037581746996153e-01,5.881092796857823090e-04,-1.631808048905691866e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.791244227686089596e-01,2.827037581746996153e-01,5.881092796857823090e-04,-1.631808048905691866e-02,-1.791126795357353974e-01,2.814797333897307574e-01,-3.900397316975303102e-03,6.018678059794556855e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.791126795357353974e-01,2.814797333897307574e-01,-3.900397316975303102e-03,6.018678059794556855e-03,-1.791432419855653602e-01,2.841536728223743591e-01,3.308164955242083615e-04,2.304969209737593727e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.791432419855653602e-01,2.841536728223743591e-01,3.308164955242083615e-04,2.304969209737593727e-02,-1.820720894850658411e-01,2.906723003256601046e-01,-3.929331621216265030e-02,3.325446682332883208e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.820720894850658411e-01,2.906723003256601046e-01,-3.929331621216265030e-02,3.325446682332883208e-02,-1.905865755655059557e-01,2.957411279934957227e-01,-4.146150182700347048e-02,1.353065611096034015e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.905865755655059557e-01,2.957411279934957227e-01,-4.146150182700347048e-02,1.353065611096034015e-02,-2.019112315388580936e-01,2.964819901406076652e-01,-7.532321546610476481e-02,-6.716995161184443307e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.019112315388580936e-01,2.964819901406076652e-01,-7.532321546610476481e-02,-6.716995161184443307e-03,-2.210749070033292962e-01,2.931521184363015675e-01,-1.144329646148710411e-01,-2.655342636818783936e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.210749070033292962e-01,2.931521184363015675e-01,-1.144329646148710411e-01,-2.655342636818783936e-02,-2.452801091639414954e-01,2.857933246097421609e-01,-1.218853021355097849e-01,-4.758058516557679696e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.452801091639414954e-01,2.857933246097421609e-01,-1.218853021355097849e-01,-4.758058516557679696e-02,-2.666009598236142031e-01,2.746615691869054854e-01,-8.713992479263171775e-02,-5.587750465905024638e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.666009598236142031e-01,2.746615691869054854e-01,-8.713992479263171775e-02,-5.587750465905024638e-02,-2.859239666960542436e-01,2.653679511567048621e-01,-1.159830803240330249e-01,-3.765623969852812530e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.859239666960542436e-01,2.653679511567048621e-01,-1.159830803240330249e-01,-3.765623969852812530e-02,-3.142820092136189847e-01,2.598387229191851944e-01,-1.570429331394508909e-01,-1.745217020660369198e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.142820092136189847e-01,2.598387229191851944e-01,-1.570429331394508909e-01,-1.745217020660369198e-02,-3.496796211738652516e-01,2.584889452654584585e-01,-1.951102421535662046e-01,-4.507116393826248769e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.496796211738652516e-01,2.584889452654584585e-01,-1.951102421535662046e-01,-4.507116393826248769e-03,-3.525937404853541901e-01,2.563750195637189977e-01,3.583162232696173594e-02,-1.719404035028080507e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.525937404853541901e-01,2.563750195637189977e-01,3.583162232696173594e-02,-1.719404035028080507e-02,-3.475333744692875593e-01,2.502556359524585328e-01,5.504466735151144346e-03,-3.965333684935393177e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
