expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001200604438781738e+01,2.220375572201161329e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001061081886291504e+01,2.263682620448184135e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001071190834045410e+01,2.293561982073275551e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001293420791625977e+01,1.861929347017577507e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001373314857482910e+01,2.179536010777048727e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001351499557495117e+01,1.986436007586111163e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001357388496398926e+01,2.378662365808332346e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000903582572937012e+01,2.378736316077409096e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001228094100952148e+01,2.402034854673763320e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001177191734313965e+01,2.404819478733855931e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011756110191345215e+01,2.128814230854151557e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012143087387084961e+01,2.285710467392881196e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012295985221862793e+01,2.504141468115920421e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012552094459533691e+01,2.285929534266075702e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.700000000000000000e+01,5.459204912185668945e+00,3.518267821180466326e-01,2.800000000000000000e+01
0.000000000000000000e+00,-5.600000000000000000e+01,1.333974194526672363e+01,1.104519422937409789e+00,6.700000000000000000e+01
0.000000000000000000e+00,-8.200000000000000000e+01,1.859745287895202637e+01,1.262280897005436664e+00,9.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012006998062133789e+01,2.331856085826203628e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011815309524536133e+01,2.185353507645409810e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012372612953186035e+01,1.991019223215151346e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012204194068908691e+01,2.237032953000226421e+00,1.500000000000000000e+02
