human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,1.000000000000000000e+00,-1.846072384778000286e-01,3.318550985796502317e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.846095013054313005e-01,3.318659073063384701e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.846095013054313005e-01,3.318659073063384701e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.876021577325681089e-01,3.318220966220510881e-01,-3.391509930845032494e-02,2.870611286150015918e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.876021577325681089e-01,3.318220966220510881e-01,-3.391509930845032494e-02,2.870611286150015918e-04,-1.925531262009208822e-01,3.318194555149436842e-01,-5.970702696259558295e-03,3.823628890037132784e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.925531262009208822e-01,3.318194555149436842e-01,-5.970702696259558295e-03,3.823628890037132784e-04,-1.894228592334521455e-01,3.318458321676023837e-01,3.660010987888655254e-02,-5.845999625591374220e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.894228592334521455e-01,3.318458321676023837e-01,3.660010987888655254e-02,-5.845999625591374220e-04,-1.810988256427483734e-01,3.318095930620152401e-01,4.023089678605931696e-02,-1.491006689833678802e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.810988256427483734e-01,3.318095930620152401e-01,4.023089678605931696e-02,-1.491006689833678802e-04,-1.757610746036434302e-01,3.317993897126669256e-01,6.899973303041264175e-03,-3.496408778815273668e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.757610746036434302e-01,3.317993897126669256e-01,6.899973303041264175e-03,-3.496408778815273668e-04,-1.783021777542825870e-01,3.318062085338893130e-01,-3.262024781406644425e-02,3.854554242933487209e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.783021777542825870e-01,3.318062085338893130e-01,-3.262024781406644425e-02,3.854554242933487209e-05,-1.859841875758725394e-01,3.317785384669325044e-01,-3.884151565160810782e-02,-3.219120747884890313e-04,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.859841875758725394e-01,3.317785384669325044e-01,-3.884151565160810782e-02,-3.219120747884890313e-04,-1.966330983235675123e-01,3.314769914721436006e-01,-7.350348883095014774e-02,-6.397023711612844984e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.966330983235675123e-01,3.314769914721436006e-01,-7.350348883095014774e-02,-6.397023711612844984e-03,-2.101502355254176169e-01,3.278846709290615946e-01,-4.659128187764444845e-02,-2.779308515590822939e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.101502355254176169e-01,3.278846709290615946e-01,-4.659128187764444845e-02,-2.779308515590822939e-02,-2.206041919700759690e-01,3.206853112014954599e-01,-7.158078001565440496e-02,-4.731975108047446754e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.206041919700759690e-01,3.206853112014954599e-01,-7.158078001565440496e-02,-4.731975108047446754e-02,-2.369876551836722911e-01,3.086724523570614220e-01,-7.984799459603710015e-02,-6.850406235378471431e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.369876551836722911e-01,3.086724523570614220e-01,-7.984799459603710015e-02,-6.850406235378471431e-02,-2.558594189059361090e-01,2.937398219841119706e-01,-1.145691327298834494e-01,-7.164421224943573474e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.558594189059361090e-01,2.937398219841119706e-01,-1.145691327298834494e-01,-7.164421224943573474e-02,-2.796969444604440191e-01,2.813937812339786237e-01,-1.197012833551338445e-01,-5.238699816463781439e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.796969444604440191e-01,2.813937812339786237e-01,-1.197012833551338445e-01,-5.238699816463781439e-02,-3.066509747945610487e-01,2.729996765298854378e-01,-1.544811617599384235e-01,-3.258959077508936236e-02,2.000000000000000042e-02,-2.000000000000000111e-01
