expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001396417617797852e+01,2.491599569797194658e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001178479194641113e+01,2.336313473075212865e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001214408874511719e+01,2.161829854877668655e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001261806488037109e+01,2.853681448443003088e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001303195953369141e+01,2.728233296194838786e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000943803787231445e+01,2.706362619486554877e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000664591789245605e+01,2.548502937076918329e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001158094406127930e+01,2.078214692541431763e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001284003257751465e+01,2.643306283923681388e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001106500625610352e+01,2.440783195244442982e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012244701385498047e+01,2.224198531801461876e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012067818641662598e+01,2.209226785273069815e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011997699737548828e+01,2.212651854495420345e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011929702758789062e+01,2.283683917003470398e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011672091484069824e+01,2.334051893215315587e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012348699569702148e+01,2.200853028851735615e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011978602409362793e+01,2.251271540416464045e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012188601493835449e+01,2.279610339178361755e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012221097946166992e+01,2.393884938232074155e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011860489845275879e+01,2.313881978707327036e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011939120292663574e+01,2.303772745534109490e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012612104415893555e+01,2.107440188233812961e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.900000000000000000e+01,1.597069406509399414e+01,1.152619958974404613e+00,8.000000000000000000e+01
0.000000000000000000e+00,-9.100000000000000000e+01,2.041969895362854004e+01,1.326770248935296603e+00,1.020000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012013292312622070e+01,2.250271715816453799e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012446713447570801e+01,2.125964811727750980e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011532902717590332e+01,2.139950840069136717e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011552691459655762e+01,2.251854804904196872e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011987900733947754e+01,2.232587133466634732e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.500000000000000000e+01,9.096948146820068359e+00,6.242548978665440895e-01,4.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012499499320983887e+01,1.944792263669428367e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012154483795166016e+01,2.045645125587986168e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012503218650817871e+01,2.015694485183191276e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012043285369873047e+01,2.020106297468342582e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012370800971984863e+01,1.912812942183642839e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012027192115783691e+01,1.625995047744315025e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012366509437561035e+01,1.917089958761287294e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.700000000000000000e+01,9.501263856887817383e+00,7.710061990099487117e-01,4.800000000000000000e+01
0.000000000000000000e+00,-1.290000000000000000e+02,2.809986209869384766e+01,1.667031406067544186e+00,1.400000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011896300315856934e+01,1.545889300825473045e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011940193176269531e+01,1.904103089711542518e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012176799774169922e+01,1.825497834858090807e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011979198455810547e+01,2.077528337913986611e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.100000000000000000e+01,1.233654808998107910e+01,7.926303633650831904e-01,6.200000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+01,1.212882494926452637e+01,7.428714532568344575e-01,6.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012265396118164062e+01,2.006562178063256319e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012108707427978516e+01,1.992759095158954663e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011628890037536621e+01,1.737824139603070694e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012172293663024902e+01,1.596106597786705494e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.000000000000000000e+00,2.630342006683349609e+00,1.408396870115627697e-01,1.400000000000000000e+01
