human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-1.844559145412252854e-01,1.773071374836887037e-01,-5.652379336403820292e-04,2.596392840935682345e-02,-1.874193702275571971e-01,1.845578562904695574e-01,-3.338333594791841052e-02,4.555646854127404222e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.874193702275571971e-01,1.845578562904695574e-01,-3.338333594791841052e-02,4.555646854127404222e-02,-1.952736519272521565e-01,1.958389578319726654e-01,-3.900852296125712632e-02,6.691388225092363695e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.952736519272521565e-01,1.958389578319726654e-01,-3.900852296125712632e-02,6.691388225092363695e-02,-2.067541073946325136e-01,2.112516311654239198e-01,-7.587960048747642572e-02,7.260981944555790213e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.067541073946325136e-01,2.112516311654239198e-01,-7.587960048747642572e-02,7.260981944555790213e-02,-2.199404205683369862e-01,2.235491876108896825e-01,-4.670109796456466816e-02,5.178242925078405806e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.199404205683369862e-01,2.235491876108896825e-01,-4.670109796456466816e-02,5.178242925078405806e-02,-2.253178139796521151e-01,2.318600736007100926e-01,-8.409559790086213946e-03,3.265541568494461505e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.253178139796521151e-01,2.318600736007100926e-01,-8.409559790086213946e-03,3.265541568494461505e-02,-2.286460242017671063e-01,2.361927928773379370e-01,-3.511888481620633468e-02,1.151653352390830110e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.286460242017671063e-01,2.361927928773379370e-01,-3.511888481620633468e-02,1.151653352390830110e-02,-2.368804161360037741e-01,2.365257166858679150e-01,-4.182146462892752381e-02,-8.637231749730453489e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.368804161360037741e-01,2.365257166858679150e-01,-4.182146462892752381e-02,-8.637231749730453489e-03,-2.422671949580275652e-01,2.328138191538973722e-01,-7.852018224494307364e-03,-2.783549630301090580e-02,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.422671949580275652e-01,2.328138191538973722e-01,-7.852018224494307364e-03,-2.783549630301090580e-02,-2.423421636252685862e-01,2.253155899647733273e-01,9.812357572153366635e-04,-3.850261052708266879e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.423421636252685862e-01,2.253155899647733273e-01,9.812357572153366635e-04,-3.850261052708266879e-02,-2.452369854681878680e-01,2.176181399657454718e-01,-3.435608879369298624e-02,-3.794542075643465850e-02,0.000000000000000000e+00,-2.000000000000000111e-01
