human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,1.000000000000000000e+00,-3.385363488606217275e-01,1.679919924621113003e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.358744755734571208e-01,1.679641118176079806e-01,3.242633765906238058e-02,6.245765857897735184e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.358744755734571208e-01,1.679641118176079806e-01,3.242633765906238058e-02,6.245765857897735184e-04,-3.252641556407669388e-01,1.679682480381745058e-01,7.193732575561560816e-02,-8.582817162916727761e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.252641556407669388e-01,1.679682480381745058e-01,7.193732575561560816e-02,-8.582817162916727761e-05,-3.066302958742190832e-01,1.678802537247300053e-01,1.118660883787359478e-01,-3.766263451890975431e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.066302958742190832e-01,1.678802537247300053e-01,1.118660883787359478e-01,-3.766263451890975431e-04,-2.827065875164982423e-01,1.677704387890411042e-01,1.192822456409468324e-01,-2.072772712776043552e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.827065875164982423e-01,1.677704387890411042e-01,1.192822456409468324e-01,-2.072772712776043552e-03,-2.603702667554276262e-01,1.675770090265144008e-01,8.642848184177699677e-02,-3.087553084768941691e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.603702667554276262e-01,1.675770090265144008e-01,8.642848184177699677e-02,-3.087553084768941691e-04,-2.469341549418026527e-01,1.674974869963154200e-01,4.676238226010422105e-02,8.326802273425739417e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.469341549418026527e-01,1.674974869963154200e-01,4.676238226010422105e-02,8.326802273425739417e-04,-2.415260080562715572e-01,1.674729483303419864e-01,6.928697195583043839e-03,-5.768959235800502324e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.415260080562715572e-01,1.674729483303419864e-01,6.928697195583043839e-03,-5.768959235800502324e-05,-2.440876860854380714e-01,1.674834630491400245e-01,-3.397170467139058042e-02,5.368731686797977715e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.440876860854380714e-01,1.674834630491400245e-01,-3.397170467139058042e-02,5.368731686797977715e-04,-2.546836039879009639e-01,1.674258663042355322e-01,-7.286390926916806732e-02,2.778116337579260081e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.546836039879009639e-01,1.674258663042355322e-01,-7.286390926916806732e-02,2.778116337579260081e-05,-2.705664218288502676e-01,1.673385785533750003e-01,-7.851220792485857913e-02,-2.160730517684940084e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.705664218288502676e-01,1.673385785533750003e-01,-7.851220792485857913e-02,-2.160730517684940084e-04,-2.899375198203395509e-01,1.672097492827512855e-01,-1.122877986579069870e-01,-6.740953412964077913e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.899375198203395509e-01,1.672097492827512855e-01,-1.122877986579069870e-01,-6.740953412964077913e-04,-3.110445622082420036e-01,1.670825579945778572e-01,-8.846560320170206160e-02,1.948424873694326012e-04,0.000000000000000000e+00,2.000000000000000111e-01
