expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001433610916137695e+01,1.587794163863105013e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001409387588500977e+01,2.183260344728129354e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000933790206909180e+01,2.280513497839705472e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001380395889282227e+01,2.310057179911553682e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001162886619567871e+01,1.830793625354103948e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001342988014221191e+01,2.203802049944795893e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.800000000000000000e+01,1.571053910255432129e+01,1.058164313702901982e+00,7.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001667284965515137e+01,1.771187931015571149e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001102614402770996e+01,1.615369384806068842e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001515293121337891e+01,1.820734248395146748e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012135100364685059e+01,1.719727459423450844e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012231397628784180e+01,1.851586352538691305e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.600000000000000000e+01,1.132469415664672852e+01,6.644079822312739525e-01,5.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012490487098693848e+01,1.635164892616077559e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.900000000000000000e+01,1.597200202941894531e+01,7.851928996614239153e-01,8.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012304997444152832e+01,1.453289470262089100e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012718987464904785e+01,1.711685053786719424e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.070000000000000000e+02,2.365486288070678711e+01,1.504332292569589002e+00,1.180000000000000000e+02
0.000000000000000000e+00,-3.800000000000000000e+01,9.701979875564575195e+00,5.644369157938585735e-01,4.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012002086639404297e+01,1.603239479064737072e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.000000000000000000e+00,3.638879060745239258e+00,1.911635664025980730e-01,1.900000000000000000e+01
0.000000000000000000e+00,-6.900000000000000000e+01,1.597257781028747559e+01,1.178643615902138508e+00,8.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011941504478454590e+01,1.520902677800972214e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012362504005432129e+01,1.675040346615384035e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.300000000000000000e+01,1.071563696861267090e+01,7.180470119210865532e-01,5.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012477302551269531e+01,1.900193091184222416e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012493991851806641e+01,2.327410343590506248e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012218403816223145e+01,2.439382591423367330e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.900000000000000000e+01,1.597284603118896484e+01,1.000687568205645084e+00,8.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012623786926269531e+01,2.007580774766046794e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012343096733093262e+01,1.900411615989938907e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.330000000000000000e+02,2.891105699539184570e+01,1.895823514779778840e+00,1.440000000000000000e+02
0.000000000000000000e+00,-3.300000000000000000e+01,8.694048166275024414e+00,5.306377315772192738e-01,4.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012201499938964844e+01,1.998261172029923038e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.370000000000000000e+02,2.971764683723449707e+01,2.200007883558588340e+00,1.480000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012325310707092285e+01,2.075960121245004064e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012515878677368164e+01,2.016630632539088808e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012211418151855469e+01,2.632413229858793891e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012598681449890137e+01,2.412955234220773182e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012091588973999023e+01,1.983069961899022404e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.300000000000000000e+01,1.880245614051818848e+01,1.221250312429968066e+00,9.400000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.460716009140014648e+00,3.371657076728687974e-01,2.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012196898460388184e+01,2.003912155758371672e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.800000000000000000e+01,1.577506089210510254e+01,9.392471051366515500e-01,7.900000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+01,1.617527508735656738e+01,8.165033506479936198e-01,8.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012643599510192871e+01,1.799883671375309468e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012022209167480469e+01,2.143043577110463893e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012174391746520996e+01,1.890583788872219007e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012401604652404785e+01,1.856240183399713972e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.600000000000000000e+01,1.536585998535156250e+01,1.022485327119663667e+00,7.700000000000000000e+01
