expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-9.400000000000000000e+01,2.094876599311828613e+01,1.144849821726957151e+00,1.050000000000000000e+02
0.000000000000000000e+00,-1.250000000000000000e+02,2.719221997261047363e+01,1.334446089502366650e+00,1.360000000000000000e+02
0.000000000000000000e+00,-6.000000000000000000e+00,3.223520040512084961e+00,1.698899655441180323e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001204204559326172e+01,1.823974227517268343e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.260000000000000000e+02,2.739363408088684082e+01,1.487019325738557107e+00,1.370000000000000000e+02
0.000000000000000000e+00,-4.600000000000000000e+01,1.128014588356018066e+01,7.457052677437210342e-01,5.700000000000000000e+01
0.000000000000000000e+00,-6.700000000000000000e+01,1.550857019424438477e+01,8.835053290065824072e-01,7.800000000000000000e+01
0.000000000000000000e+00,-2.700000000000000000e+01,7.452815055847167969e+00,3.856798980867219284e-01,3.800000000000000000e+01
0.000000000000000000e+00,-1.350000000000000000e+02,2.920627713203430176e+01,1.610805445627876198e+00,1.460000000000000000e+02
0.000000000000000000e+00,-7.500000000000000000e+01,1.712200999259948730e+01,1.023085517268329081e+00,8.600000000000000000e+01
0.000000000000000000e+00,-1.170000000000000000e+02,2.567672801017761230e+01,1.316525576241745599e+00,1.280000000000000000e+02
0.000000000000000000e+00,-2.600000000000000000e+01,7.277835130691528320e+00,4.106788987398361512e-01,3.700000000000000000e+01
0.000000000000000000e+00,-7.700000000000000000e+01,1.758827090263366699e+01,8.027344783053802502e-01,8.800000000000000000e+01
0.000000000000000000e+00,-1.080000000000000000e+02,2.385388183593750000e+01,1.423484896587413173e+00,1.190000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012270402908325195e+01,1.547323412504066020e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.160000000000000000e+02,2.546914505958557129e+01,1.311225969361987209e+00,1.270000000000000000e+02
0.000000000000000000e+00,-4.600000000000000000e+01,1.132256317138671875e+01,7.737508220261263281e-01,5.700000000000000000e+01
0.000000000000000000e+00,-4.800000000000000000e+01,1.172776985168457031e+01,6.793667574609899562e-01,5.900000000000000000e+01
0.000000000000000000e+00,-3.900000000000000000e+01,9.909113883972167969e+00,5.134064922149905730e-01,5.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012303304672241211e+01,1.670676286822987189e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.400000000000000000e+01,1.293808484077453613e+01,6.520052361524519835e-01,6.500000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.426465034484863281e+00,1.324029343073337972e-01,1.300000000000000000e+01
0.000000000000000000e+00,-5.800000000000000000e+01,1.374891495704650879e+01,7.884713834978036573e-01,6.900000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.663535118103027344e+00,2.944678684962002135e-01,2.900000000000000000e+01
0.000000000000000000e+00,-6.600000000000000000e+01,1.536420106887817383e+01,9.648910929978802287e-01,7.700000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01,8.894508123397827148e+00,5.671676787693041843e-01,4.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012039208412170410e+01,1.887613978122090419e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.270000000000000000e+02,2.769351911544799805e+01,1.567849692536577910e+00,1.380000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011927795410156250e+01,2.036381032935577817e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.600000000000000000e+01,1.334358286857604980e+01,1.156077340188500502e+00,6.700000000000000000e+01
0.000000000000000000e+00,-1.310000000000000000e+02,2.850279593467712402e+01,1.548412382214022776e+00,1.420000000000000000e+02
0.000000000000000000e+00,-8.400000000000000000e+01,1.900175189971923828e+01,9.421514196185934997e-01,9.500000000000000000e+01
0.000000000000000000e+00,-5.100000000000000000e+01,1.232992696762084961e+01,5.707077213959474982e-01,6.200000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.427541971206665039e+00,1.419584851032360817e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012229609489440918e+01,1.252485928930237025e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.200000000000000000e+01,6.470726966857910156e+00,5.048304987502525432e-01,3.300000000000000000e+01
0.000000000000000000e+00,-3.500000000000000000e+01,9.096022129058837891e+00,4.309844424292102461e-01,4.600000000000000000e+01
0.000000000000000000e+00,-8.300000000000000000e+01,1.879904317855834961e+01,6.812907055033611270e-01,9.400000000000000000e+01
0.000000000000000000e+00,-4.900000000000000000e+01,1.192800998687744141e+01,5.737460028363428055e-01,6.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820535182952880859e+00,1.204689052679865230e-01,1.000000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.639549016952514648e+00,1.584171917269227570e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012269902229309082e+01,1.456040948998464701e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012027406692504883e+01,1.450551543648432196e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.000000000000000000e+00,3.034124135971069336e+00,1.753080711646101686e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012107110023498535e+01,1.489578161861826233e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.400000000000000000e+01,1.698280501365661621e+01,8.946651274387232844e-01,8.500000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.627964973449707031e+00,1.507963634729140856e-01,1.400000000000000000e+01
0.000000000000000000e+00,-8.300000000000000000e+01,1.880024313926696777e+01,1.097331973770745206e+00,9.400000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.051290106773376465e+01,5.010377563963074321e-01,5.300000000000000000e+01
0.000000000000000000e+00,-5.900000000000000000e+01,1.394970703125000000e+01,7.726007543643484965e-01,7.000000000000000000e+01
0.000000000000000000e+00,-5.100000000000000000e+01,1.233280205726623535e+01,5.995702251190333509e-01,6.200000000000000000e+01
0.000000000000000000e+00,-3.600000000000000000e+01,9.299334049224853516e+00,6.488730201945669407e-01,4.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012610101699829102e+01,1.663074945882717870e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+00,2.426805973052978516e+00,1.408949345602246439e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.246063947677612305e+00,1.780084868413518429e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012006616592407227e+01,1.542302370531577038e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012054395675659180e+01,1.592280273683174485e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012378096580505371e+01,1.785012893593229233e+00,1.500000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.820431947708129883e+00,1.221606679306295740e-01,1.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012502408027648926e+01,1.822533095372638634e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.600000000000000000e+01,1.132310700416564941e+01,6.841202206888361559e-01,5.700000000000000000e+01
0.000000000000000000e+00,-2.400000000000000000e+01,6.875131130218505859e+00,3.480827947926427024e-01,3.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012166190147399902e+01,1.670163029770144858e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.000000000000000000e+01,1.213114213943481445e+01,4.907125764896777542e-01,6.100000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.032973051071166992e+00,1.764795753052033067e-01,1.600000000000000000e+01
0.000000000000000000e+00,-8.500000000000000000e+01,1.920373392105102539e+01,9.144921363222486832e-01,9.600000000000000000e+01
0.000000000000000000e+00,-3.100000000000000000e+01,8.290298938751220703e+00,4.970808949921876052e-01,4.200000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.051310992240905762e+01,5.500600427325272879e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+02,2.425731921195983887e+01,1.580941793702072218e+00,1.210000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+01,4.042851209640502930e+00,3.590966949394391317e-01,2.100000000000000000e+01
0.000000000000000000e+00,-4.600000000000000000e+01,1.132227396965026855e+01,5.744069962987305988e-01,5.700000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01,8.895375967025756836e+00,4.533511709024808933e-01,4.500000000000000000e+01
0.000000000000000000e+00,-4.600000000000000000e+01,1.132418990135192871e+01,8.505719877029147558e-01,5.700000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+01,2.021571493148803711e+01,1.117473470700122595e+00,1.010000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012526893615722656e+01,1.423552906396217121e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012439203262329102e+01,1.813792073087839407e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.100000000000000000e+01,8.288055896759033203e+00,5.140860122976543822e-01,4.200000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.235856056213378906e+00,1.855353626938135714e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.400000000000000000e+01,4.854382991790771484e+00,2.440925311810051013e-01,2.500000000000000000e+01
0.000000000000000000e+00,-8.800000000000000000e+01,1.980784606933593750e+01,1.006282720081881799e+00,9.900000000000000000e+01
