human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,1.000000000000000000e+00,-1.849063712417416960e-01,3.315308256377793583e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.849003795333881428e-01,3.315360918273517754e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.849003795333881428e-01,3.315360918273517754e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.849133891115239958e-01,3.315383741863976441e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.849133891115239958e-01,3.315383741863976441e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.878799700095393765e-01,3.311101466399748450e-01,-3.465716298372346904e-02,-8.629685230460315548e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.878799700095393765e-01,3.311101466399748450e-01,-3.465716298372346904e-02,-8.629685230460315548e-03,-1.958666299138663025e-01,3.272487285730733553e-01,-3.850306129184871695e-02,-2.832142112221357547e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.958666299138663025e-01,3.272487285730733553e-01,-3.850306129184871695e-02,-2.832142112221357547e-02,-2.041174450330029422e-01,3.189166529554752216e-01,-4.051685408789724302e-02,-4.962238598752204827e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.041174450330029422e-01,3.189166529554752216e-01,-4.051685408789724302e-02,-4.962238598752204827e-02,-2.089952834866442011e-01,3.068463940637792819e-01,-5.225633746730391424e-03,-6.964595337606034609e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.089952834866442011e-01,3.068463940637792819e-01,-5.225633746730391424e-03,-6.964595337606034609e-02,-2.059880941470524918e-01,2.907806677740786827e-01,3.479236949843334675e-02,-8.963439369720220540e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.059880941470524918e-01,2.907806677740786827e-01,3.479236949843334675e-02,-8.963439369720220540e-02,-2.008996405032832111e-01,2.730244127202419158e-01,7.453400591127051604e-03,-8.156187889154889459e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.008996405032832111e-01,2.730244127202419158e-01,7.453400591127051604e-03,-8.156187889154889459e-02,-2.006884150969578395e-01,2.589735827590013972e-01,1.186085573272799591e-03,-6.078925828855096664e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.006884150969578395e-01,2.589735827590013972e-01,1.186085573272799591e-03,-6.078925828855096664e-02,-2.036656188332106043e-01,2.489626654028583019e-01,-3.490357027566862169e-02,-3.927582025298631541e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.036656188332106043e-01,2.489626654028583019e-01,-3.490357027566862169e-02,-3.927582025298631541e-02,-2.091838426820130381e-01,2.427101600059761721e-01,-8.043602082091486777e-03,-1.964257028735903396e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.091838426820130381e-01,2.427101600059761721e-01,-8.043602082091486777e-03,-1.964257028735903396e-02,-2.066079043514147950e-01,2.407894364694794787e-01,3.184272195910255870e-02,5.924349647389987299e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.066079043514147950e-01,2.407894364694794787e-01,3.184272195910255870e-02,5.924349647389987299e-04,-1.989472667156326202e-01,2.429194473233468876e-01,3.699069625110224663e-02,2.135343114969698308e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.989472667156326202e-01,2.429194473233468876e-01,3.699069625110224663e-02,2.135343114969698308e-02,-1.942217448971190752e-01,2.476554661796601109e-01,4.754980078368511998e-03,1.737985845331124074e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.942217448971190752e-01,2.476554661796601109e-01,4.754980078368511998e-03,1.737985845331124074e-02,-1.915688074322898782e-01,2.491041649330364982e-01,3.269564630598342098e-02,-2.773487219469060374e-03,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.915688074322898782e-01,2.491041649330364982e-01,3.269564630598342098e-02,-2.773487219469060374e-03,-1.809259324133905000e-01,2.470640243992897611e-01,7.137164491789071974e-02,-7.502814554916096591e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.809259324133905000e-01,2.470640243992897611e-01,7.137164491789071974e-02,-7.502814554916096591e-03,-1.733006116518294726e-01,2.475791244310704686e-01,-2.316542365806223761e-02,1.323000191245721387e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.733006116518294726e-01,2.475791244310704686e-01,-2.316542365806223761e-02,1.323000191245721387e-02,-1.781567270918569257e-01,2.522570474409920882e-01,-2.368806533613682444e-02,3.317827066162528510e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.781567270918569257e-01,2.522570474409920882e-01,-2.368806533613682444e-02,3.317827066162528510e-02,-1.799606000024973063e-01,2.608167617263444371e-01,1.114417785820970112e-02,4.832016175100874167e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.799606000024973063e-01,2.608167617263444371e-01,1.114417785820970112e-02,4.832016175100874167e-02,-1.737683448430170363e-01,2.683492044866026549e-01,4.984552203428790212e-02,2.752374494366372631e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.737683448430170363e-01,2.683492044866026549e-01,4.984552203428790212e-02,2.752374494366372631e-02,-1.728939542871039126e-01,2.718275537096174754e-01,-1.168073022339389177e-03,7.517273601725713190e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.728939542871039126e-01,2.718275537096174754e-01,-1.168073022339389177e-03,7.517273601725713190e-03,-1.728908179138225476e-01,2.713780273927827169e-01,6.410311638872674949e-04,-1.393914726129280926e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.728908179138225476e-01,2.713780273927827169e-01,6.410311638872674949e-04,-1.393914726129280926e-02,-1.728559359486090685e-01,2.665471486881980101e-01,-3.126023319520301403e-04,-3.259986409005600355e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.728559359486090685e-01,2.665471486881980101e-01,-3.126023319520301403e-04,-3.259986409005600355e-02,-1.728434135370722768e-01,2.579328596560951925e-01,-5.656027762896576744e-04,-4.664780110897737142e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.728434135370722768e-01,2.579328596560951925e-01,-5.656027762896576744e-04,-4.664780110897737142e-02,-1.728127829750668032e-01,2.504772798761989439e-01,3.057184689708893196e-04,-2.742987333090743732e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.728127829750668032e-01,2.504772798761989439e-01,3.057184689708893196e-04,-2.742987333090743732e-02,-1.728095618456904070e-01,2.469731464553778233e-01,2.678788483598733305e-04,-7.243568622249100045e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.728095618456904070e-01,2.469731464553778233e-01,2.678788483598733305e-04,-7.243568622249100045e-03,-1.727810688480925505e-01,2.474270839637106312e-01,-8.975557685376384445e-04,1.293903243090818549e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.727810688480925505e-01,2.474270839637106312e-01,-8.975557685376384445e-04,1.293903243090818549e-02,-1.758218556916785746e-01,2.522587176377463769e-01,-3.327986482160175119e-02,3.130698626430473280e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.758218556916785746e-01,2.522587176377463769e-01,-3.327986482160175119e-02,3.130698626430473280e-02,-1.807534816166085079e-01,2.573498969650113155e-01,-4.633684707107460152e-03,1.501638032918850216e-02,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.807534816166085079e-01,2.573498969650113155e-01,-4.633684707107460152e-03,1.501638032918850216e-02,-1.778599143487358258e-01,2.584407264004066063e-01,3.443659590735132642e-02,-4.232974727927868615e-03,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.778599143487358258e-01,2.584407264004066063e-01,3.443659590735132642e-02,-4.232974727927868615e-03,-1.740233180227223619e-01,2.574777160344395854e-01,-1.735405325900905155e-02,6.128663635536628655e-04,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.740233180227223619e-01,2.574777160344395854e-01,-1.735405325900905155e-02,6.128663635536628655e-04,-1.803797751524087167e-01,2.564132196970768107e-01,-5.339193779354881736e-02,-7.992516586052043556e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.803797751524087167e-01,2.564132196970768107e-01,-5.339193779354881736e-02,-7.992516586052043556e-03,-1.948815606431158476e-01,2.526508325349426931e-01,-9.170727917369531079e-02,-2.887939192087279200e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.948815606431158476e-01,2.526508325349426931e-01,-9.170727917369531079e-02,-2.887939192087279200e-02,-2.153875539388550586e-01,2.449079042346835322e-01,-9.949660665144080540e-02,-3.470163656258239138e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.153875539388550586e-01,2.449079042346835322e-01,-9.949660665144080540e-02,-3.470163656258239138e-02,-2.382166923705708039e-01,2.399635370671871770e-01,-1.339002278277616476e-01,-1.509286437496454129e-02,2.000000000000000042e-02,-2.000000000000000111e-01
