expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.000913500785827637e+01,2.160434064350902350e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001140785217285156e+01,1.929025307827382463e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001328611373901367e+01,2.145413311883684226e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001044893264770508e+01,2.083030703815270890e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+01,4.028868913650512695e+00,2.385138874522167718e-01,2.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001265406608581543e+01,1.958110712473057236e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001171898841857910e+01,1.967470225368298298e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.000000000000000000e+00,2.821630001068115234e+00,1.610418766426778281e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001498699188232422e+01,1.860941173242774971e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001333403587341309e+01,1.667611682517647687e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+00,2.224311113357543945e+00,1.118538798297013803e-01,1.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011857700347900391e+01,2.005871280361996245e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012166118621826172e+01,1.633069100345667435e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012170195579528809e+01,1.815330302898462422e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.100000000000000000e+01,1.637585020065307617e+01,1.383358325595982707e+00,8.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012524700164794922e+01,1.645991951348054760e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.300000000000000000e+01,8.695116996765136719e+00,2.890713212520268360e-01,4.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012441515922546387e+01,1.891670745831359524e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012211513519287109e+01,2.179457813656147103e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012010598182678223e+01,1.718828210535835233e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012150883674621582e+01,2.038319306115851770e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.130000000000000000e+02,2.486845183372497559e+01,1.733632930188951704e+00,1.240000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012680482864379883e+01,2.125436268357731695e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012911319732666016e+01,2.157826722551587029e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.000000000000000000e+01,8.090893983840942383e+00,6.041472542467904994e-01,4.100000000000000000e+01
0.000000000000000000e+00,-7.800000000000000000e+01,1.778874301910400391e+01,1.121296094178109826e+00,8.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012118291854858398e+01,1.908551965231710890e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.500000000000000000e+01,1.516350007057189941e+01,8.947666136047217611e-01,7.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012370204925537109e+01,1.921548529571172281e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012607502937316895e+01,1.922524311252036266e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012637495994567871e+01,1.598962447073134951e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012538123130798340e+01,2.093489088343471138e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012259387969970703e+01,1.833378679458868898e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.200000000000000000e+01,1.253614902496337891e+01,7.524862205333576748e-01,6.300000000000000000e+01
