human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,-3.452272256251662785e-01,1.994740178337216785e-01,8.595360097055985125e-05,7.436465779471775062e-02,-3.451246551165712551e-01,2.148418410686549762e-01,1.933610785963437692e-05,6.962284577993031742e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.451246551165712551e-01,2.148418410686549762e-01,1.933610785963437692e-05,6.962284577993031742e-02,-3.450123780349529379e-01,2.265744385240342773e-01,4.550067911657414144e-04,4.931512198337036079e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.450123780349529379e-01,2.265744385240342773e-01,4.550067911657414144e-04,4.931512198337036079e-02,-3.419221847773827871e-01,2.342400302045713756e-01,3.574240204725208370e-02,2.874760473075633344e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.419221847773827871e-01,2.342400302045713756e-01,3.574240204725208370e-02,2.874760473075633344e-02,-3.332985939379251028e-01,2.380460789910915920e-01,4.211763664969361831e-02,7.297413559781581321e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.332985939379251028e-01,2.380460789910915920e-01,4.211763664969361831e-02,7.297413559781581321e-03,-3.280916723295950743e-01,2.375903467620460174e-01,6.703907064396819743e-03,-1.296717080188689031e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.280916723295950743e-01,2.375903467620460174e-01,6.703907064396819743e-03,-1.296717080188689031e-02,-3.277361004102404274e-01,2.331314944886394014e-01,1.289812948781438170e-03,-3.144774144774077629e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.277361004102404274e-01,2.331314944886394014e-01,1.289812948781438170e-03,-3.144774144774077629e-02,-3.305558720936933037e-01,2.289908976626955084e-01,-3.283113258317289784e-02,-1.083740616238538720e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.305558720936933037e-01,2.289908976626955084e-01,-3.283113258317289784e-02,-1.083740616238538720e-02,-3.382666285772047421e-01,2.289498908570100077e-01,-3.661084219304203830e-02,1.004823621214934008e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.382666285772047421e-01,2.289498908570100077e-01,-3.661084219304203830e-02,1.004823621214934008e-02,-3.459240176020513813e-01,2.329001197815475377e-01,-3.807943360486331502e-02,2.963021381053213346e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.459240176020513813e-01,2.329001197815475377e-01,-3.807943360486331502e-02,2.963021381053213346e-02,-3.569723385632422863e-01,2.412798937180133108e-01,-7.128521527331456442e-02,4.954157114221111741e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
