expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,0.000000000000000000e+00,2.015215158462524414e+00,1.226724438041991161e-01,1.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001610183715820312e+01,1.825007659395302850e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.200000000000000000e+01,6.446838855743408203e+00,3.301152943240837079e-01,3.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001431417465209961e+01,1.994393986840273802e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.600000000000000000e+01,1.128045606613159180e+01,6.606870434131550951e-01,5.700000000000000000e+01
0.000000000000000000e+00,-3.900000000000000000e+01,9.870440006256103516e+00,5.093365701865592010e-01,5.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001419520378112793e+01,2.036388317023678951e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.000000000000000000e+01,1.812815999984741211e+01,9.399699279363631366e-01,9.100000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.668479919433593750e+00,4.589293839906414263e-01,4.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.000968718528747559e+01,1.832041111112435505e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.051240181922912598e+01,5.993585090473865229e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012142801284790039e+01,1.999247987849900765e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.000000000000000000e+01,8.086830854415893555e+00,6.141019726996689299e-01,4.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012263298034667969e+01,1.833900026493963331e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.700000000000000000e+01,1.758771395683288574e+01,8.265454340516885656e-01,8.800000000000000000e+01
0.000000000000000000e+00,-4.700000000000000000e+01,1.152394294738769531e+01,7.692917994055666897e-01,5.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012424707412719727e+01,1.531198901377159638e+00,1.500000000000000000e+02
