human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-3.454575509626346963e-01,3.072835590817038498e-01,1.486238580015231993e-04,-6.450023362578305441e-02,-3.423407170070528194e-01,2.966154075106972599e-01,3.543389746339280222e-02,-4.409396928205223942e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.423407170070528194e-01,2.966154075106972599e-01,3.543389746339280222e-02,-4.409396928205223942e-02,-3.342702165554968241e-01,2.900006705396082629e-01,3.920354703995510698e-02,-2.369790252271285549e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.342702165554968241e-01,2.900006705396082629e-01,3.920354703995510698e-02,-2.369790252271285549e-02,-3.293989439407216668e-01,2.851435132685147256e-01,4.164271884904724788e-03,-3.366239391765479122e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.293989439407216668e-01,2.851435132685147256e-01,4.164271884904724788e-03,-3.366239391765479122e-02,-3.324171045559777271e-01,2.763926431520311588e-01,-3.464277300909686386e-02,-5.429325522270031512e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.324171045559777271e-01,2.763926431520311588e-01,-3.464277300909686386e-02,-5.429325522270031512e-02,-3.379521731538715490e-01,2.648162432357129004e-01,-6.240429167675520632e-03,-4.772894171136619207e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.379521731538715490e-01,2.648162432357129004e-01,-6.240429167675520632e-03,-4.772894171136619207e-02,-3.351633458047522662e-01,2.573966909929696900e-01,3.482073318742449214e-02,-2.661674719948791887e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.351633458047522662e-01,2.573966909929696900e-01,3.482073318742449214e-02,-2.661674719948791887e-02,-3.243484456241993996e-01,2.539453916072245132e-01,7.460185566452239014e-02,-6.985177357441196833e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.243484456241993996e-01,2.539453916072245132e-01,7.460185566452239014e-02,-6.985177357441196833e-03,-3.085836009833985427e-01,2.545193622291514468e-01,7.926100374989702990e-02,1.248801274472402002e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.085836009833985427e-01,2.545193622291514468e-01,7.926100374989702990e-02,1.248801274472402002e-02,-2.929630418207367359e-01,2.583101410783908980e-01,7.862619040747098609e-02,1.580595096379640990e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.929630418207367359e-01,2.583101410783908980e-01,7.862619040747098609e-02,1.580595096379640990e-02,-2.802655508293012687e-01,2.593290394432997692e-01,4.214769592430889916e-02,-4.238911188063375357e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.802655508293012687e-01,2.593290394432997692e-01,4.214769592430889916e-02,-4.238911188063375357e-03,-2.726291956571866848e-01,2.561029772142635608e-01,3.751506509725594657e-02,-2.556627873992408859e-02,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.852400827645191983e-01,3.089406086946873131e-01,-3.074668990746219350e-05,-6.744292890414244068e-02,-1.882370692197910256e-01,2.935210490958828355e-01,-3.561059085804610391e-02,-8.689415846186185344e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.882370692197910256e-01,2.935210490958828355e-01,-3.561059085804610391e-02,-8.689415846186185344e-02,-1.937007097736967998e-01,2.749757542985835079e-01,-5.692818184838003941e-03,-8.123435111442516010e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.937007097736967998e-01,2.749757542985835079e-01,-5.692818184838003941e-03,-8.123435111442516010e-02,-1.938398342000711150e-01,2.600772406649941582e-01,-1.524079004067105392e-03,-7.852964782157823009e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.938398342000711150e-01,2.600772406649941582e-01,-1.524079004067105392e-03,-7.852964782157823009e-02,-1.971444830825450911e-01,2.429456995482850434e-01,-3.518026098477682051e-02,-8.539656352236833781e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.971444830825450911e-01,2.429456995482850434e-01,-3.518026098477682051e-02,-8.539656352236833781e-02,-2.053901227897191317e-01,2.281205125766571085e-01,-4.080036274108291006e-02,-6.498901405840022683e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.053901227897191317e-01,2.281205125766571085e-01,-4.080036274108291006e-02,-6.498901405840022683e-02,-2.105905763908947625e-01,2.173721672485437739e-01,-5.995601910223813565e-03,-4.450867227386990505e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.105905763908947625e-01,2.173721672485437739e-01,-5.995601910223813565e-03,-4.450867227386990505e-02,-2.074745419838667781e-01,2.103888179977129180e-01,3.419929574165240377e-02,-2.261089145209092821e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.074745419838667781e-01,2.103888179977129180e-01,3.419929574165240377e-02,-2.261089145209092821e-02,-2.026213063941001424e-01,2.077975727622080326e-01,4.522519907170128098e-03,-3.440018888505644908e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.026213063941001424e-01,2.077975727622080326e-01,4.522519907170128098e-03,-3.440018888505644908e-03,-2.025412434905414782e-01,2.092009459749506473e-01,-2.778018310057391482e-04,1.726569258339920310e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.025412434905414782e-01,2.092009459749506473e-01,-2.778018310057391482e-04,1.726569258339920310e-02,-2.056627680617473808e-01,2.146274921026804505e-01,-3.459785065791728259e-02,3.647095825053048301e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.056627680617473808e-01,2.146274921026804505e-01,-3.459785065791728259e-02,3.647095825053048301e-02,-2.167218611510517423e-01,2.228275690028891642e-01,-7.476838893745513248e-02,3.537699154545810576e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.167218611510517423e-01,2.228275690028891642e-01,-7.476838893745513248e-02,3.537699154545810576e-02,-2.327380613769897133e-01,2.276292778523768823e-01,-8.140988446108531063e-02,1.463284267058854830e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.327380613769897133e-01,2.276292778523768823e-01,-8.140988446108531063e-02,1.463284267058854830e-02,-2.463290782276907065e-01,2.303706504645414710e-01,-4.477074115093634260e-02,2.265300734654698833e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.463290782276907065e-01,2.303706504645414710e-01,-4.477074115093634260e-02,2.265300734654698833e-02,-2.512308481466284382e-01,2.369105708049799586e-01,-4.282473469210717337e-03,4.264969583667117814e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.512308481466284382e-01,2.369105708049799586e-01,-4.282473469210717337e-03,4.264969583667117814e-02,-2.480778124164221832e-01,2.473896868451298525e-01,3.612321882037090870e-02,6.039898886863116073e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.480778124164221832e-01,2.473896868451298525e-01,3.612321882037090870e-02,6.039898886863116073e-02,-2.430610059104969800e-01,2.573063068244061391e-01,5.217209937354384645e-03,3.995304713963677284e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.430610059104969800e-01,2.573063068244061391e-01,5.217209937354384645e-03,3.995304713963677284e-02,-2.399562025235142670e-01,2.630567053337355965e-01,3.830845204807240695e-02,1.831420024377959296e-02,-2.000000000000000042e-02,2.000000000000000111e-01
