expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001199698448181152e+01,2.575889032441350590e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001165795326232910e+01,2.788857522570520331e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001469206809997559e+01,2.397827561379571648e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001396989822387695e+01,2.693345940789077630e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001147818565368652e+01,2.213474663049756153e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.500000000000000000e+01,1.108088111877441406e+01,9.049084912817195736e-01,5.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001172780990600586e+01,2.570199467088888134e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001504516601562500e+01,2.559955713230008811e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001274704933166504e+01,2.517414410396221047e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001364302635192871e+01,2.882353555416305557e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012235593795776367e+01,2.518644893962215914e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012181687355041504e+01,2.366397493429495569e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012134099006652832e+01,2.144004682578046328e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012401604652404785e+01,2.222401010120077292e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012294101715087891e+01,2.445309650660655976e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012339496612548828e+01,2.104852957023558790e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012253713607788086e+01,2.642781787770590363e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012361907958984375e+01,2.337529983905017872e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.800000000000000000e+01,2.183620309829711914e+01,1.629170875193752366e+00,1.090000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012426304817199707e+01,2.164557012326008056e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012347412109375000e+01,2.119009650480277784e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012492990493774414e+01,2.087677792413428879e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012137389183044434e+01,2.437639498291694462e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.110000000000000000e+02,2.446005010604858398e+01,1.807748535659391864e+00,1.220000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012405395507812500e+01,2.204696501840717637e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011976408958435059e+01,1.928593588358363808e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011983799934387207e+01,2.140254815352315099e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012476801872253418e+01,2.305328147419185125e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012196087837219238e+01,2.218190574091881917e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012229394912719727e+01,2.329881180854122658e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012376689910888672e+01,2.084522352571694714e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012094902992248535e+01,2.143255248031215032e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012384891510009766e+01,2.589196969063299658e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012487602233886719e+01,2.414956556173232460e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012253499031066895e+01,2.392301193467643028e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.310000000000000000e+02,2.850319719314575195e+01,2.094202713239221580e+00,1.420000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012385797500610352e+01,2.010907981190345861e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012279510498046875e+01,2.146915181951782436e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012359690666198730e+01,2.275774198039769658e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012160491943359375e+01,2.310070636452675963e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012204909324645996e+01,2.091679973126228109e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012312006950378418e+01,2.424546816780717151e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012019991874694824e+01,2.476693362322366809e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.500000000000000000e+01,1.314378285408020020e+01,1.054543837251248783e+00,6.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012091398239135742e+01,2.244108661316417841e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.240000000000000000e+02,2.708964896202087402e+01,1.890326472728041773e+00,1.350000000000000000e+02
0.000000000000000000e+00,-7.400000000000000000e+01,1.697986721992492676e+01,1.211738068505934018e+00,8.500000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.662477970123291016e+00,4.751949174518141361e-01,2.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012278914451599121e+01,1.953244371757476117e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012309789657592773e+01,2.053075975540808340e+00,1.500000000000000000e+02
