human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,-1.853459223430269920e-01,3.107391545985451198e-01,-5.792414941068426597e-04,-6.541429330273711151e-02,-1.882156422407930407e-01,2.956980509944371893e-01,-3.334878606636511311e-02,-8.540042442545991985e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.882156422407930407e-01,2.956980509944371893e-01,-3.334878606636511311e-02,-8.540042442545991985e-02,-1.994759326841993308e-01,2.757586046157609605e-01,-7.341086942723386299e-02,-1.062244030003920148e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.994759326841993308e-01,2.757586046157609605e-01,-7.341086942723386299e-02,-1.062244030003920148e-01,-2.152983578194629377e-01,2.524790193220251555e-01,-7.808501776054531385e-02,-1.273799514917874909e-01,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.152983578194629377e-01,2.524790193220251555e-01,-7.808501776054531385e-02,-1.273799514917874909e-01,-2.341550915260445787e-01,2.251290034105951632e-01,-1.115567838969604708e-01,-1.474076881445398890e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.341550915260445787e-01,2.251290034105951632e-01,-1.115567838969604708e-01,-1.474076881445398890e-01,-2.607022920312511705e-01,1.936324706948779895e-01,-1.510706445276512877e-01,-1.691308036772057044e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.607022920312511705e-01,1.936324706948779895e-01,-1.510706445276512877e-01,-1.691308036772057044e-01,-2.922885193455400099e-01,1.577943922454000114e-01,-1.576938887701332948e-01,-1.844023781805997353e-01,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.922885193455400099e-01,1.577943922454000114e-01,-1.576938887701332948e-01,-1.844023781805997353e-01,-3.228601275744227284e-01,1.573684998948662317e-01,-1.273275060950850857e-01,-4.992124317158890207e-04,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.228601275744227284e-01,1.573684998948662317e-01,-1.273275060950850857e-01,-4.992124317158890207e-04,-3.471219815924583840e-01,1.573696685022760444e-01,-1.189124966271158657e-01,-1.318220507045171413e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.471219815924583840e-01,1.573696685022760444e-01,-1.189124966271158657e-01,-1.318220507045171413e-03,-3.593289441657626648e-01,1.574079226320415636e-01,3.035822229907416542e-03,-2.021786133163416301e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.593289441657626648e-01,1.574079226320415636e-01,3.035822229907416542e-03,-2.021786133163416301e-03,-3.592987486923084339e-01,1.574433870864682949e-01,-9.167468928453002645e-04,6.969851906178579221e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.592987486923084339e-01,1.574433870864682949e-01,-9.167468928453002645e-04,6.969851906178579221e-03,-3.592744652930738858e-01,1.601506214418002838e-01,-3.501494973735057282e-04,2.401297689106667368e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.592744652930738858e-01,1.601506214418002838e-01,-3.501494973735057282e-04,2.401297689106667368e-02,-3.563232394834946470e-01,1.669135079483914375e-01,3.641512425158970057e-02,4.339224138756639371e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.563232394834946470e-01,1.669135079483914375e-01,3.641512425158970057e-02,4.339224138756639371e-02,-3.506597422063271186e-01,1.781590022247143690e-01,7.174974653207289235e-03,6.352293116281504393e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.506597422063271186e-01,1.781590022247143690e-01,7.174974653207289235e-03,6.352293116281504393e-02,-3.531424808479158295e-01,1.930996235224492485e-01,-3.039311677587837671e-02,8.413664994578175238e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.531424808479158295e-01,1.930996235224492485e-01,-3.039311677587837671e-02,8.413664994578175238e-02,-3.566890437776590317e-01,2.120268159411794195e-01,-8.437994027843547006e-04,1.026259846973451573e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.566890437776590317e-01,2.120268159411794195e-01,-8.437994027843547006e-04,1.026259846973451573e-01,-3.535020702117728231e-01,2.349947869698174596e-01,3.632442857732745556e-02,1.235203898281052176e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.535020702117728231e-01,2.349947869698174596e-01,3.632442857732745556e-02,1.235203898281052176e-01,-3.422484119016017123e-01,2.618096667952398704e-01,7.651348598277595003e-02,1.423066759444946705e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.422484119016017123e-01,2.618096667952398704e-01,7.651348598277595003e-02,1.423066759444946705e-01,-3.229794108334184677e-01,2.925708745611560468e-01,1.167803615609896845e-01,1.636147571895436859e-01,2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.229794108334184677e-01,2.925708745611560468e-01,1.167803615609896845e-01,1.636147571895436859e-01,-2.942735166449484407e-01,3.286123645398674742e-01,1.595912701144733548e-01,1.805463272173066236e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.942735166449484407e-01,3.286123645398674742e-01,1.595912701144733548e-01,1.805463272173066236e-01,-2.615764096030392394e-01,3.485645439369425835e-01,1.599740736656906914e-01,-4.322077633405473594e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.615764096030392394e-01,3.485645439369425835e-01,1.599740736656906914e-01,-4.322077633405473594e-03,-2.292804189022812356e-01,3.481351864408215868e-01,1.614347431593835813e-01,-1.520702703167015795e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.292804189022812356e-01,3.481351864408215868e-01,1.614347431593835813e-01,-1.520702703167015795e-03,-1.940196570610488447e-01,3.477413812971891782e-01,1.954691231011267960e-01,-2.049303626888645310e-03,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.940196570610488447e-01,3.477413812971891782e-01,1.954691231011267960e-01,-2.049303626888645310e-03,-1.687479063656756595e-01,3.473914599672224823e-01,-1.348340982592470885e-02,3.660437879250792725e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.687479063656756595e-01,3.473914599672224823e-01,-1.348340982592470885e-02,3.660437879250792725e-04,-1.689538853845626853e-01,3.474347665201193980e-01,-3.657102055503800957e-03,-9.313519361979032390e-04,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.689538853845626853e-01,3.474347665201193980e-01,-3.657102055503800957e-03,-9.313519361979032390e-04,-1.719104786898261183e-01,3.460871792130025271e-01,-3.272063792804392329e-02,-1.665842840433619590e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.719104786898261183e-01,3.460871792130025271e-01,-3.272063792804392329e-02,-1.665842840433619590e-02,-1.797171662879410992e-01,3.408097004556012721e-01,-3.969574920252388894e-02,-3.535032419772873163e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.797171662879410992e-01,3.408097004556012721e-01,-3.969574920252388894e-02,-3.535032419772873163e-02,-1.906531975262782952e-01,3.314623506330633962e-01,-7.274887784963383897e-02,-5.766884278544589376e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.906531975262782952e-01,3.314623506330633962e-01,-7.274887784963383897e-02,-5.766884278544589376e-02,-2.093613667689003255e-01,3.180550268082281140e-01,-1.128300571564079813e-01,-7.812637764011913510e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.093613667689003255e-01,3.180550268082281140e-01,-1.128300571564079813e-01,-7.812637764011913510e-02,-2.330949640782081500e-01,3.006437471087310964e-01,-1.194000688494644136e-01,-9.519021967126038708e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.330949640782081500e-01,3.006437471087310964e-01,-1.194000688494644136e-01,-9.519021967126038708e-02,-2.578233599902747253e-01,2.809602564862244689e-01,-1.187874800669011244e-01,-9.559184626622450887e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.578233599902747253e-01,2.809602564862244689e-01,-1.187874800669011244e-01,-9.559184626622450887e-02,-2.816231828727084885e-01,2.620409470065562796e-01,-1.202233498097041026e-01,-9.437641240168054280e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.816231828727084885e-01,2.620409470065562796e-01,-1.202233498097041026e-01,-9.437641240168054280e-02,-3.054446254967816410e-01,2.430656656955488548e-01,-1.197573145269516387e-01,-9.548916674977539487e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.054446254967816410e-01,2.430656656955488548e-01,-1.197573145269516387e-01,-9.548916674977539487e-02,-3.322865786783602005e-01,2.240793059435790824e-01,-1.542058861659864055e-01,-9.650817278407354538e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.322865786783602005e-01,2.240793059435790824e-01,-1.542058861659864055e-01,-9.650817278407354538e-02,-3.616333750446034112e-01,2.048127025864578676e-01,7.128494316285204600e-03,-9.404978039580011440e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.616333750446034112e-01,2.048127025864578676e-01,7.128494316285204600e-03,-9.404978039580011440e-02,-3.614894954562063445e-01,1.861930648227416440e-01,1.108131701967666550e-03,-9.295392943687821874e-02,0.000000000000000000e+00,0.000000000000000000e+00
