expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-5.100000000000000000e+01,1.228779506683349609e+01,8.272189333830359814e-01,6.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001067304611206055e+01,1.858694685396303337e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000711393356323242e+01,2.067609166960873601e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000548601150512695e+01,1.884347058967450250e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001483297348022461e+01,1.782641514056281684e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001114392280578613e+01,1.885131838707294172e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+01,2.013917708396911621e+01,1.365635776069066054e+00,1.010000000000000000e+02
0.000000000000000000e+00,-4.300000000000000000e+01,1.067526698112487793e+01,4.947276605242063030e-01,5.400000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.048744916915893555e+00,4.340235223012963717e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.238135099411010742e+00,2.534729986071935781e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011236000061035156e+01,1.643797420482344229e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.060000000000000000e+02,2.344648194313049316e+01,1.494189588393362467e+00,1.170000000000000000e+02
0.000000000000000000e+00,-5.600000000000000000e+01,1.334123897552490234e+01,7.758519084981606584e-01,6.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011865115165710449e+01,1.793949797185311779e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012221598625183105e+01,1.451534994927106581e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.800000000000000000e+01,9.703283071517944336e+00,7.411720989237686741e-01,4.900000000000000000e+01
0.000000000000000000e+00,-5.400000000000000000e+01,1.293953299522399902e+01,7.129304044981829014e-01,6.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011616897583007812e+01,1.698459982283266001e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.600000000000000000e+01,1.334189391136169434e+01,6.206383125906945741e-01,6.700000000000000000e+01
0.000000000000000000e+00,-2.600000000000000000e+01,7.277059793472290039e+00,4.697186075176784104e-01,3.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012162995338439941e+01,1.428948923637246127e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.100000000000000000e+01,1.031141805648803711e+01,6.225946919452247652e-01,5.200000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.235228061676025391e+00,1.815460409929817165e-01,1.700000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.022733926773071289e+00,1.489933506747580239e-01,1.100000000000000000e+01
0.000000000000000000e+00,-4.300000000000000000e+01,1.071272802352905273e+01,5.242353480578157976e-01,5.400000000000000000e+01
0.000000000000000000e+00,-8.200000000000000000e+01,1.859981799125671387e+01,9.162008476561326331e-01,9.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012363004684448242e+01,1.405320145906978180e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.280000000000000000e+02,2.789879202842712402e+01,1.346883442117575713e+00,1.390000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012035989761352539e+01,1.748874883713341655e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011733984947204590e+01,1.246667155027235685e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.100000000000000000e+01,1.435452914237976074e+01,9.258884731269665380e-01,7.200000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.236454963684082031e+00,2.009205129829241820e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012223601341247559e+01,1.722550534917693943e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011554789543151855e+01,1.565973039664018573e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012042689323425293e+01,1.503060074775063093e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.400000000000000000e+01,2.102422690391540527e+01,1.085289624052944601e+00,1.050000000000000000e+02
0.000000000000000000e+00,-1.250000000000000000e+02,2.729133915901184082e+01,1.495963920833230931e+00,1.360000000000000000e+02
0.000000000000000000e+00,-8.100000000000000000e+01,1.839332795143127441e+01,9.899026257980684251e-01,9.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012109804153442383e+01,1.521822054970116689e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.100000000000000000e+01,1.233120489120483398e+01,4.907708042111219582e-01,6.200000000000000000e+01
0.000000000000000000e+00,-6.200000000000000000e+01,1.455600404739379883e+01,8.833412158509260648e-01,7.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011299419403076172e+01,1.550518211580039774e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011741805076599121e+01,1.276664296728087455e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.700000000000000000e+01,7.478654861450195312e+00,3.516859175170294338e-01,3.800000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.067299127578735352e+00,3.075624091397426429e-01,3.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012222909927368164e+01,1.191236426149370420e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012021780014038086e+01,1.282160713320829704e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011603689193725586e+01,1.643913649242181085e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.500000000000000000e+01,2.122491288185119629e+01,8.988400932312927694e-01,1.060000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011766695976257324e+01,1.417325939156193426e+00,1.500000000000000000e+02
