human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-3.446707364906078652e-01,1.762571463845978015e-01,-3.552523783252534693e-04,2.825992464313023186e-02,-3.412559215051664263e-01,1.842656611154426805e-01,4.120611820024180222e-02,4.863297166576954766e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.412559215051664263e-01,1.842656611154426805e-01,4.120611820024180222e-02,4.863297166576954766e-02,-3.297909692231793533e-01,1.959921496407599217e-01,7.772028776161930830e-02,6.865775116490320518e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.297909692231793533e-01,1.959921496407599217e-01,7.772028776161930830e-02,6.865775116490320518e-02,-3.102770408321722795e-01,2.080282251707195051e-01,1.175039478918315783e-01,4.991716790832407408e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.102770408321722795e-01,2.080282251707195051e-01,1.175039478918315783e-01,4.991716790832407408e-02,-2.858604299357464518e-01,2.159156230028734247e-01,1.220823076197488088e-01,2.874976238667444062e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.858604299357464518e-01,2.159156230028734247e-01,1.220823076197488088e-01,2.874976238667444062e-02,-2.615247317758674916e-01,2.198014815552331580e-01,1.202013906133146404e-01,1.017669896048366274e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.615247317758674916e-01,2.198014815552331580e-01,1.202013906133146404e-01,1.017669896048366274e-02,-2.402776200419198260e-01,2.220765234892264073e-01,8.546453266915517155e-02,2.025768810893853467e-02,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.402776200419198260e-01,2.220765234892264073e-01,8.546453266915517155e-02,2.025768810893853467e-02,-2.199565425993175172e-01,2.270609990038064963e-01,1.184697261117577533e-01,2.271019656945836088e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.199565425993175172e-01,2.270609990038064963e-01,1.184697261117577533e-01,2.271019656945836088e-02,-1.952549976234367324e-01,2.318683526343281731e-01,1.228634016317977223e-01,2.358085514975101146e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.952549976234367324e-01,2.318683526343281731e-01,1.228634016317977223e-01,2.358085514975101146e-02,-1.737342854221020083e-01,2.367143930027371945e-01,8.853436756872790081e-02,2.506112167372102212e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.737342854221020083e-01,2.367143930027371945e-01,8.853436756872790081e-02,2.506112167372102212e-02,-1.760955128988483387e-01,2.416842129200588718e-01,-3.716944122004715162e-02,2.463689303609756243e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.760955128988483387e-01,2.416842129200588718e-01,-3.716944122004715162e-02,2.463689303609756243e-02,-1.813361734751895438e-01,2.465975285398735450e-01,-6.208869324271245813e-03,2.363093714367063211e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.813361734751895438e-01,2.465975285398735450e-01,-6.208869324271245813e-03,2.363093714367063211e-02,-1.847561203215230263e-01,2.515643001105434817e-01,-3.513014814227417154e-02,2.542118229708946811e-02,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.847561203215230263e-01,2.515643001105434817e-01,-3.513014814227417154e-02,2.542118229708946811e-02,-1.936948363102543869e-01,2.556369589342456505e-01,-4.412550815287942518e-02,1.093685420347468261e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.936948363102543869e-01,2.556369589342456505e-01,-4.412550815287942518e-02,1.093685420347468261e-02,-1.992173011428409746e-01,2.556470359247642876e-01,-7.033422967852992307e-03,-1.065040549661009500e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.992173011428409746e-01,2.556470359247642876e-01,-7.033422967852992307e-03,-1.065040549661009500e-02,-2.029272492515168391e-01,2.517251417676017455e-01,-3.862158903260465292e-02,-3.011005985684932565e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.029272492515168391e-01,2.517251417676017455e-01,-3.862158903260465292e-02,-3.011005985684932565e-02,-2.084656876462674391e-01,2.442406500783865231e-01,-7.936242812904309440e-03,-3.640622703606555960e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.084656876462674391e-01,2.442406500783865231e-01,-7.936242812904309440e-03,-3.640622703606555960e-02,-2.122287288472148870e-01,2.392278705351037205e-01,-3.938276836349356713e-02,-1.414525396308442470e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.122287288472148870e-01,2.392278705351037205e-01,-3.938276836349356713e-02,-1.414525396308442470e-02,-2.177661960065402080e-01,2.381699207580073030e-01,-8.448998354630515156e-03,4.506373122514931509e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.177661960065402080e-01,2.381699207580073030e-01,-8.448998354630515156e-03,4.506373122514931509e-03,-2.181391753235175646e-01,2.413741851408115480e-01,-2.143666973527247332e-03,2.623746094297557327e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.181391753235175646e-01,2.413741851408115480e-01,-2.143666973527247332e-03,2.623746094297557327e-02,-2.153002428471295082e-01,2.474954652693888424e-01,3.338694030901221549e-02,2.474244949486289341e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.153002428471295082e-01,2.474954652693888424e-01,3.338694030901221549e-02,2.474244949486289341e-02,-2.075838196415296655e-01,2.504207954312733242e-01,3.877747054975321656e-02,5.491274955251156803e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.075838196415296655e-01,2.504207954312733242e-01,3.877747054975321656e-02,5.491274955251156803e-03,-1.967418175708229300e-01,2.492838207228081915e-01,7.278101305103203134e-02,-1.622176247918610120e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.967418175708229300e-01,2.492838207228081915e-01,7.278101305103203134e-02,-1.622176247918610120e-02,-1.811050289540425684e-01,2.469908333609288631e-01,7.814736890892030885e-02,-1.626986921350439272e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.811050289540425684e-01,2.469908333609288631e-01,7.814736890892030885e-02,-1.626986921350439272e-03,-1.724679482033482647e-01,2.487075060526978409e-01,2.477274911313779009e-03,2.081175796053053723e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.724679482033482647e-01,2.487075060526978409e-01,2.477274911313779009e-03,2.081175796053053723e-02,-1.757083332663441078e-01,2.545218292199531995e-01,-3.939819448310907801e-02,2.834862011630632367e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.757083332663441078e-01,2.545218292199531995e-01,-3.939819448310907801e-02,2.834862011630632367e-02,-1.867862187482552672e-01,2.583829406794797556e-01,-7.528135864722787507e-02,8.507194064048902507e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.867862187482552672e-01,2.583829406794797556e-01,-7.528135864722787507e-02,8.507194064048902507e-03,-2.028732393579628368e-01,2.581823010820201159e-01,-8.155186559759187992e-02,-1.030862927502658455e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.028732393579628368e-01,2.581823010820201159e-01,-8.155186559759187992e-02,-1.030862927502658455e-02,-2.220435281579213327e-01,2.567873761798248888e-01,-1.153457082125998734e-01,1.555936622474918350e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.220435281579213327e-01,2.567873761798248888e-01,-1.153457082125998734e-01,1.555936622474918350e-03,-2.491873089193593627e-01,2.592538444634291395e-01,-1.551523418306878510e-01,2.038601993367157930e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.491873089193593627e-01,2.592538444634291395e-01,-1.551523418306878510e-01,2.038601993367157930e-02,-2.796805014551533297e-01,2.629998658297261205e-01,-1.282970012040091368e-01,8.382881076053245312e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.796805014551533297e-01,2.629998658297261205e-01,-1.282970012040091368e-01,8.382881076053245312e-03,-3.039427808646512075e-01,2.626439815477049078e-01,-1.211038129832115867e-01,-1.181476104666198505e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.039427808646512075e-01,2.626439815477049078e-01,-1.211038129832115867e-01,-1.181476104666198505e-02,-3.313439553344710298e-01,2.581981284262628851e-01,-1.577369011813936350e-01,-3.308186808976279480e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.313439553344710298e-01,2.581981284262628851e-01,-1.577369011813936350e-01,-3.308186808976279480e-02,-3.592668484390869610e-01,2.495777395182112723e-01,3.570941621971564749e-03,-4.874574101129355158e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.592668484390869610e-01,2.495777395182112723e-01,3.570941621971564749e-03,-4.874574101129355158e-02,-3.592022763908666039e-01,2.423518206003050790e-01,1.066690044975983435e-04,-2.635594452566605156e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.592022763908666039e-01,2.423518206003050790e-01,1.066690044975983435e-04,-2.635594452566605156e-02,-3.560150619125003746e-01,2.382528822604026153e-01,3.515068047098569154e-02,-2.473354778601259685e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.560150619125003746e-01,2.382528822604026153e-01,3.515068047098569154e-02,-2.473354778601259685e-02,-3.472841720700609591e-01,2.307918285659382451e-01,4.228960729690876136e-02,-4.639635514192582549e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.472841720700609591e-01,2.307918285659382451e-01,4.228960729690876136e-02,-4.639635514192582549e-02,-3.390112546405039673e-01,2.217720844104287270e-01,4.328075277821839123e-02,-3.660286118140902017e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.390112546405039673e-01,2.217720844104287270e-01,4.328075277821839123e-02,-3.660286118140902017e-02,-3.306301959446742988e-01,2.166133546969079560e-01,4.248213126241006526e-02,-1.606406522977787618e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.306301959446742988e-01,2.166133546969079560e-01,4.248213126241006526e-02,-1.606406522977787618e-02,-3.192033634626751382e-01,2.153938915787325936e-01,7.666774048593479052e-02,4.500505196707537542e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.192033634626751382e-01,2.153938915787325936e-01,7.666774048593479052e-02,4.500505196707537542e-03,-3.059306978384875864e-01,2.182007337960250315e-01,4.676503569174738500e-02,2.408432359671684383e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.059306978384875864e-01,2.182007337960250315e-01,4.676503569174738500e-02,2.408432359671684383e-02,-3.007374874211364291e-01,2.250876346505066572e-01,7.675790982706228067e-03,4.345463182355723680e-02,2.000000000000000042e-02,-2.000000000000000111e-01
