expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.000990200042724609e+01,2.229324151661076225e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001168084144592285e+01,2.252051960619590343e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001033401489257812e+01,2.201381682853258415e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001218891143798828e+01,2.382340972125629897e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001368498802185059e+01,2.780620719274474073e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001332592964172363e+01,2.562715367066047190e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000517106056213379e+01,2.306673028647991064e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001161718368530273e+01,2.122150705710712959e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001520109176635742e+01,2.061631178661226027e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001070094108581543e+01,2.365297042683455864e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012323212623596191e+01,2.132138164279838488e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012184119224548340e+01,2.742151866925312209e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011237597465515137e+01,1.981871990218905033e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011923384666442871e+01,1.896175983608034743e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011915087699890137e+01,2.104817701038715239e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012315106391906738e+01,2.328311267929992656e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012122607231140137e+01,1.962843118168658529e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011790394783020020e+01,2.297721295551386156e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011984515190124512e+01,1.928959488623982033e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011701107025146484e+01,1.780447765664282089e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012506103515625000e+01,2.363023382350839530e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012079715728759766e+01,2.077389479146319218e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011991500854492188e+01,1.898953487801597451e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012218117713928223e+01,1.748288193278674019e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.900000000000000000e+01,2.203286004066467285e+01,1.693908305144019577e+00,1.100000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011861205101013184e+01,1.903850437773091819e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012632799148559570e+01,2.081488227300932525e+00,1.500000000000000000e+02
