human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,-1.836628657626682426e-01,1.850993112187563350e-01,1.469915343185875575e-03,5.066307567367862169e-02,-1.834932139752749880e-01,1.974686233657404755e-01,1.133966721382880655e-03,7.188860444447124631e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.834932139752749880e-01,1.974686233657404755e-01,1.133966721382880655e-03,7.188860444447124631e-02,-1.833310711974316942e-01,2.127100783356256353e-01,-5.422289253414310021e-05,7.203921189308967743e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.833310711974316942e-01,2.127100783356256353e-01,-5.422289253414310021e-05,7.203921189308967743e-02,-1.832469135201429400e-01,2.247353539249625498e-01,5.695905086843219053e-04,4.967724752565113450e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.832469135201429400e-01,2.247353539249625498e-01,5.695905086843219053e-04,4.967724752565113450e-02,-1.861848970842545636e-01,2.329630665371475451e-01,-3.303249664960945797e-02,2.890804651424577071e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.861848970842545636e-01,2.329630665371475451e-01,-3.303249664960945797e-02,2.890804651424577071e-02,-1.970634393726330980e-01,2.367778048340415387e-01,-7.285569586144456655e-02,8.002258205123539622e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.970634393726330980e-01,2.367778048340415387e-01,-7.285569586144456655e-02,8.002258205123539622e-03,-2.130464331792343846e-01,2.364972924658393094e-01,-8.062864163130083195e-02,-1.131192329476057856e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.130464331792343846e-01,2.364972924658393094e-01,-8.062864163130083195e-02,-1.131192329476057856e-02,-2.320680035839187971e-01,2.335586000314014421e-01,-1.141174373156537275e-01,-8.398864044692234965e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.320680035839187971e-01,2.335586000314014421e-01,-1.141174373156537275e-01,-8.398864044692234965e-03,-2.559632538190225737e-01,2.337984461532708613e-01,-1.194013671280301503e-01,1.095010737565095885e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.559632538190225737e-01,2.337984461532708613e-01,-1.194013671280301503e-01,1.095010737565095885e-02,-2.800138687550883243e-01,2.381955445489716827e-01,-1.198649810895330153e-01,3.196903270368324501e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.800138687550883243e-01,2.381955445489716827e-01,-1.198649810895330153e-01,3.196903270368324501e-02,-3.048919658201396654e-01,2.470090531382464205e-01,-1.177553499026541828e-01,5.150626987859126954e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.048919658201396654e-01,2.470090531382464205e-01,-1.177553499026541828e-01,5.150626987859126954e-02,-3.316863233498008601e-01,2.593386879534751444e-01,-1.517555397422991614e-01,6.269470588422694501e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.316863233498008601e-01,2.593386879534751444e-01,-1.517555397422991614e-01,6.269470588422694501e-02,-3.610382439028085866e-01,2.697586366156548565e-01,9.022380330651454117e-03,4.417023374427013482e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.610382439028085866e-01,2.697586366156548565e-01,9.022380330651454117e-03,4.417023374427013482e-02,-3.608244157888707004e-01,2.766989705643783104e-01,-2.572111214922071106e-04,2.522475820041998607e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.608244157888707004e-01,2.766989705643783104e-01,-2.572111214922071106e-04,2.522475820041998607e-02,-3.607822057280900552e-01,2.796366657798565747e-01,2.771793713867576423e-03,8.339466817051001749e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.607822057280900552e-01,2.796366657798565747e-01,2.771793713867576423e-03,8.339466817051001749e-03,-3.607309979976859315e-01,2.785096206081948966e-01,6.488899819944032605e-04,-1.447054755992413684e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.607309979976859315e-01,2.785096206081948966e-01,6.488899819944032605e-04,-1.447054755992413684e-02,-3.577328547791051028e-01,2.730531197179945635e-01,3.438324043328941371e-02,-3.658245229839425516e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.577328547791051028e-01,2.730531197179945635e-01,3.438324043328941371e-02,-3.658245229839425516e-02,-3.497460051951822302e-01,2.637749650726120554e-01,3.998401877318442932e-02,-5.587662469236268081e-02,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.497460051951822302e-01,2.637749650726120554e-01,3.998401877318442932e-02,-5.587662469236268081e-02,-3.446079778975032482e-01,2.507497343917532429e-01,6.865724367521999078e-03,-6.925433383588848468e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.446079778975032482e-01,2.507497343917532429e-01,6.865724367521999078e-03,-6.925433383588848468e-02,-3.413929922485064439e-01,2.369552348956860399e-01,3.495622126483381720e-02,-6.900955407044231937e-02,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.413929922485064439e-01,2.369552348956860399e-01,3.495622126483381720e-02,-6.900955407044231937e-02,-3.363442637924567435e-01,2.233533132758342421e-01,6.671846473383997306e-03,-6.541493562254582783e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.363442637924567435e-01,2.233533132758342421e-01,6.671846473383997306e-03,-6.541493562254582783e-02,-3.392012584324487490e-01,2.123592763273051132e-01,-3.420006468788508447e-02,-4.530049982865389652e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.392012584324487490e-01,2.123592763273051132e-01,-3.420006468788508447e-02,-4.530049982865389652e-02,-3.447973799439005838e-01,2.050880770081929816e-01,-7.550684875288451309e-03,-2.442991603896988578e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.447973799439005838e-01,2.050880770081929816e-01,-7.550684875288451309e-03,-2.442991603896988578e-02,-3.481259449661909811e-01,2.022332525332393993e-01,-3.467969993927634553e-02,-5.410739889423722519e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.481259449661909811e-01,2.022332525332393993e-01,-3.467969993927634553e-02,-5.410739889423722519e-03,-3.571963333215051328e-01,2.033162954095928676e-01,-5.406862598380033150e-03,1.975707894636326636e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.571963333215051328e-01,2.033162954095928676e-01,-5.406862598380033150e-03,1.975707894636326636e-02,-3.543112682703565275e-01,2.084558125397744099e-01,3.594693604364045808e-02,3.373239663623699147e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.543112682703565275e-01,2.084558125397744099e-01,3.594693604364045808e-02,3.373239663623699147e-02,-3.433506445078245983e-01,2.175434397452632174e-01,7.407516005656383795e-02,5.543627344783887828e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.433506445078245983e-01,2.175434397452632174e-01,7.407516005656383795e-02,5.543627344783887828e-02,-3.273352998159809735e-01,2.305583653088613960e-01,8.023096378574520737e-02,7.432309118190771891e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.273352998159809735e-01,2.305583653088613960e-01,8.023096378574520737e-02,7.432309118190771891e-02,-3.076126088416663018e-01,2.481851718097440318e-01,1.154840753285890226e-01,8.776238392878794869e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.076126088416663018e-01,2.481851718097440318e-01,1.154840753285890226e-01,8.776238392878794869e-02,-2.834966277531087986e-01,2.638734954134577815e-01,1.208309625351228767e-01,6.765529418758270408e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.834966277531087986e-01,2.638734954134577815e-01,1.208309625351228767e-01,6.765529418758270408e-02,-2.565207074961134981e-01,2.754071762112344501e-01,1.542588416880542324e-01,4.748159831209045056e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.565207074961134981e-01,2.754071762112344501e-01,1.542588416880542324e-01,4.748159831209045056e-02,-2.216013769367631281e-01,2.827447881550487763e-01,1.939321357907722032e-01,2.626122288590034687e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.216013769367631281e-01,2.827447881550487763e-01,1.939321357907722032e-01,2.626122288590034687e-02,-1.845996683689479778e-01,2.861359560302355054e-01,1.658749966503001716e-01,6.796613118018906240e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.845996683689479778e-01,2.861359560302355054e-01,1.658749966503001716e-01,6.796613118018906240e-03,-1.709020371024959073e-01,2.858243422725179061e-01,-1.373050119091619387e-03,-9.834404425548965573e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.709020371024959073e-01,2.858243422725179061e-01,-1.373050119091619387e-03,-9.834404425548965573e-03,-1.709736922983803031e-01,2.814656586891544077e-01,-2.540152966449598032e-04,-3.169081303336801492e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.709736922983803031e-01,2.814656586891544077e-01,-2.540152966449598032e-04,-3.169081303336801492e-02,-1.740063643303854657e-01,2.738119457384751709e-01,-3.270224963125430845e-02,-3.603061099440462572e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.740063643303854657e-01,2.738119457384751709e-01,-3.270224963125430845e-02,-3.603061099440462572e-02,-1.848780754602285525e-01,2.687589805025943912e-01,-7.355592595621823770e-02,-1.531624128993864381e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.848780754602285525e-01,2.687589805025943912e-01,-7.355592595621823770e-02,-1.531624128993864381e-02,-2.008002779138991500e-01,2.677740570302157841e-01,-8.015062021389705860e-02,5.068092890894899255e-03,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.008002779138991500e-01,2.677740570302157841e-01,-8.015062021389705860e-02,5.068092890894899255e-03,-2.167744698454905083e-01,2.700228968886278502e-01,-8.054935596564258282e-02,8.662440855915703314e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.167744698454905083e-01,2.700228968886278502e-01,-8.054935596564258282e-02,8.662440855915703314e-03,-2.304545833972694024e-01,2.695253801606823929e-01,-4.551086332642905602e-02,-1.234632392419315362e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.304545833972694024e-01,2.695253801606823929e-01,-4.551086332642905602e-02,-1.234632392419315362e-02,-2.385567501147874137e-01,2.650072206362845684e-01,-3.988289236167636559e-02,-3.193414866706670296e-02,-2.000000000000000042e-02,0.000000000000000000e+00
