expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-8.400000000000000000e+01,1.899358391761779785e+01,1.338235387520957387e+00,9.500000000000000000e+01
0.000000000000000000e+00,-9.800000000000000000e+01,2.182363891601562500e+01,1.132729161201248891e+00,1.090000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010312294960021973e+01,1.904307405584228174e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011373901367187500e+01,1.917318136254366090e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010797691345214844e+01,1.912200936829684395e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010800600051879883e+01,2.050006016272265974e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011278414726257324e+01,1.829921187983287068e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010461282730102539e+01,2.372318594672221170e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.800000000000000000e+01,1.576124715805053711e+01,1.026883395767718588e+00,7.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.010598206520080566e+01,2.202502118501473038e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.900000000000000000e+01,9.935724973678588867e+00,5.971562506658233405e-01,5.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021668195724487305e+01,1.969569315651235941e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021595311164855957e+01,1.575720931730628216e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.000000000000000000e+01,8.115525960922241211e+00,5.352411578686863125e-01,4.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021552109718322754e+01,1.762507061000973874e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+01,4.058328151702880859e+00,2.115289062315771629e-01,2.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021624112129211426e+01,1.966704888393608686e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.700000000000000000e+01,1.358896088600158691e+01,7.693010387569971797e-01,6.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022083306312561035e+01,1.708518469473375934e+00,1.500000000000000000e+02
