expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001578903198242188e+01,2.162140443606618501e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000680088996887207e+01,2.030324492267938652e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001197385787963867e+01,1.936241360864130456e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001343202590942383e+01,2.159227572262544470e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001455521583557129e+01,2.389547396100187182e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000623893737792969e+01,2.240416463769492328e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001024198532104492e+01,1.785287150821369906e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001239299774169922e+01,1.528261725813674365e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001144123077392578e+01,2.186872730066881765e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001643896102905273e+01,1.916880793920074710e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.400000000000000000e+01,1.900148582458496094e+01,1.033975002608950255e+00,9.500000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.043378114700317383e+00,2.335017251718609077e-01,2.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012652993202209473e+01,1.672885373655093044e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012337899208068848e+01,1.933030237720350764e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011876082420349121e+01,1.705148440157514322e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012787008285522461e+01,1.596737783003942868e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.700000000000000000e+01,1.758956313133239746e+01,1.167497837243585579e+00,8.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011920690536499023e+01,1.836471698092672522e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012056088447570801e+01,1.745948173678343096e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012318396568298340e+01,1.650214226733137002e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.090000000000000000e+02,2.406024384498596191e+01,1.229474125734145051e+00,1.200000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012347698211669922e+01,1.552562701042935256e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011748313903808594e+01,1.752711287182945776e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.100000000000000000e+01,8.289376020431518555e+00,3.902472624534732981e-01,4.200000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.629750013351440430e+00,1.434070573567950424e-01,1.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012063407897949219e+01,1.740162397841516162e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.000000000000000000e+00,3.235086917877197266e+00,1.700543725035532916e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.040000000000000000e+02,2.304443407058715820e+01,1.043476746626564866e+00,1.150000000000000000e+02
0.000000000000000000e+00,-2.300000000000000000e+01,6.675104141235351562e+00,3.905380957650471108e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012318205833435059e+01,1.593911204724416164e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.900000000000000000e+01,2.203526592254638672e+01,9.702355390609620489e-01,1.100000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012236690521240234e+01,1.596766818564608226e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.190000000000000000e+02,2.608031082153320312e+01,1.241679591991624587e+00,1.300000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011990284919738770e+01,1.759112700796932938e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.500000000000000000e+01,7.077795028686523438e+00,4.950504654738326904e-01,3.600000000000000000e+01
0.000000000000000000e+00,3.000000000000000000e+00,1.415940046310424805e+00,9.406119358904635464e-02,8.000000000000000000e+00
0.000000000000000000e+00,-4.400000000000000000e+01,1.091714286804199219e+01,6.441211047614088248e-01,5.500000000000000000e+01
0.000000000000000000e+00,-6.700000000000000000e+01,1.556533384323120117e+01,7.710215752199387484e-01,7.800000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.032926082611083984e+00,1.413498375795851636e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+02,2.223984789848327637e+01,1.087085338738535745e+00,1.110000000000000000e+02
