human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,1.000000000000000000e+00,-1.844749644522574727e-01,1.768767122147257564e-01,4.050027468637739606e-04,3.057723965878035230e-02,-1.844736789190082882e-01,1.856063637860350113e-01,1.353988781578477915e-03,5.263881223715989599e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.844736789190082882e-01,1.856063637860350113e-01,1.353988781578477915e-03,5.263881223715989599e-02,-1.843900109974071777e-01,1.940565946046237389e-01,2.588639971009758060e-04,3.251715407379328349e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.843900109974071777e-01,1.940565946046237389e-01,2.588639971009758060e-04,3.251715407379328349e-02,-1.874763429615913801e-01,1.984199068784429920e-01,-3.480993185352986019e-02,1.243688760390205053e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.874763429615913801e-01,1.984199068784429920e-01,-3.480993185352986019e-02,1.243688760390205053e-02,-1.923504923024392799e-01,1.987561074646529702e-01,-6.964443989593241402e-03,-6.321895318119990538e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.923504923024392799e-01,1.987561074646529702e-01,-6.964443989593241402e-03,-6.321895318119990538e-03,-1.954417425555525223e-01,1.951309542297349209e-01,-3.555763804316098425e-02,-2.641945995550569817e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.954417425555525223e-01,1.951309542297349209e-01,-3.555763804316098425e-02,-2.641945995550569817e-02,-2.037504073232102586e-01,1.870462001475208802e-01,-3.994405948908213988e-02,-4.874662523450243312e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.037504073232102586e-01,1.870462001475208802e-01,-3.994405948908213988e-02,-4.874662523450243312e-02,-2.148372009158544260e-01,1.795045649504568297e-01,-7.465404115600342283e-02,-2.834808712940120948e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.148372009158544260e-01,1.795045649504568297e-01,-7.465404115600342283e-02,-2.834808712940120948e-02,-2.277807901222146936e-01,1.760519778985585870e-01,-4.335509730899936298e-02,-7.858986271881800156e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.277807901222146936e-01,1.760519778985585870e-01,-4.335509730899936298e-02,-7.858986271881800156e-03,-2.326671466512700293e-01,1.766516173307559612e-01,-3.317152307986161609e-03,1.221017149250322106e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.326671466512700293e-01,1.766516173307559612e-01,-3.317152307986161609e-03,1.221017149250322106e-02,-2.357664187068372608e-01,1.812965115293176388e-01,-3.341541411187647082e-02,3.270860587309059458e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.357664187068372608e-01,1.812965115293176388e-01,-3.341541411187647082e-02,3.270860587309059458e-02,-2.406230679869448830e-01,1.899090111227804967e-01,-4.979385613193726932e-03,5.310387427327416948e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.406230679869448830e-01,1.899090111227804967e-01,-4.979385613193726932e-03,5.310387427327416948e-02,-2.402223880466844985e-01,2.031266615535766429e-01,2.578547748671271723e-03,7.371679057207940200e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.402223880466844985e-01,2.031266615535766429e-01,2.578547748671271723e-03,7.371679057207940200e-02,-2.397950736300349939e-01,2.199647953824563906e-01,3.276367603036864883e-03,9.440745498165774297e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.397950736300349939e-01,2.199647953824563906e-01,3.276367603036864883e-03,9.440745498165774297e-02,-2.362068710862549326e-01,2.381981392366128158e-01,3.658977389412169934e-02,8.300924097882630970e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.362068710862549326e-01,2.381981392366128158e-01,3.658977389412169934e-02,8.300924097882630970e-02,-2.277686374387354884e-01,2.524532610884576145e-01,4.252988970072235642e-02,6.141685224697427531e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.277686374387354884e-01,2.524532610884576145e-01,4.252988970072235642e-02,6.141685224697427531e-02,-2.194128102483182130e-01,2.627283886999584039e-01,4.185962323828335691e-02,4.188486031121962938e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.194128102483182130e-01,2.627283886999584039e-01,4.185962323828335691e-02,4.188486031121962938e-02,-2.141549329091833598e-01,2.690285980892340723e-01,6.739530789780261676e-03,2.133779117342293752e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.141549329091833598e-01,2.690285980892340723e-01,6.739530789780261676e-03,2.133779117342293752e-02,-2.171638092003177478e-01,2.713139011924084465e-01,-3.573734311052864654e-02,2.408356054580431706e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.171638092003177478e-01,2.713139011924084465e-01,-3.573734311052864654e-02,2.408356054580431706e-03,-2.252192467167010992e-01,2.693918263738228625e-01,-4.062809849598645467e-02,-1.880500986245886227e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.252192467167010992e-01,2.693918263738228625e-01,-4.062809849598645467e-02,-1.880500986245886227e-02,-2.332327423337671735e-01,2.634718367515205273e-01,-3.974275228552379136e-02,-3.951120871299330234e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.332327423337671735e-01,2.634718367515205273e-01,-3.974275228552379136e-02,-3.951120871299330234e-02,-2.411518150344898748e-01,2.535859829878643890e-01,-4.018120463438085849e-02,-5.859392898906154445e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.411518150344898748e-01,2.535859829878643890e-01,-4.018120463438085849e-02,-5.859392898906154445e-02,-2.491008639944006786e-01,2.419721731968301481e-01,-4.061440915175860977e-02,-4.896226503182454781e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.491008639944006786e-01,2.419721731968301481e-01,-4.061440915175860977e-02,-4.896226503182454781e-02,-2.571107289053516931e-01,2.342566477120520407e-01,-4.127435507560059391e-02,-2.712195911908124590e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.571107289053516931e-01,2.342566477120520407e-01,-4.127435507560059391e-02,-2.712195911908124590e-02,-2.623285494191385236e-01,2.303819217451227863e-01,-4.575263949724687226e-04,-1.095053080621101287e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.623285494191385236e-01,2.303819217451227863e-01,-4.575263949724687226e-04,-1.095053080621101287e-02,-2.592551333106776212e-01,2.308617569328027808e-01,3.601510520500531692e-02,1.151730120256389510e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.592551333106776212e-01,2.308617569328027808e-01,3.601510520500531692e-02,1.151730120256389510e-02,-2.481224235679072576e-01,2.352143161839279628e-01,7.474695808847746370e-02,3.229080267333404863e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.481224235679072576e-01,2.352143161839279628e-01,7.474695808847746370e-02,3.229080267333404863e-02,-2.320676631734432116e-01,2.410585960106755576e-01,8.087336877640834143e-02,2.004093332834002913e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.320676631734432116e-01,2.410585960106755576e-01,8.087336877640834143e-02,2.004093332834002913e-02,-2.129256683895424107e-01,2.428982011203036917e-01,1.138689235556698681e-01,3.950406015772392346e-04,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.129256683895424107e-01,2.428982011203036917e-01,1.138689235556698681e-01,3.950406015772392346e-04,-1.877186225792532304e-01,2.405736485243508416e-01,1.202617830013331390e-01,-2.088153654547070942e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.877186225792532304e-01,2.405736485243508416e-01,1.202617830013331390e-01,-2.088153654547070942e-02,-1.723746257227542489e-01,2.343658507607615238e-01,-2.336649545601737939e-03,-4.392918133066729680e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.723746257227542489e-01,2.343658507607615238e-01,-2.336649545601737939e-03,-4.392918133066729680e-02,-1.723072201218690258e-01,2.257669549890514160e-01,1.507000095100905542e-03,-3.597441082505693083e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.723072201218690258e-01,2.257669549890514160e-01,1.507000095100905542e-03,-3.597441082505693083e-02,-1.754019815760402556e-01,2.207601210027148597e-01,-3.434209628305798928e-02,-1.600933712161672559e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.754019815760402556e-01,2.207601210027148597e-01,-3.434209628305798928e-02,-1.600933712161672559e-02,-1.803006654417491639e-01,2.196882690503970392e-01,-4.443332447825674471e-03,6.072476987916967245e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.803006654417491639e-01,2.196882690503970392e-01,-4.443332447825674471e-03,6.072476987916967245e-03,-1.834491249522039180e-01,2.227338891271075372e-01,-3.637299864128836629e-02,2.442076593270362320e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.834491249522039180e-01,2.227338891271075372e-01,-3.637299864128836629e-02,2.442076593270362320e-02,-1.920278370701579140e-01,2.300867602949758783e-01,-4.124430946710490320e-02,4.474378288502799811e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.920278370701579140e-01,2.300867602949758783e-01,-4.124430946710490320e-02,4.474378288502799811e-02,-2.033794639994451203e-01,2.412224276483642682e-01,-7.535478074331254661e-02,6.522646674605353523e-02,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.033794639994451203e-01,2.412224276483642682e-01,-7.535478074331254661e-02,6.522646674605353523e-02,-2.165785478339384840e-01,2.552129935051578036e-01,-4.516365095904573135e-02,6.703102978046056315e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.165785478339384840e-01,2.552129935051578036e-01,-4.516365095904573135e-02,6.703102978046056315e-02,-2.248014568189179718e-01,2.686439401260735105e-01,-4.046399782205123419e-02,6.674009481137213595e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.248014568189179718e-01,2.686439401260735105e-01,-4.046399782205123419e-02,6.674009481137213595e-02,-2.361840578570659765e-01,2.821232046500038448e-01,-7.532951690964435898e-02,6.698050774528967188e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.361840578570659765e-01,2.821232046500038448e-01,-7.532951690964435898e-02,6.698050774528967188e-02,-2.524128281415136676e-01,2.955095983227466472e-01,-8.175773160041280296e-02,6.701243190621011814e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.524128281415136676e-01,2.955095983227466472e-01,-8.175773160041280296e-02,6.701243190621011814e-02,-2.724311422655014137e-01,3.101871970794577993e-01,-1.164770009749702406e-01,7.923650635066371850e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.724311422655014137e-01,3.101871970794577993e-01,-1.164770009749702406e-01,7.923650635066371850e-02,-2.935981951564700099e-01,3.280498488255824685e-01,-8.708676563004347226e-02,9.947339977037705783e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.935981951564700099e-01,3.280498488255824685e-01,-8.708676563004347226e-02,9.947339977037705783e-02,-3.125078594061242998e-01,3.452612671212288431e-01,-1.231747852646749297e-01,-6.065117787824290691e-04,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.125078594061242998e-01,3.452612671212288431e-01,-1.231747852646749297e-01,-6.065117787824290691e-04,-3.367908105169509225e-01,3.422708147029313586e-01,-1.203716175222350887e-01,-2.434692295922188943e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.367908105169509225e-01,3.422708147029313586e-01,-1.203716175222350887e-01,-2.434692295922188943e-02,-3.595828766076443195e-01,3.352786908783321751e-01,5.791696107683755833e-03,-4.589718196444009940e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.595828766076443195e-01,3.352786908783321751e-01,5.791696107683755833e-03,-4.589718196444009940e-02,-3.593950575862517871e-01,3.245917192575209498e-01,7.338379556909986568e-04,-6.303265511261321730e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.593950575862517871e-01,3.245917192575209498e-01,7.338379556909986568e-04,-6.303265511261321730e-02,-3.560831220198551472e-01,3.092558851533765973e-01,3.517225320140877909e-02,-8.472942712649300656e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.560831220198551472e-01,3.092558851533765973e-01,3.517225320140877909e-02,-8.472942712649300656e-02,-3.508739934424399132e-01,2.904141785325936032e-01,7.263854655237311601e-03,-1.045571879238029883e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.508739934424399132e-01,2.904141785325936032e-01,7.263854655237311601e-03,-1.045571879238029883e-01,-3.476608931374861045e-01,2.675664806407620500e-01,3.488451398974894840e-02,-1.244419015796667805e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.476608931374861045e-01,2.675664806407620500e-01,3.488451398974894840e-02,-1.244419015796667805e-01,-3.423459871477689265e-01,2.407729162197929096e-01,7.442176275455752825e-03,-1.432639493074991388e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.423459871477689265e-01,2.407729162197929096e-01,7.442176275455752825e-03,-1.432639493074991388e-01,-3.454339299755386228e-01,2.087095834118667115e-01,-3.453396461599573392e-02,-1.646313030160179713e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.454339299755386228e-01,2.087095834118667115e-01,-3.453396461599573392e-02,-1.646313030160179713e-01,-3.534094185780153330e-01,1.755252084837150561e-01,-4.122936514251705070e-02,-1.579294906818528854e-01,2.000000000000000042e-02,0.000000000000000000e+00
