expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-2.000000000000000000e+00,2.417690038681030273e+00,1.222718355373503540e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001918601989746094e+01,2.048681753409843154e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.200000000000000000e+01,8.461906909942626953e+00,5.815105696204441177e-01,4.300000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+01,2.014498805999755859e+01,1.199461648364832822e+00,1.010000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001279187202453613e+01,1.590558946493189518e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001088404655456543e+01,1.746111372313238874e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001427793502807617e+01,1.921012084614618365e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001140618324279785e+01,1.878350196291115104e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001133894920349121e+01,1.763859171340884213e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.047566699981689453e+01,5.362098540260498147e-01,5.300000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.438369989395141602e+00,3.348068890219445537e-01,1.800000000000000000e+01
0.000000000000000000e+00,-4.400000000000000000e+01,1.091781997680664062e+01,5.617857078224963718e-01,5.500000000000000000e+01
0.000000000000000000e+00,-3.600000000000000000e+01,9.300083160400390625e+00,5.338595407249777658e-01,4.700000000000000000e+01
0.000000000000000000e+00,-6.600000000000000000e+01,1.536543798446655273e+01,9.543328317975592334e-01,7.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012288999557495117e+01,1.802429224784843909e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012174892425537109e+01,1.859514129660339465e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.800000000000000000e+01,1.981266689300537109e+01,1.342665396567098712e+00,9.900000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.032941102981567383e+00,1.854529947779213761e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012189006805419922e+01,1.722307597439606264e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.300000000000000000e+01,1.071486115455627441e+01,6.159556661881629980e-01,5.400000000000000000e+01
0.000000000000000000e+00,-1.130000000000000000e+02,2.487069487571716309e+01,1.598886280421699002e+00,1.240000000000000000e+02
