human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,2.000000000000000000e+00,-3.450408431606061810e-01,1.724747920427658898e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.450234961083363250e-01,1.724724316123373291e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.450234961083363250e-01,1.724724316123373291e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.450460213093484718e-01,1.724915167831076457e-01,-7.627067786671801446e-04,2.991994776895409540e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.450460213093484718e-01,1.724915167831076457e-01,-7.627067786671801446e-04,2.991994776895409540e-03,-3.450370349663848257e-01,1.749746324460571822e-01,6.364542790745193008e-04,2.296015588955574102e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.450370349663848257e-01,1.749746324460571822e-01,6.364542790745193008e-04,2.296015588955574102e-02,-3.450123893387844753e-01,1.815295308233939031e-01,-6.070432565117564244e-04,4.326382801222913160e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.450123893387844753e-01,1.815295308233939031e-01,-6.070432565117564244e-04,4.326382801222913160e-02,-3.418215468581409788e-01,1.913732905068442902e-01,3.801215378000150080e-02,3.881109570609735798e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.418215468581409788e-01,1.913732905068442902e-01,3.801215378000150080e-02,3.881109570609735798e-02,-3.338166846970682666e-01,1.975071439333161705e-01,3.907567942587183291e-02,2.387993179357714851e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.338166846970682666e-01,1.975071439333161705e-01,3.907567942587183291e-02,2.387993179357714851e-02,-3.258004316975529058e-01,2.046302941471714598e-01,3.851413973512738537e-02,4.537086558109166418e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.258004316975529058e-01,2.046302941471714598e-01,3.851413973512738537e-02,4.537086558109166418e-02,-3.146331919899052476e-01,2.157506232722891104e-01,7.567392412639514787e-02,6.408222743094688090e-02,2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.146331919899052476e-01,2.157506232722891104e-01,7.567392412639514787e-02,6.408222743094688090e-02,-3.016387929475617957e-01,2.280588492964031599e-01,4.040648350671392774e-02,5.529011331798967116e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.016387929475617957e-01,2.280588492964031599e-01,4.040648350671392774e-02,5.529011331798967116e-02,-2.905680802552460529e-01,2.369908421562991752e-01,7.620773406104090764e-02,3.855003419810222598e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.905680802552460529e-01,2.369908421562991752e-01,7.620773406104090764e-02,3.855003419810222598e-02,-2.767292388547540893e-01,2.452586119484096716e-01,4.394734928192244733e-02,4.115616283216765731e-02,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.767292388547540893e-01,2.452586119484096716e-01,4.394734928192244733e-02,4.115616283216765731e-02,-2.683662680120705302e-01,2.525374752324100469e-01,4.424947012017775572e-02,2.552377285696549522e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.683662680120705302e-01,2.525374752324100469e-01,4.424947012017775572e-02,2.552377285696549522e-02,-2.632090432175295258e-01,2.571816505080302129e-01,6.023327987257957872e-03,1.594976277102776521e-02,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.841652292990460515e-01,2.046451013351652803e-01,1.247764469609898008e-03,3.370997755719481320e-02,-1.807172709593590776e-01,2.095413806178622329e-01,4.022255214565983311e-02,1.069526912323719159e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.807172709593590776e-01,2.095413806178622329e-01,4.022255214565983311e-02,1.069526912323719159e-02,-1.736374411327071265e-01,2.109809894170766031e-01,-4.746872845695106896e-03,1.369392554048477414e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.736374411327071265e-01,2.109809894170766031e-01,-4.746872845695106896e-03,1.369392554048477414e-02,-1.736509174065187788e-01,2.152759801070480983e-01,4.810043758744489612e-04,3.009061551667957871e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.736509174065187788e-01,2.152759801070480983e-01,4.810043758744489612e-04,3.009061551667957871e-02,-1.767441027982931123e-01,2.235737765226359919e-01,-3.511007362035313550e-02,5.155451887414445183e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.767441027982931123e-01,2.235737765226359919e-01,-3.511007362035313550e-02,5.155451887414445183e-02,-1.816158294162380504e-01,2.324544896697589014e-01,-6.321153370998726893e-03,3.495151110396157307e-02,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.816158294162380504e-01,2.324544896697589014e-01,-6.321153370998726893e-03,3.495151110396157307e-02,-1.847023764978076021e-01,2.385461785626273590e-01,-3.564912398037438368e-02,2.910612766174571625e-02,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.847023764978076021e-01,2.385461785626273590e-01,-3.564912398037438368e-02,2.910612766174571625e-02,-1.933514500835764593e-01,2.445532233367735675e-01,-4.097949803397788610e-02,2.750540885690091683e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.933514500835764593e-01,2.445532233367735675e-01,-4.097949803397788610e-02,2.750540885690091683e-02,-2.016675425169193181e-01,2.485518964800576824e-01,-4.126706148000584135e-02,1.425019861106705497e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.016675425169193181e-01,2.485518964800576824e-01,-4.126706148000584135e-02,1.425019861106705497e-02,-2.100034054983881404e-01,2.498815553967730918e-01,-4.225664520393225543e-02,-3.374777430202068659e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.100034054983881404e-01,2.498815553967730918e-01,-4.225664520393225543e-02,-3.374777430202068659e-03,-2.214278778567014827e-01,2.471328855215970399e-01,-7.690884358665614484e-02,-2.377939178267305179e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.214278778567014827e-01,2.471328855215970399e-01,-7.690884358665614484e-02,-2.377939178267305179e-02,-2.408954378733847990e-01,2.408627801608758112e-01,-1.175302684911281870e-01,-2.999970702451200399e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.408954378733847990e-01,2.408627801608758112e-01,-1.175302684911281870e-01,-2.999970702451200399e-02,-2.621713089280841569e-01,2.368397390744143016e-01,-8.577960621828149834e-02,-8.440881660906273190e-03,2.000000000000000042e-02,2.000000000000000111e-01
