expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001315021514892578e+01,1.851352729576928535e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.300000000000000000e+01,1.672198390960693359e+01,8.864410115417062919e-01,8.400000000000000000e+01
0.000000000000000000e+00,-5.800000000000000000e+01,1.369794988632202148e+01,8.438395155264289960e-01,6.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001490497589111328e+01,1.473357062934025796e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001346397399902344e+01,2.015783228109971681e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000689005851745605e+01,1.828503760378499710e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001355791091918945e+01,1.739633109727142246e+00,1.500000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,2.016463994979858398e+00,9.749431627834435898e-02,1.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001279187202453613e+01,2.117708839951130351e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001284599304199219e+01,1.709521449411914418e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011954903602600098e+01,1.817919144045215596e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012442183494567871e+01,1.462741396705926844e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.500000000000000000e+01,1.516237592697143555e+01,6.505725204262869932e-01,7.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012402391433715820e+01,1.555466945824998559e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.030000000000000000e+02,2.284377908706665039e+01,1.152666035931803057e+00,1.140000000000000000e+02
0.000000000000000000e+00,-8.000000000000000000e+00,3.640210151672363281e+00,1.677847437583485368e-01,1.900000000000000000e+01
0.000000000000000000e+00,-6.800000000000000000e+01,1.577167582511901855e+01,8.153402742863328223e-01,7.900000000000000000e+01
0.000000000000000000e+00,-1.020000000000000000e+02,2.264255690574645996e+01,1.386796787585905744e+00,1.130000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012478303909301758e+01,1.529251324800715794e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012254595756530762e+01,1.264971786898433148e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012138605117797852e+01,1.773565990187324415e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012799906730651855e+01,1.493558284910375455e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012777996063232422e+01,1.621662996887931030e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.070000000000000000e+02,2.365126299858093262e+01,1.201399813638248437e+00,1.180000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012210512161254883e+01,1.748740226132230458e+00,1.500000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+00,1.214145898818969727e+00,8.713266940783373493e-02,7.000000000000000000e+00
0.000000000000000000e+00,-1.500000000000000000e+02,3.012359595298767090e+01,1.452003744881411595e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.240000000000000000e+02,2.709009695053100586e+01,1.424563046272783851e+00,1.350000000000000000e+02
0.000000000000000000e+00,-1.290000000000000000e+02,2.810273694992065430e+01,1.405465330358975917e+00,1.400000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012229299545288086e+01,1.328982126934620256e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012247109413146973e+01,2.059823129182678514e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.100000000000000000e+01,1.435336899757385254e+01,5.893062525468382162e-01,7.200000000000000000e+01
0.000000000000000000e+00,-4.600000000000000000e+01,1.132298302650451660e+01,7.512955822831490771e-01,5.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012027502059936523e+01,1.716876468116128596e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.700000000000000000e+01,7.480407953262329102e+00,4.601227467086711487e-01,3.800000000000000000e+01
0.000000000000000000e+00,-2.600000000000000000e+01,7.278159856796264648e+00,3.969714466177591827e-01,3.700000000000000000e+01
0.000000000000000000e+00,-7.900000000000000000e+01,1.799200916290283203e+01,9.476823709268714646e-01,9.000000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.437527179718017578e+00,2.918974279730892629e-01,1.800000000000000000e+01
0.000000000000000000e+00,-6.100000000000000000e+01,1.435352206230163574e+01,7.184439013893684223e-01,7.200000000000000000e+01
0.000000000000000000e+00,-2.600000000000000000e+01,7.282563924789428711e+00,4.954866897026705130e-01,3.700000000000000000e+01
0.000000000000000000e+00,-9.200000000000000000e+01,2.061882305145263672e+01,9.724514623728168772e-01,1.030000000000000000e+02
0.000000000000000000e+00,-3.200000000000000000e+01,8.490193128585815430e+00,4.094845922694293483e-01,4.300000000000000000e+01
0.000000000000000000e+00,-2.700000000000000000e+01,7.478628873825073242e+00,3.091224565325412788e-01,3.800000000000000000e+01
0.000000000000000000e+00,-8.700000000000000000e+01,1.961096119880676270e+01,8.103004100292379164e-01,9.800000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.639416933059692383e+00,1.655261020950873907e-01,1.900000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+01,1.819536995887756348e+01,9.738944596985322777e-01,9.100000000000000000e+01
0.000000000000000000e+00,-1.210000000000000000e+02,2.647762799263000488e+01,1.309162709247954304e+00,1.320000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011793684959411621e+01,1.241248609582130680e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+00,2.428820848464965820e+00,1.151445538040400951e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.210000000000000000e+02,2.648406791687011719e+01,1.126238264793302912e+00,1.320000000000000000e+02
