human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-1.848938343450582944e-01,3.217326854721876961e-01,5.547936856328692718e-05,-4.380307881296510025e-02,-1.848552847437422708e-01,3.112029084504390197e-01,1.154906792978829333e-03,-5.351069067209234670e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.848552847437422708e-01,3.112029084504390197e-01,1.154906792978829333e-03,-5.351069067209234670e-02,-1.879389643012930877e-01,3.026633035245779868e-01,-3.478138160871627194e-02,-3.327656574966459530e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.879389643012930877e-01,3.026633035245779868e-01,-3.478138160871627194e-02,-3.327656574966459530e-02,-1.996628918806695463e-01,2.980283344983178928e-01,-7.694564854649170449e-02,-1.247596390786000556e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.996628918806695463e-01,2.980283344983178928e-01,-7.694564854649170449e-02,-1.247596390786000556e-02,-2.161049903553619311e-01,2.976079026324001120e-01,-8.126338769580003507e-02,7.715576366084627921e-03,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.161049903553619311e-01,2.976079026324001120e-01,-8.126338769580003507e-02,7.715576366084627921e-03,-2.292784764913605722e-01,2.983530217130569429e-01,-4.738505175414045589e-02,-5.382931598712803814e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.292784764913605722e-01,2.983530217130569429e-01,-4.738505175414045589e-02,-5.382931598712803814e-03,-2.375303968224427575e-01,2.951941671481486673e-01,-4.253821062950253334e-02,-2.369262721288560233e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.375303968224427575e-01,2.951941671481486673e-01,-4.253821062950253334e-02,-2.369262721288560233e-02,-2.458344089580560832e-01,2.880223875573596493e-01,-4.070500522935315002e-02,-4.626510706599246819e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.458344089580560832e-01,2.880223875573596493e-01,-4.070500522935315002e-02,-4.626510706599246819e-02,-2.509506561406513181e-01,2.767835818548484705e-01,-5.443237820832726517e-03,-6.583452605118854384e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.509506561406513181e-01,2.767835818548484705e-01,-5.443237820832726517e-03,-6.583452605118854384e-02,-2.478111729804910734e-01,2.619143536581720055e-01,3.624993224612180903e-02,-6.819046550217819358e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.478111729804910734e-01,2.619143536581720055e-01,3.624993224612180903e-02,-6.819046550217819358e-02,-2.366802042786101401e-01,2.504493525586477531e-01,7.628362877752602189e-02,-4.809491021668994837e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.366802042786101401e-01,2.504493525586477531e-01,7.628362877752602189e-02,-4.809491021668994837e-02,-2.175923810211717602e-01,2.429676918634356975e-01,1.163077546372734833e-01,-2.799351750298930894e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.175923810211717602e-01,2.429676918634356975e-01,1.163077546372734833e-01,-2.799351750298930894e-02,-1.904678994286856386e-01,2.393518610288842829e-01,1.548470366492365469e-01,-7.706736580035436837e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.904678994286856386e-01,2.393518610288842829e-01,1.548470366492365469e-01,-7.706736580035436837e-03,-1.702167163873581912e-01,2.398427015744441226e-01,6.190000294558754314e-03,1.623156340244004056e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.702167163873581912e-01,2.398427015744441226e-01,6.190000294558754314e-03,1.623156340244004056e-02,-1.702681528692272517e-01,2.444532961160832962e-01,1.247992356836539335e-03,3.266735685151082175e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.702681528692272517e-01,2.444532961160832962e-01,1.247992356836539335e-03,3.266735685151082175e-02,-1.702550573753233709e-01,2.527479988668489552e-01,2.040407727970337137e-05,3.672441246811782023e-02,-2.000000000000000042e-02,0.000000000000000000e+00
