expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001323604583740234e+01,1.671009239040058381e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001219892501831055e+01,2.061372946610421586e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.300000000000000000e+01,1.470163393020629883e+01,8.562610351396715558e-01,7.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001029205322265625e+01,1.981542146781673397e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.900000000000000000e+01,5.840688943862915039e+00,3.684214647087731276e-01,3.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001062488555908203e+01,1.798848247904723863e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000983190536499023e+01,1.651037793785612884e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001214313507080078e+01,2.016890382182080721e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001479911804199219e+01,1.705487469036441661e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001796698570251465e+01,1.962528785250276631e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.360000000000000000e+02,2.951463603973388672e+01,1.749998066307463684e+00,1.470000000000000000e+02
0.000000000000000000e+00,-9.800000000000000000e+01,2.182923984527587891e+01,1.349428515938540629e+00,1.090000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012280917167663574e+01,1.607008850013323054e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.600000000000000000e+01,1.536633801460266113e+01,8.502372642787807688e-01,7.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012135004997253418e+01,1.786289104457774890e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011789321899414062e+01,1.593744995033231193e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012092804908752441e+01,1.562778977989136342e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+01,5.056775808334350586e+00,2.477036678390349134e-01,2.600000000000000000e+01
0.000000000000000000e+00,-2.400000000000000000e+01,6.874896049499511719e+00,3.262335089785413089e-01,3.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012129116058349609e+01,2.114678930001521628e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.700000000000000000e+01,1.354254889488220215e+01,7.890108628428266213e-01,6.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012039494514465332e+01,1.738612224289993957e+00,1.500000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.820060968399047852e+00,1.434354582334499140e-01,1.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011958479881286621e+01,1.529967523248969119e+00,1.500000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.822602987289428711e+00,1.325479591139556712e-01,1.000000000000000000e+01
0.000000000000000000e+00,-6.200000000000000000e+01,1.455525398254394531e+01,8.056938065280164762e-01,7.300000000000000000e+01
0.000000000000000000e+00,-1.310000000000000000e+02,2.850388813018798828e+01,2.068744096471252014e+00,1.420000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011898589134216309e+01,1.464680637850561462e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011724996566772461e+01,1.452495876979350786e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011863303184509277e+01,1.914955065229958286e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.240000000000000000e+02,2.709016895294189453e+01,1.484941853201171336e+00,1.350000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012326693534851074e+01,1.452765352245543040e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012198901176452637e+01,1.761102488956259426e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011733913421630859e+01,1.664275542792333473e+00,1.500000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.821294069290161133e+00,1.148093544043766040e-01,1.000000000000000000e+01
0.000000000000000000e+00,-2.600000000000000000e+01,7.277118921279907227e+00,3.689139996754745021e-01,3.700000000000000000e+01
0.000000000000000000e+00,-2.700000000000000000e+01,7.481643915176391602e+00,4.791907602716409809e-01,3.800000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.245480060577392578e+00,2.058510176300069050e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.280000000000000000e+02,2.789650392532348633e+01,1.278956741144396947e+00,1.390000000000000000e+02
0.000000000000000000e+00,-8.500000000000000000e+01,1.920217895507812500e+01,9.388733227671247628e-01,9.600000000000000000e+01
0.000000000000000000e+00,-9.400000000000000000e+01,2.102498412132263184e+01,1.161663841522470708e+00,1.050000000000000000e+02
0.000000000000000000e+00,-2.300000000000000000e+01,6.672390937805175781e+00,4.478205049564592533e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.256746053695678711e+00,4.003364753292636413e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011933994293212891e+01,1.596174363678156016e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.600000000000000000e+01,1.334256792068481445e+01,6.622910258859315835e-01,6.700000000000000000e+01
0.000000000000000000e+00,-4.100000000000000000e+01,1.031183910369873047e+01,6.779496557893536224e-01,5.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011848902702331543e+01,1.900605451193978501e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.200000000000000000e+01,1.657562708854675293e+01,8.565487343537447895e-01,8.300000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.648761034011840820e+00,4.288128743760324935e-01,2.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011817193031311035e+01,1.591821991810057790e+00,1.500000000000000000e+02
