human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,-3.454792461868552156e-01,2.698910849105295440e-01,8.020127326633609343e-06,-4.726716627247034425e-02,-3.454518280310580614e-01,2.623625544776467255e-01,-2.446785311511796976e-04,-2.807417024903121824e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.454518280310580614e-01,2.623625544776467255e-01,-2.446785311511796976e-04,-2.807417024903121824e-02,-3.426596281808150790e-01,2.568697980113894275e-01,3.177014423820240935e-02,-3.437601560528655981e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.426596281808150790e-01,2.568697980113894275e-01,3.177014423820240935e-02,-3.437601560528655981e-02,-3.368179230863849183e-01,2.473123443787387798e-01,9.747568327010605951e-03,-5.652707993351264310e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.368179230863849183e-01,2.473123443787387798e-01,9.747568327010605951e-03,-5.652707993351264310e-02,-3.390627645078819197e-01,2.375741532140548673e-01,-3.212699744597658641e-02,-3.783174404644435579e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.390627645078819197e-01,2.375741532140548673e-01,-3.212699744597658641e-02,-3.783174404644435579e-02,-3.438902971517198148e-01,2.318139021305153091e-01,-5.586377075851409364e-03,-1.952815608038077633e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.438902971517198148e-01,2.318139021305153091e-01,-5.586377075851409364e-03,-1.952815608038077633e-02,-3.409749127295885751e-01,2.300324598446859548e-01,3.371910520230595593e-02,1.256868031505720303e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.409749127295885751e-01,2.300324598446859548e-01,3.371910520230595593e-02,1.256868031505720303e-03,-3.301031910258569457e-01,2.322005174849825215e-01,7.398487071492378109e-02,2.018677939931622090e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.301031910258569457e-01,2.322005174849825215e-01,7.398487071492378109e-02,2.018677939931622090e-02,-3.102348613284676704e-01,2.385949577577530234e-01,1.166265139771915926e-01,4.047660870966470620e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.102348613284676704e-01,2.385949577577530234e-01,1.166265139771915926e-01,4.047660870966470620e-02,-2.883797696871362448e-01,2.455095213496284734e-01,9.030008346337856096e-02,2.538985082598409215e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.883797696871362448e-01,2.455095213496284734e-01,9.030008346337856096e-02,2.538985082598409215e-02,-2.688600563560102352e-01,2.493859693130350552e-01,1.161227035210944669e-01,1.738586663737646046e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.688600563560102352e-01,2.493859693130350552e-01,1.161227035210944669e-01,1.738586663737646046e-02,-2.416226594185150178e-01,2.528790851521620087e-01,1.563916333983522977e-01,1.605887716803373194e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.416226594185150178e-01,2.528790851521620087e-01,1.563916333983522977e-01,1.605887716803373194e-02,-2.064667223141211649e-01,2.560819436051107179e-01,1.954779156659136874e-01,1.591679305134145392e-02,0.000000000000000000e+00,2.000000000000000111e-01
