expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.010368895530700684e+01,1.580555394357321175e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010727405548095703e+01,1.901222367360335674e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.080000000000000000e+02,2.384588813781738281e+01,1.571349151990342197e+00,1.190000000000000000e+02
0.000000000000000000e+00,-1.200000000000000000e+02,2.627397394180297852e+01,1.540438543648294578e+00,1.310000000000000000e+02
0.000000000000000000e+00,-9.900000000000000000e+01,2.202669000625610352e+01,1.163264881933522510e+00,1.100000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+00,2.223248958587646484e+00,1.371988793956701869e-01,1.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.053845167160034180e+00,3.677411203816140506e-01,2.600000000000000000e+01
0.000000000000000000e+00,-8.900000000000000000e+01,2.000815105438232422e+01,1.478176121998037607e+00,1.000000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010697007179260254e+01,2.036616687399691816e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.500000000000000000e+01,7.073803901672363281e+00,5.407631630996159178e-01,3.600000000000000000e+01
0.000000000000000000e+00,-8.400000000000000000e+01,1.906361508369445801e+01,1.096862191443815249e+00,9.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022004294395446777e+01,1.616036608844245048e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.600000000000000000e+01,1.744215297698974609e+01,1.344622238863468988e+00,8.700000000000000000e+01
0.000000000000000000e+00,-1.010000000000000000e+02,2.251505613327026367e+01,1.372833131715926358e+00,1.120000000000000000e+02
0.000000000000000000e+00,-8.100000000000000000e+01,1.845710086822509766e+01,9.759785222333550170e-01,9.200000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.054850792884826660e+01,6.908194105061795653e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.350000000000000000e+02,2.941066193580627441e+01,1.511538640341471451e+00,1.460000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021638202667236328e+01,1.445853267538944387e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.054831194877624512e+01,6.130561324816883317e-01,5.300000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.246255159378051758e+00,2.018576632771482970e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022076797485351562e+01,1.549504284049918246e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.080000000000000000e+02,2.393330907821655273e+01,1.306935068293195501e+00,1.190000000000000000e+02
0.000000000000000000e+00,-1.010000000000000000e+02,2.251887917518615723e+01,1.225569139061956747e+00,1.120000000000000000e+02
0.000000000000000000e+00,-1.100000000000000000e+01,4.259154081344604492e+00,2.390260075561849717e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.140000000000000000e+02,2.515401101112365723e+01,1.186064010009996617e+00,1.250000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021751403808593750e+01,1.822552472650296407e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.800000000000000000e+01,7.710962057113647461e+00,5.093742970061847508e-01,3.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021779608726501465e+01,1.591409443807091151e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+01,6.085479974746704102e+00,2.744324128481914760e-01,3.100000000000000000e+01
0.000000000000000000e+00,-3.100000000000000000e+01,8.315877199172973633e+00,4.487549612424081569e-01,4.200000000000000000e+01
0.000000000000000000e+00,-2.400000000000000000e+01,6.896414995193481445e+00,4.595593903367137245e-01,3.500000000000000000e+01
0.000000000000000000e+00,-8.400000000000000000e+01,1.906622290611267090e+01,9.480434138468288863e-01,9.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021583008766174316e+01,1.601416447685338085e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.280000000000000000e+02,2.798979902267456055e+01,1.721694538767352789e+00,1.390000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021483802795410156e+01,1.684861801064639897e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.300000000000000000e+01,1.277879595756530762e+01,7.183081309230223699e-01,6.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.072135925292968750e+00,3.244518886158422877e-01,2.600000000000000000e+01
0.000000000000000000e+00,-4.800000000000000000e+01,1.176562786102294922e+01,5.342713057134731436e-01,5.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021977400779724121e+01,1.523951514800812701e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.200000000000000000e+02,2.636947989463806152e+01,1.363490510534028033e+00,1.310000000000000000e+02
0.000000000000000000e+00,-1.200000000000000000e+01,4.464270830154418945e+00,2.815899336996339763e-01,2.300000000000000000e+01
0.000000000000000000e+00,-6.600000000000000000e+01,1.541210603713989258e+01,8.355541150772624048e-01,7.700000000000000000e+01
0.000000000000000000e+00,-9.800000000000000000e+01,2.190155887603759766e+01,1.046758929483929013e+00,1.090000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021976804733276367e+01,1.432099758644242105e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+01,4.058347940444946289e+00,1.885554216953851114e-01,2.100000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.736479997634887695e+00,5.192839460202283153e-01,4.900000000000000000e+01
0.000000000000000000e+00,-7.800000000000000000e+01,1.785075807571411133e+01,9.142217831334227274e-01,8.900000000000000000e+01
0.000000000000000000e+00,-3.600000000000000000e+01,9.329698085784912109e+00,4.447955615593189860e-01,4.700000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.054863595962524414e+01,4.770510403633081986e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.040000000000000000e+02,2.312014794349670410e+01,1.337252654510037608e+00,1.150000000000000000e+02
