expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.010685491561889648e+01,2.610399274158212712e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010713791847229004e+01,2.412530854836415273e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010753703117370605e+01,2.793437475992712304e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010836005210876465e+01,2.757949425655459308e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011160802841186523e+01,2.888783992084098085e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010251593589782715e+01,2.914674011776998253e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011183810234069824e+01,2.571993712932003184e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010882711410522461e+01,2.742692660122270532e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010899686813354492e+01,2.345252954084243502e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011624503135681152e+01,2.336204873906893020e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021843290328979492e+01,2.454703759885127123e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.390000000000000000e+02,3.021174502372741699e+01,2.737294792191850235e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021764111518859863e+01,2.542440509657036163e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021517586708068848e+01,2.505236226489321094e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022333407402038574e+01,2.121384567876059002e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021727299690246582e+01,1.964862659755434837e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.700000000000000000e+01,9.531364917755126953e+00,7.167527899553756132e-01,4.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021816897392272949e+01,2.482031247525189777e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021296811103820801e+01,2.282831306022930828e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022127604484558105e+01,2.230907630707688938e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022315812110900879e+01,2.378805011784035806e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022632503509521484e+01,2.014059237863841112e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.700000000000000000e+01,1.967343401908874512e+01,1.293896363599617683e+00,9.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021740102767944336e+01,2.750730349339519432e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021438813209533691e+01,2.490469743138310932e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021981787681579590e+01,2.223310919397910812e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021407508850097656e+01,2.271511758026647065e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021184492111206055e+01,2.379787084199539215e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021714806556701660e+01,2.508715879738211196e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022195315361022949e+01,2.557609590243966835e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.800000000000000000e+01,1.987880301475524902e+01,1.243459687767760391e+00,9.900000000000000000e+01
0.000000000000000000e+00,-6.800000000000000000e+01,1.582077693939208984e+01,1.136331527777264538e+00,7.900000000000000000e+01
0.000000000000000000e+00,-1.180000000000000000e+02,2.595765805244445801e+01,1.563279828045605724e+00,1.290000000000000000e+02
0.000000000000000000e+00,-2.900000000000000000e+01,7.909450054168701172e+00,6.339049538080309132e-01,4.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022251296043395996e+01,2.196454391987059385e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021998620033264160e+01,1.855537234691340798e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.100000000000000000e+01,2.048587894439697266e+01,1.172431853435088600e+00,1.020000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021713805198669434e+01,1.839476969086353941e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.700000000000000000e+01,5.478059768676757812e+00,3.378033871685223177e-01,2.800000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.680299997329711914e+00,2.277073232933224667e-01,2.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022436881065368652e+01,1.705897297088824871e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.000000000000000000e+00,3.044390916824340820e+00,1.666605236432080472e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021952199935913086e+01,1.921118548501041579e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.080000000000000000e+02,2.393267512321472168e+01,1.174087614393518164e+00,1.190000000000000000e+02
0.000000000000000000e+00,-5.000000000000000000e+01,1.216869997978210449e+01,8.593394438744849095e-01,6.100000000000000000e+01
0.000000000000000000e+00,-3.900000000000000000e+01,9.939942836761474609e+00,6.043478105356232533e-01,5.000000000000000000e+01
0.000000000000000000e+00,-4.500000000000000000e+01,1.115573501586914062e+01,5.722048143556633937e-01,5.600000000000000000e+01
0.000000000000000000e+00,-1.250000000000000000e+02,2.738984990119934082e+01,1.415530749283562706e+00,1.360000000000000000e+02
