human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,-3.456771894278102275e-01,3.326648887237574903e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.456720210649777414e-01,3.326742179281763079e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.456720210649777414e-01,3.326742179281763079e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.426798644652816472e-01,3.322695732122497581e-01,3.373194203432242771e-02,-8.409893018049917346e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.426798644652816472e-01,3.322695732122497581e-01,3.373194203432242771e-02,-8.409893018049917346e-03,-3.316869285510305465e-01,3.283111671449036595e-01,7.442039493288829521e-02,-2.955169316838266586e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.316869285510305465e-01,3.283111671449036595e-01,7.442039493288829521e-02,-2.955169316838266586e-02,-3.186134984522328573e-01,3.203216137171892020e-01,4.683547513973287252e-02,-4.993913109580612464e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.186134984522328573e-01,3.203216137171892020e-01,4.683547513973287252e-02,-4.993913109580612464e-02,-3.133471352563372281e-01,3.084793769459431845e-01,6.351614615580829584e-03,-6.923822399581992804e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.133471352563372281e-01,3.084793769459431845e-01,6.351614615580829584e-03,-6.923822399581992804e-02,-3.164499293683820103e-01,2.918917920065461913e-01,-3.499142903057617798e-02,-8.905149564255301908e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.164499293683820103e-01,2.918917920065461913e-01,-3.499142903057617798e-02,-8.905149564255301908e-02,-3.214496805616279262e-01,2.719632645088215228e-01,-6.309038996469274602e-03,-1.016157061509594256e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.214496805616279262e-01,2.719632645088215228e-01,-6.309038996469274602e-03,-1.016157061509594256e-01,-3.187556304327456846e-01,2.534825384314205454e-01,3.254489564829514403e-02,-8.385610445389446443e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.187556304327456846e-01,2.534825384314205454e-01,3.254489564829514403e-02,-8.385610445389446443e-02,-3.109589460081373380e-01,2.389497701574659905e-01,4.038138993029086882e-02,-6.341173571470119785e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.109589460081373380e-01,2.389497701574659905e-01,4.038138993029086882e-02,-6.341173571470119785e-02,-3.002299328190943251e-01,2.283938205325395376e-01,7.377329639595732458e-02,-4.252218999391876170e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.002299328190943251e-01,2.283938205325395376e-01,7.377329639595732458e-02,-4.252218999391876170e-02,-2.807711226910153957e-01,2.216541364618418164e-01,1.123640906722308958e-01,-2.268063391255806943e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.807711226910153957e-01,2.216541364618418164e-01,1.123640906722308958e-01,-2.268063391255806943e-02,-2.537762027871398041e-01,2.180308142339182353e-01,1.542873379905901343e-01,-2.283568636625825723e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.537762027871398041e-01,2.180308142339182353e-01,1.542873379905901343e-01,-2.283568636625825723e-02,-2.247497986258080171e-01,2.113821195449841761e-01,1.277486250267686752e-01,-4.308096557254443432e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.247497986258080171e-01,2.113821195449841761e-01,1.277486250267686752e-01,-4.308096557254443432e-02,-2.036816882070122126e-01,2.009444935771660945e-01,8.796067736449537933e-02,-6.211183679902958915e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.036816882070122126e-01,2.009444935771660945e-01,8.796067736449537933e-02,-6.211183679902958915e-02,-1.904892478378174547e-01,1.866086789094956178e-01,4.739952168555823520e-02,-8.093135383244698389e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.904892478378174547e-01,1.866086789094956178e-01,4.739952168555823520e-02,-8.093135383244698389e-02,-1.851280604320455214e-01,1.684077477039946646e-01,5.326487029403780167e-03,-9.980345346403309004e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.851280604320455214e-01,1.684077477039946646e-01,5.326487029403780167e-03,-9.980345346403309004e-02,-1.852774139655112284e-01,1.590783094115029994e-01,-1.854759065796638892e-02,4.832388568647408636e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.852774139655112284e-01,1.590783094115029994e-01,-1.854759065796638892e-02,4.832388568647408636e-03,-1.884662331785794120e-01,1.617894794777948730e-01,-3.534202926883824036e-02,2.317048837126400515e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.884662331785794120e-01,1.617894794777948730e-01,-3.534202926883824036e-02,2.317048837126400515e-02,-1.997031507850687004e-01,1.684037477720275178e-01,-7.568788598842843274e-02,4.299076362185642181e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.997031507850687004e-01,1.684037477720275178e-01,-7.568788598842843274e-02,4.299076362185642181e-02,-2.158728208409383398e-01,1.790294259236479280e-01,-8.158240303582489639e-02,6.322913605879999788e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.158728208409383398e-01,1.790294259236479280e-01,-8.158240303582489639e-02,6.322913605879999788e-02,-2.291059645576872805e-01,1.937167235710993973e-01,-4.636019571188912392e-02,8.289868724133851730e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.291059645576872805e-01,1.937167235710993973e-01,-4.636019571188912392e-02,8.289868724133851730e-02,-2.343495527366383779e-01,2.123730771643072002e-01,-4.839884668164503786e-03,1.026954748845801263e-01,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.343495527366383779e-01,2.123730771643072002e-01,-4.839884668164503786e-03,1.026954748845801263e-01,-2.341957683900514064e-01,2.360683834734645659e-01,2.333918501668360429e-03,1.237178735232037502e-01,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.341957683900514064e-01,2.360683834734645659e-01,2.333918501668360429e-03,1.237178735232037502e-01,-2.309139038685275036e-01,2.596265307446267712e-01,3.411455924262975919e-02,1.085631319850748622e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.309139038685275036e-01,2.596265307446267712e-01,3.411455924262975919e-02,1.085631319850748622e-01,-2.197599254756569254e-01,2.790726599681209175e-01,7.457605511914140728e-02,8.867129484230988623e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.197599254756569254e-01,2.790726599681209175e-01,7.457605511914140728e-02,8.867129484230988623e-02,-2.066117004834764903e-01,2.945698397336722341e-01,4.508905999866336806e-02,6.771409879954526367e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.066117004834764903e-01,2.945698397336722341e-01,4.508905999866336806e-02,6.771409879954526367e-02,-1.980948074167145634e-01,3.074249245694022914e-01,4.129810204716133359e-02,6.041373934231836912e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.980948074167145634e-01,3.074249245694022914e-01,4.129810204716133359e-02,6.041373934231836912e-02,-1.869939004839825947e-01,3.195307744558952279e-01,7.440033315890950960e-02,5.971086410899233837e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.869939004839825947e-01,3.195307744558952279e-01,7.440033315890950960e-02,5.971086410899233837e-02,-1.720856415029743403e-01,3.314681953010258364e-01,2.520605039928633080e-04,5.131435029417446420e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.720856415029743403e-01,3.314681953010258364e-01,2.520605039928633080e-04,5.131435029417446420e-02,-1.719778261292625454e-01,3.437407736091343535e-01,-1.008174356634522831e-03,6.093258449560616519e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.719778261292625454e-01,3.437407736091343535e-01,-1.008174356634522831e-03,6.093258449560616519e-02,-1.750049654784265885e-01,3.444598000779595659e-01,-3.598633134820513474e-02,-2.001468239786486085e-05,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.750049654784265885e-01,3.444598000779595659e-01,-3.598633134820513474e-02,-2.001468239786486085e-05,-1.799863123867277426e-01,3.444552845426659404e-01,-7.201973063782803226e-03,1.900303589953454629e-05,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.799863123867277426e-01,3.444552845426659404e-01,-7.201973063782803226e-03,1.900303589953454629e-05,-1.770975934106918670e-01,3.421619443441212827e-01,3.390199320298246249e-02,-2.016207334656785685e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.770975934106918670e-01,3.421619443441212827e-01,3.390199320298246249e-02,-2.016207334656785685e-02,-1.730855206661500723e-01,3.356398534869001749e-01,-2.127285476949778310e-03,-4.273227587075128370e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.730855206661500723e-01,3.356398534869001749e-01,-2.127285476949778310e-03,-4.273227587075128370e-02,-1.731074881195215076e-01,3.252017921172513648e-01,1.084157040739145436e-03,-6.173334726866692296e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.731074881195215076e-01,3.252017921172513648e-01,1.084157040739145436e-03,-6.173334726866692296e-02,-1.760070163296288681e-01,3.107856773100446390e-01,-3.390124237278292763e-02,-8.331024546234729045e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.760070163296288681e-01,3.107856773100446390e-01,-3.390124237278292763e-02,-8.331024546234729045e-02,-1.866709688547237289e-01,2.922702403102843127e-01,-7.443300116459942994e-02,-1.011048241810057619e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
