human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,1.000000000000000000e+00,-3.462936922438500931e-01,3.333552674376451530e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.432465479621377713e-01,3.332677613299616648e-01,3.558150258300293856e-02,-3.888112789680872659e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.432465479621377713e-01,3.332677613299616648e-01,3.558150258300293856e-02,-3.888112789680872659e-04,-3.382664461000283729e-01,3.333242008599836548e-01,4.174085930268638285e-03,-1.136207706225363643e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.382664461000283729e-01,3.333242008599836548e-01,4.174085930268638285e-03,-1.136207706225363643e-05,-3.382994350242334303e-01,3.333252291179147897e-01,-2.372490377245877542e-04,4.346352734272904817e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.382994350242334303e-01,3.333252291179147897e-01,-2.372490377245877542e-04,4.346352734272904817e-05,-3.413681740665225894e-01,3.333477489768401636e-01,-3.546448335062069718e-02,-1.907349322860244964e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.413681740665225894e-01,3.333477489768401636e-01,-3.546448335062069718e-02,-1.907349322860244964e-04,-3.500279214527452498e-01,3.332972519124625110e-01,-4.369758494703162438e-02,2.618595269398508313e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.500279214527452498e-01,3.332972519124625110e-01,-4.369758494703162438e-02,2.618595269398508313e-04,-3.566397124955081877e-01,3.332693578843310966e-01,2.918763031015687848e-03,5.021295602502921090e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.566397124955081877e-01,3.332693578843310966e-01,2.918763031015687848e-03,5.021295602502921090e-03,-3.565858412311658787e-01,3.332249745095249294e-01,4.654276151536850177e-04,-1.648560653214364738e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-3.565858412311658787e-01,3.332249745095249294e-01,4.654276151536850177e-04,-1.648560653214364738e-04,-3.534519874558230690e-01,3.331965180368206547e-01,3.466590467406665405e-02,9.419915850010364237e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.534519874558230690e-01,3.331965180368206547e-01,3.466590467406665405e-02,9.419915850010364237e-04,-3.485124824337719196e-01,3.332496083438263312e-01,3.757213878341123057e-03,6.708468919257463753e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.485124824337719196e-01,3.332496083438263312e-01,3.757213878341123057e-03,6.708468919257463753e-04,-3.485423083526639210e-01,3.332560519044497904e-01,-1.618895271329395607e-04,-3.192193386608597122e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.485423083526639210e-01,3.332560519044497904e-01,-1.618895271329395607e-04,-3.192193386608597122e-05,-3.516448593358621477e-01,3.332808836543560971e-01,-3.542110203678416891e-02,-1.100547454945688684e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.516448593358621477e-01,3.332808836543560971e-01,-3.542110203678416891e-02,-1.100547454945688684e-04,-3.569180674150482235e-01,3.332467215344622757e-01,3.994548341680843884e-03,1.266902980657785317e-03,0.000000000000000000e+00,-2.000000000000000111e-01
