expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001142096519470215e+01,1.619114945034735520e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000514698028564453e+01,2.388711817362219048e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000486898422241211e+01,1.962855941003929017e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001058697700500488e+01,1.782833068745592442e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000726795196533203e+01,2.005747546054866159e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000479197502136230e+01,2.039356996108921294e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000795817375183105e+01,2.179922677827196509e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000925803184509277e+01,1.724931162850413813e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000643682479858398e+01,2.019755538316406085e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000844407081604004e+01,2.174204411789753877e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.049700808525085449e+01,1.574429135935183188e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.055024194717407227e+01,1.490681036965688433e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.038811612129211426e+01,1.758527168092118398e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.046295595169067383e+01,1.935745016291637643e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.057021117210388184e+01,2.119949343052349278e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.033851695060729980e+01,1.480235408512142969e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.200000000000000000e+01,1.688963508605957031e+01,9.342222199560001883e-01,8.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.058407902717590332e+01,2.272618537501055247e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.051848793029785156e+01,2.063131357628409823e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.065348291397094727e+01,2.131604813282704569e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.040769195556640625e+01,1.663234078541292904e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.061288499832153320e+01,1.807653099113474049e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.040268898010253906e+01,2.398884084377162829e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.600000000000000000e+01,1.145586919784545898e+01,6.916252502526669677e-01,5.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.038530397415161133e+01,2.086100019129003780e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.041598892211914062e+01,1.806599408895531500e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.034313917160034180e+01,1.466363357560379166e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.033223009109497070e+01,1.743669029092471456e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.039115285873413086e+01,1.832460384236308970e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.037188696861267090e+01,1.833726347289897696e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.046552801132202148e+01,1.851180270977264897e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.046083879470825195e+01,2.335277982744717207e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.045036792755126953e+01,2.268515857832807292e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.042487907409667969e+01,1.498714459615033912e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+01,6.166392087936401367e+00,3.392140596342411163e-01,3.100000000000000000e+01
0.000000000000000000e+00,-3.100000000000000000e+01,8.323864936828613281e+00,5.825667256164801522e-01,4.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.037555503845214844e+01,1.605264423413111929e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.045183706283569336e+01,1.695099273942566098e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.046201682090759277e+01,1.439847885285986173e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.042930412292480469e+01,1.867245596530749063e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012015700340270996e+01,2.034308119735576792e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011967778205871582e+01,1.786952639335049664e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011811494827270508e+01,1.710506078765933191e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.800000000000000000e+01,2.182808804512023926e+01,1.325547135763737394e+00,1.090000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011923599243164062e+01,1.981503087959763265e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011847710609436035e+01,1.984714895545017566e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011797904968261719e+01,2.113446840449959119e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012294507026672363e+01,1.813997954518141942e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011821794509887695e+01,1.998750479811957304e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011491703987121582e+01,2.314034786111387909e+00,1.500000000000000000e+02
