human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,-3.460456890606035119e-01,3.325374746973063789e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.460269200998549732e-01,3.325487488184467599e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.460269200998549732e-01,3.325487488184467599e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.460428036898508530e-01,3.325413685922831153e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.460428036898508530e-01,3.325413685922831153e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.434130389132097338e-01,3.325351062951960035e-01,3.087094732641176148e-02,1.006610549992148355e-05,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.434130389132097338e-01,3.325351062951960035e-01,3.087094732641176148e-02,1.006610549992148355e-05,-3.357782947465920431e-01,3.303708644822730967e-01,3.746820178433665771e-02,-2.167918765224336602e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.357782947465920431e-01,3.303708644822730967e-01,3.746820178433665771e-02,-2.167918765224336602e-02,-3.252691161899833316e-01,3.241648731349647816e-01,7.393143932922803530e-02,-4.092097327277527397e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.252691161899833316e-01,3.241648731349647816e-01,7.393143932922803530e-02,-4.092097327277527397e-02,-3.094800520376348452e-01,3.138335300493354518e-01,8.015217197701172969e-02,-6.205746235902297875e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.094800520376348452e-01,3.138335300493354518e-01,8.015217197701172969e-02,-6.205746235902297875e-02,-2.962551388053001888e-01,3.023912488281801370e-01,4.585638931862366652e-02,-4.856807316690168325e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.962551388053001888e-01,3.023912488281801370e-01,4.585638931862366652e-02,-4.856807316690168325e-02,-2.883791991249735620e-01,2.946689870039440606e-01,3.858212169175258277e-02,-2.591109671595782232e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.883791991249735620e-01,2.946689870039440606e-01,3.858212169175258277e-02,-2.591109671595782232e-02,-2.837607596371101160e-01,2.912738380588779097e-01,7.556831530184705999e-03,-4.053538322773468303e-03,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.837607596371101160e-01,2.912738380588779097e-01,7.556831530184705999e-03,-4.053538322773468303e-03,-2.842775041885219345e-01,2.906422109478795646e-01,-5.848053782097882743e-03,-9.528180378736927914e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.842775041885219345e-01,2.906422109478795646e-01,-5.848053782097882743e-03,-9.528180378736927914e-03,-2.849233852732342420e-01,2.865944946087177758e-01,-3.106572730536688587e-03,-2.956954406401376967e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.849233852732342420e-01,2.865944946087177758e-01,-3.106572730536688587e-03,-2.956954406401376967e-02,-2.882779061167495271e-01,2.784846764129003671e-01,-3.510600505814639311e-02,-4.907041284635199618e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.882779061167495271e-01,2.784846764129003671e-01,-3.510600505814639311e-02,-4.907041284635199618e-02,-3.000641175486142842e-01,2.691127370629845528e-01,-7.624701529382309217e-02,-3.584251097258078778e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.000641175486142842e-01,2.691127370629845528e-01,-7.624701529382309217e-02,-3.584251097258078778e-02,-3.141594203117775153e-01,2.640776686385256644e-01,-5.297397211037702114e-02,-1.506265191940636509e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.141594203117775153e-01,2.640776686385256644e-01,-5.297397211037702114e-02,-1.506265191940636509e-02,-3.232100044566825758e-01,2.631456172445092445e-01,-4.400476912432373794e-02,5.136743477624183297e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.232100044566825758e-01,2.631456172445092445e-01,-4.400476912432373794e-02,5.136743477624183297e-03,-3.294682171834975026e-01,2.662095143490094129e-01,-1.313461043221102534e-02,2.484345693998006935e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.294682171834975026e-01,2.662095143490094129e-01,-1.313461043221102534e-02,2.484345693998006935e-02,-3.277940858731779317e-01,2.732744419776910738e-01,2.856701103873290210e-02,4.653786247577767349e-02,-2.000000000000000042e-02,2.000000000000000111e-01
