expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.010678291320800781e+01,2.048236153526396208e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010670304298400879e+01,1.968541769401441766e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010999917984008789e+01,2.190245317143585613e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011057209968566895e+01,2.132900907150228065e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.500000000000000000e+01,2.121606802940368652e+01,1.365434874001222099e+00,1.060000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010834217071533203e+01,2.176525409868241834e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011613988876342773e+01,2.015700146129089543e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010674190521240234e+01,2.164270331008812054e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.600000000000000000e+01,1.939949703216552734e+01,1.394300060624063642e+00,9.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.010715484619140625e+01,2.297983753422722319e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.270000000000000000e+02,2.778948402404785156e+01,1.795790083378322244e+00,1.380000000000000000e+02
0.000000000000000000e+00,-6.200000000000000000e+01,1.460428786277770996e+01,7.934327064181998512e-01,7.300000000000000000e+01
0.000000000000000000e+00,-9.700000000000000000e+01,2.170031809806823730e+01,1.207674787197128730e+00,1.080000000000000000e+02
0.000000000000000000e+00,-1.130000000000000000e+02,2.494407415390014648e+01,1.229491527275813345e+00,1.240000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021379590034484863e+01,1.786402453361171538e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022005200386047363e+01,1.494418698530876499e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.100000000000000000e+01,1.440034794807434082e+01,7.933771761141835688e-01,7.200000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01,8.923437118530273438e+00,5.122009763205234156e-01,4.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022377681732177734e+01,1.713018033325218514e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.000000000000000000e+00,3.449051141738891602e+00,1.839227637302444374e-01,1.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022110414505004883e+01,1.806266769123189508e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.900000000000000000e+01,1.805187606811523438e+01,9.076137510011531573e-01,9.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.022335600852966309e+01,1.628973034829051203e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022210597991943359e+01,1.752251364255466681e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+01,6.085829973220825195e+00,4.264844352615883016e-01,3.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.070600986480712891e+00,2.262766301880929365e-01,2.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021985602378845215e+01,1.653902550208250721e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.140000000000000000e+02,2.514944696426391602e+01,1.499550515580168941e+00,1.250000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022453308105468750e+01,1.817809577632827578e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022074317932128906e+01,1.556626198786864368e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021787595748901367e+01,1.784105597723055769e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021502614021301270e+01,1.375668621405285563e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.300000000000000000e+01,2.088921499252319336e+01,1.113670014072521308e+00,1.040000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021815180778503418e+01,1.689691207971754761e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.300000000000000000e+01,6.696480989456176758e+00,3.270992806843043832e-01,3.400000000000000000e+01
0.000000000000000000e+00,-3.500000000000000000e+01,9.129158973693847656e+00,5.373015193380044074e-01,4.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+02,2.231006097793579102e+01,1.445194653585845090e+00,1.110000000000000000e+02
0.000000000000000000e+00,-9.700000000000000000e+01,2.170625376701354980e+01,1.092583458475845815e+00,1.080000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022153806686401367e+01,1.861253148740155572e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.600000000000000000e+01,1.947280907630920410e+01,1.173509440593845543e+00,9.700000000000000000e+01
0.000000000000000000e+00,-4.300000000000000000e+01,1.075074100494384766e+01,5.784190217408605728e-01,5.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021473407745361328e+01,1.901193714981062266e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021483707427978516e+01,1.718070751057050316e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021743392944335938e+01,1.581071179336045684e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.800000000000000000e+01,5.681347846984863281e+00,2.116595448744835184e-01,2.900000000000000000e+01
0.000000000000000000e+00,-8.700000000000000000e+01,1.967506909370422363e+01,1.024944803791804970e+00,9.800000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.085958957672119141e+00,3.388104386234374044e-01,3.100000000000000000e+01
0.000000000000000000e+00,-5.700000000000000000e+01,1.359050703048706055e+01,7.028405532914521192e-01,6.800000000000000000e+01
0.000000000000000000e+00,-1.110000000000000000e+02,2.454052019119262695e+01,1.273444566768072272e+00,1.220000000000000000e+02
0.000000000000000000e+00,-9.600000000000000000e+01,2.149645590782165527e+01,1.341199077176354892e+00,1.070000000000000000e+02
