expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001067805290222168e+01,2.098053784636829455e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001631498336791992e+01,2.329292043167929371e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001161408424377441e+01,2.002011902356844342e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000886201858520508e+01,1.805805092343124141e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001058197021484375e+01,2.049287507345926240e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.700000000000000000e+01,5.441486120223999023e+00,3.696461978635543488e-01,2.800000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.416537046432495117e+00,2.016411324676204986e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001337909698486328e+01,1.818230132817785449e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001319885253906250e+01,1.748399430464155913e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.900000000000000000e+01,7.856498003005981445e+00,6.043885236024488794e-01,4.000000000000000000e+01
0.000000000000000000e+00,-5.600000000000000000e+01,1.334467792510986328e+01,6.279296641471722173e-01,6.700000000000000000e+01
0.000000000000000000e+00,-1.210000000000000000e+02,2.648042893409729004e+01,1.503710886327689344e+00,1.320000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012400507926940918e+01,1.340246691079731711e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.800000000000000000e+01,9.705494880676269531e+00,4.582691832367506990e-01,4.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012329411506652832e+01,1.975325019775437063e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+00,2.224206209182739258e+00,1.137835691999727061e-01,1.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012065696716308594e+01,1.890913398870006867e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.700000000000000000e+01,9.502712965011596680e+00,5.874428021444509929e-01,4.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011695194244384766e+01,1.793063707525558215e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.400000000000000000e+01,2.102056503295898438e+01,1.088130612788024365e+00,1.050000000000000000e+02
0.000000000000000000e+00,-5.800000000000000000e+01,1.374862217903137207e+01,7.834228096114982387e-01,6.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012152600288391113e+01,1.751455670958144806e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.800000000000000000e+01,5.661393165588378906e+00,2.702308740314799396e-01,2.900000000000000000e+01
0.000000000000000000e+00,-5.200000000000000000e+01,1.253284287452697754e+01,8.459894908324688823e-01,6.300000000000000000e+01
0.000000000000000000e+00,-5.300000000000000000e+01,1.273954415321350098e+01,7.042705672371215586e-01,6.400000000000000000e+01
