human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-3.445115535164764431e-01,1.848479014146793276e-01,5.469908940367066656e-04,5.086546652250276135e-02,-3.414887014415159960e-01,1.970623809058015541e-01,3.429639141603751940e-02,7.000934078210926947e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.414887014415159960e-01,1.970623809058015541e-01,3.429639141603751940e-02,7.000934078210926947e-02,-3.334601679542895658e-01,2.131698419075290230e-01,3.974372158548659245e-02,8.991147681050364049e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.334601679542895658e-01,2.131698419075290230e-01,3.974372158548659245e-02,8.991147681050364049e-02,-3.282529521858327248e-01,2.333577909043364207e-01,6.776542824129053177e-03,1.105870277609135588e-01,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.282529521858327248e-01,2.333577909043364207e-01,6.776542824129053177e-03,1.105870277609135588e-01,-3.249230636353005464e-01,2.559872255334855184e-01,3.547376619549479776e-02,1.062017841323609629e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.249230636353005464e-01,2.559872255334855184e-01,3.547376619549479776e-02,1.062017841323609629e-01,-3.132955927365748128e-01,2.758413177455836807e-01,7.668984813435619774e-02,8.491486726365642113e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.132955927365748128e-01,2.758413177455836807e-01,7.668984813435619774e-02,8.491486726365642113e-02,-2.969134868470472144e-01,2.907950390463562851e-01,8.217453744952103734e-02,6.365213000901845386e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.969134868470472144e-01,2.907950390463562851e-01,8.217453744952103734e-02,6.365213000901845386e-02,-2.805696038061015196e-01,3.017634755445801620e-01,8.238059475313566637e-02,4.447299104158311533e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.805696038061015196e-01,3.017634755445801620e-01,8.238059475313566637e-02,4.447299104158311533e-02,-2.611995814183009634e-01,3.086469550986200572e-01,1.149859449179640308e-01,2.486655629341806215e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.611995814183009634e-01,3.086469550986200572e-01,1.149859449179640308e-01,2.486655629341806215e-02,-2.340599240811687687e-01,3.114501772855673423e-01,1.563951377809984500e-01,3.570630851447438581e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.340599240811687687e-01,3.114501772855673423e-01,1.563951377809984500e-01,3.570630851447438581e-03,-1.973102297115808257e-01,3.099600983470548465e-01,1.977226293042105287e-01,-1.712709163033875395e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.973102297115808257e-01,3.099600983470548465e-01,1.977226293042105287e-01,-1.712709163033875395e-02,-1.682885533041265091e-01,3.046315195027465283e-01,-2.961851258854607608e-03,-3.045315475612248024e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.682885533041265091e-01,3.046315195027465283e-01,-2.961851258854607608e-03,-3.045315475612248024e-02,-1.688414557774422509e-01,2.952837585136389165e-01,-2.000723536351604447e-03,-5.628748621065885610e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.688414557774422509e-01,2.952837585136389165e-01,-2.000723536351604447e-03,-5.628748621065885610e-02,-1.688125200976366702e-01,2.822044960571386540e-01,1.804878259590142345e-03,-7.585415106569030896e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.688125200976366702e-01,2.822044960571386540e-01,1.804878259590142345e-03,-7.585415106569030896e-02,-1.686396436389436537e-01,2.656543878593706220e-01,1.506224229065073351e-03,-7.992662993314252062e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.686396436389436537e-01,2.656543878593706220e-01,1.506224229065073351e-03,-7.992662993314252062e-02,-1.685068940393307790e-01,2.515587065240244558e-01,1.888834432052922561e-03,-6.156437285232991413e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.685068940393307790e-01,2.515587065240244558e-01,1.888834432052922561e-03,-6.156437285232991413e-02,-1.684377152334652905e-01,2.412184165705833494e-01,8.099868519035914865e-05,-4.043385758800920049e-02,2.000000000000000042e-02,2.000000000000000111e-01
