expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001382803916931152e+01,1.884676119273354322e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000692892074584961e+01,1.674730701406209832e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.600000000000000000e+01,9.266129970550537109e+00,5.781547986818348361e-01,4.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001414012908935547e+01,1.661282559516275903e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.100000000000000000e+01,6.246690034866333008e+00,3.137124961958786540e-01,3.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001529383659362793e+01,1.467964475750330733e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.500000000000000000e+01,7.052265882492065430e+00,2.834542621884176827e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001255106925964355e+01,2.049194815423166727e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.900000000000000000e+01,9.870905160903930664e+00,6.220437753285441573e-01,5.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001296710968017578e+01,1.878693841354334593e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.020000000000000000e+02,2.264651584625244141e+01,1.225595049842677309e+00,1.130000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011937308311462402e+01,1.579426167775595857e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.400000000000000000e+01,1.495946979522705078e+01,8.528706749338075266e-01,7.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012242388725280762e+01,1.647919549766471148e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+00,3.841407060623168945e+00,2.112488570857053161e-01,2.000000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+01,1.414930701255798340e+01,7.255235225180783898e-01,7.100000000000000000e+01
0.000000000000000000e+00,-9.300000000000000000e+01,2.082088613510131836e+01,1.106649015279376647e+00,1.040000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012046718597412109e+01,1.893710671669884382e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.350000000000000000e+02,2.931303000450134277e+01,1.476271285794335419e+00,1.460000000000000000e+02
0.000000000000000000e+00,-8.000000000000000000e+01,1.819377398490905762e+01,1.180674310612977784e+00,9.100000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.684272050857543945e+00,3.246370106710074199e-01,3.900000000000000000e+01
0.000000000000000000e+00,-1.050000000000000000e+02,2.325159001350402832e+01,1.468382599553037737e+00,1.160000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012128686904907227e+01,1.306999671029944521e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.800000000000000000e+01,1.374667310714721680e+01,7.891444599123728088e-01,6.900000000000000000e+01
0.000000000000000000e+00,-5.800000000000000000e+01,1.374525594711303711e+01,5.830499516027465301e-01,6.900000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.865601062774658203e+00,3.281063872591440389e-01,3.000000000000000000e+01
0.000000000000000000e+00,-1.180000000000000000e+02,2.587554001808166504e+01,1.488231622833019907e+00,1.290000000000000000e+02
0.000000000000000000e+00,-1.800000000000000000e+01,5.661412954330444336e+00,2.360995012589577613e-01,2.900000000000000000e+01
0.000000000000000000e+00,-5.400000000000000000e+01,1.293927812576293945e+01,5.696403585240894518e-01,6.500000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.245268106460571289e+00,3.349197836825294483e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011737895011901855e+01,1.355426105605806564e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.300000000000000000e+01,4.650155067443847656e+00,2.927650900773320353e-01,2.400000000000000000e+01
0.000000000000000000e+00,-8.900000000000000000e+01,2.001502299308776855e+01,7.940139647396997624e-01,1.000000000000000000e+02
0.000000000000000000e+00,-2.100000000000000000e+01,6.268090963363647461e+00,2.585615154591824894e-01,3.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011968183517456055e+01,1.424734469150255922e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.200000000000000000e+01,1.253439497947692871e+01,7.357545362399481315e-01,6.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012387418746948242e+01,1.347710986257837140e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012210202217102051e+01,1.520691496426868072e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012161087989807129e+01,1.687341112126697240e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012064290046691895e+01,1.669089490186275615e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+01,6.065615892410278320e+00,2.592321683631823026e-01,3.100000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.077648878097534180e+00,4.271994085005513253e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.650160074234008789e+00,2.300218626150030976e-01,2.400000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.628984928131103516e+00,1.447944044742649206e-01,1.400000000000000000e+01
0.000000000000000000e+00,-6.700000000000000000e+01,1.556879115104675293e+01,7.771287086704310454e-01,7.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012029385566711426e+01,1.669358522360236519e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.500000000000000000e+01,1.718320393562316895e+01,6.891662147035679808e-01,8.600000000000000000e+01
0.000000000000000000e+00,-4.400000000000000000e+01,1.091481685638427734e+01,5.405552467297590757e-01,5.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011961793899536133e+01,1.209174957795889904e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+00,3.842887163162231445e+00,1.739151414540994756e-01,2.000000000000000000e+01
