human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-1.843106785795339819e-01,1.723270629178061397e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.813439717706270549e-01,1.723024265404549948e-01,3.637296961250915256e-02,-6.575824445175784336e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.813439717706270549e-01,1.723024265404549948e-01,3.637296961250915256e-02,-6.575824445175784336e-04,-1.763832600381570193e-01,1.723153805471639155e-01,5.208485471162914784e-03,-2.701110914970565840e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.763832600381570193e-01,1.723153805471639155e-01,5.208485471162914784e-03,-2.701110914970565840e-04,-1.792906059398777230e-01,1.722990833087640339e-01,-3.629317247854971229e-02,3.688937298972571298e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.792906059398777230e-01,1.722990833087640339e-01,-3.629317247854971229e-02,3.688937298972571298e-04,-1.908870517729562566e-01,1.724905527751217360e-01,-7.600622385220577593e-02,6.234236786840789343e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.908870517729562566e-01,1.724905527751217360e-01,-7.600622385220577593e-02,6.234236786840789343e-03,-2.101977748017438419e-01,1.758296345261311233e-01,-1.162341237025879548e-01,2.613655955008662227e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.101977748017438419e-01,1.758296345261311233e-01,-1.162341237025879548e-01,2.613655955008662227e-02,-2.314563907522465547e-01,1.831821117058532455e-01,-8.638581334880877927e-02,4.685858573387336606e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.314563907522465547e-01,1.831821117058532455e-01,-8.638581334880877927e-02,4.685858573387336606e-02,-2.476847853664301824e-01,1.946315395472061338e-01,-8.108337616375556334e-02,6.775808419422790774e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.476847853664301824e-01,1.946315395472061338e-01,-8.108337616375556334e-02,6.775808419422790774e-02,-2.668249587293429759e-01,2.101239879205699657e-01,-1.150630847473373963e-01,8.804035901125073504e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.668249587293429759e-01,2.101239879205699657e-01,-1.150630847473373963e-01,8.804035901125073504e-02,-2.890765668750817086e-01,2.277057145826229811e-01,-8.810939332093892240e-02,7.650062950332603418e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.890765668750817086e-01,2.277057145826229811e-01,-8.810939332093892240e-02,7.650062950332603418e-02,-3.087643063326982462e-01,2.406816693578578692e-01,-1.165445504378269659e-01,5.431369264077193920e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.087643063326982462e-01,2.406816693578578692e-01,-1.165445504378269659e-01,5.431369264077193920e-02,-3.361927707909515561e-01,2.494929134920351455e-01,-1.560730365381168827e-01,3.300594810112963962e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.361927707909515561e-01,2.494929134920351455e-01,-1.560730365381168827e-01,3.300594810112963962e-02,-3.591728862948332379e-01,2.542351796043149648e-01,1.962153141980252716e-02,7.590888281455951923e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.591728862948332379e-01,2.542351796043149648e-01,1.962153141980252716e-02,7.590888281455951923e-03,-3.528672542826494785e-01,2.551041724717424408e-01,5.189073694413137011e-02,-4.603027275908606712e-03,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.528672542826494785e-01,2.551041724717424408e-01,5.189073694413137011e-02,-4.603027275908606712e-03,-3.386634995090141986e-01,2.522077809157011741e-01,9.042316201076791571e-02,-1.767791197608013440e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.386634995090141986e-01,2.522077809157011741e-01,9.042316201076791571e-02,-1.767791197608013440e-02,-3.184044321337278216e-01,2.505560963179742640e-01,9.870910943863038522e-02,2.158281169387751830e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.184044321337278216e-01,2.505560963179742640e-01,9.870910943863038522e-02,2.158281169387751830e-03,-2.988943617391104923e-01,2.529888548419109706e-01,9.828939720777267464e-02,2.327933882496057913e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.988943617391104923e-01,2.529888548419109706e-01,9.828939720777267464e-02,2.327933882496057913e-02,-2.763421827464462854e-01,2.592895719779562680e-01,1.327301727481468296e-01,3.475519273943175613e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.763421827464462854e-01,2.592895719779562680e-01,1.327301727481468296e-01,3.475519273943175613e-02,-2.518071013493720089e-01,2.645137723041426359e-01,1.031863109013947399e-01,1.658203439295958745e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.518071013493720089e-01,2.645137723041426359e-01,1.031863109013947399e-01,1.658203439295958745e-02,-2.352822476115289108e-01,2.658526270936797942e-01,6.320435340253481582e-02,-3.805284888120413940e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
