expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-7.000000000000000000e+00,3.426057815551757812e+00,2.249322303156555680e-01,1.800000000000000000e+01
0.000000000000000000e+00,-1.190000000000000000e+02,2.598249101638793945e+01,1.052083183435810199e+00,1.300000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+00,3.828263044357299805e+00,2.200072533039120481e-01,2.000000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.015135049819946289e+00,1.381233171895156486e-01,1.100000000000000000e+01
0.000000000000000000e+00,-1.210000000000000000e+02,2.638689684867858887e+01,1.602848430841397942e+00,1.320000000000000000e+02
0.000000000000000000e+00,-6.600000000000000000e+01,1.530659389495849609e+01,9.150394687081341294e-01,7.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001346421241760254e+01,1.803861181379588841e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.400000000000000000e+01,1.490437293052673340e+01,8.548211671346973572e-01,7.500000000000000000e+01
0.000000000000000000e+00,-1.180000000000000000e+02,2.578506183624267578e+01,1.608103129362938422e+00,1.290000000000000000e+02
0.000000000000000000e+00,-1.370000000000000000e+02,2.961137580871582031e+01,1.617834033314140996e+00,1.480000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012449002265930176e+01,5.383889629776725805e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012176418304443359e+01,6.483855536808982301e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012278890609741211e+01,4.576432418363536869e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012266206741333008e+01,4.025881866808239673e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012439417839050293e+01,6.490682188596531565e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012032508850097656e+01,5.039100620208178949e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012364101409912109e+01,6.967523466667832066e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012333488464355469e+01,5.384587156325928436e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012136483192443848e+01,3.660831419911563800e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012138009071350098e+01,5.461907737598776791e-01,1.500000000000000000e+02
0.000000000000000000e+00,-5.800000000000000000e+01,1.374615192413330078e+01,4.142853774801538158e-01,6.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.057271003723144531e+00,2.353177847939613154e-01,2.600000000000000000e+01
