human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,0.000000000000000000e+00,-1.853300963292824621e-01,3.316582840979610536e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.853371069696641560e-01,3.316720642612294156e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.853371069696641560e-01,3.316720642612294156e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.882231200697766504e-01,3.316961183072123509e-01,-3.431139118590443432e-02,-2.339395538665005260e-05,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.882231200697766504e-01,3.316961183072123509e-01,-3.431139118590443432e-02,-2.339395538665005260e-05,-1.932136637697063342e-01,3.313419821995535752e-01,-4.550735062974424483e-03,-7.672809544281643246e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.932136637697063342e-01,3.313419821995535752e-01,-4.550735062974424483e-03,-7.672809544281643246e-03,-1.932940611836637124e-01,3.278283141954935753e-01,5.590694305854523134e-04,-2.787358144967108653e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.932940611836637124e-01,3.278283141954935753e-01,5.590694305854523134e-04,-2.787358144967108653e-02,-1.903400794347496761e-01,3.203188399170273648e-01,3.474825525611320576e-02,-4.572018704202967382e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.903400794347496761e-01,3.203188399170273648e-01,3.474825525611320576e-02,-4.572018704202967382e-02,-1.823503787161022682e-01,3.087392228735052480e-01,3.894039492016522497e-02,-6.607187289127806895e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.823503787161022682e-01,3.087392228735052480e-01,3.894039492016522497e-02,-6.607187289127806895e-02,-1.743191867019555641e-01,2.953796276112479746e-01,4.074717127898061508e-02,-5.766451450334277723e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.743191867019555641e-01,2.953796276112479746e-01,4.074717127898061508e-02,-5.766451450334277723e-02,-1.732104592832587053e-01,2.854830136370428151e-01,2.207214265693503751e-04,-3.734056274174719914e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.732104592832587053e-01,2.854830136370428151e-01,2.207214265693503751e-04,-3.734056274174719914e-02,-1.761892878826366582e-01,2.800218576172870399e-01,-3.524189900543680393e-02,-1.604161697672510517e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.761892878826366582e-01,2.800218576172870399e-01,-3.524189900543680393e-02,-1.604161697672510517e-02,-1.870599481596306179e-01,2.785487787780679403e-01,-7.384498020517867023e-02,1.586220537033055994e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.870599481596306179e-01,2.785487787780679403e-01,-7.384498020517867023e-02,1.586220537033055994e-03,-2.030007234626194368e-01,2.774929974406900035e-01,-8.115161856847147304e-02,-1.452955216872846810e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.030007234626194368e-01,2.774929974406900035e-01,-8.115161856847147304e-02,-1.452955216872846810e-02,-2.219950313963199306e-01,2.723740514486675535e-01,-1.141017738522973335e-01,-3.512643366856921245e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.219950313963199306e-01,2.723740514486675535e-01,-1.141017738522973335e-01,-3.512643366856921245e-02,-2.500835442051116408e-01,2.632642267469310071e-01,-1.542224976254843727e-01,-4.443086736157582373e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.500835442051116408e-01,2.632642267469310071e-01,-1.542224976254843727e-01,-4.443086736157582373e-02,-2.822797312660764724e-01,2.567956833160865426e-01,-1.618360485305473662e-01,-2.200418943856490006e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.822797312660764724e-01,2.567956833160865426e-01,-1.618360485305473662e-01,-2.200418943856490006e-02,-3.116366306989705182e-01,2.539002227741201101e-01,-1.279283757930793075e-01,-1.585700375111364149e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.116366306989705182e-01,2.539002227741201101e-01,-1.279283757930793075e-01,-1.585700375111364149e-02,-3.359410589611113718e-01,2.485516846845971239e-01,-1.216192451252520873e-01,-3.714056708628443032e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.359410589611113718e-01,2.485516846845971239e-01,-1.216192451252520873e-01,-3.714056708628443032e-02,-3.572365404535536859e-01,2.392773717683797374e-01,-8.666138767137780696e-02,-5.657271284755702873e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.572365404535536859e-01,2.392773717683797374e-01,-8.666138767137780696e-02,-5.657271284755702873e-02,-3.607892562129169645e-01,2.293827855906332425e-01,-2.996904630820635199e-02,-4.144629489919140347e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.607892562129169645e-01,2.293827855906332425e-01,-2.996904630820635199e-02,-4.144629489919140347e-02,-3.715700716656720193e-01,2.232936691287974729e-01,-7.188947324217322132e-02,-2.025732845548869690e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.715700716656720193e-01,2.232936691287974729e-01,-7.188947324217322132e-02,-2.025732845548869690e-02,-3.731152008144423826e-01,2.215449620772765582e-01,6.137987748563090333e-04,1.986219567016142377e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.731152008144423826e-01,2.215449620772765582e-01,6.137987748563090333e-04,1.986219567016142377e-03,-3.730910269453134864e-01,2.237765463928360898e-01,-7.802620795454309971e-04,2.178635536669841846e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.730910269453134864e-01,2.237765463928360898e-01,-7.802620795454309971e-04,2.178635536669841846e-02,-3.730904368055030784e-01,2.299349822268825227e-01,1.074161863518029126e-03,3.760250811113274166e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.730904368055030784e-01,2.299349822268825227e-01,1.074161863518029126e-03,3.760250811113274166e-02,-3.701485065671108465e-01,2.354228088126265050e-01,3.328076914465259717e-02,1.732521171621079561e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.701485065671108465e-01,2.354228088126265050e-01,3.328076914465259717e-02,1.732521171621079561e-02,-3.621492116689339347e-01,2.368434637486283578e-01,4.042396424442169789e-02,-1.982904047011613963e-03,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.621492116689339347e-01,2.368434637486283578e-01,4.042396424442169789e-02,-1.982904047011613963e-03,-3.604157672473217167e-01,2.341266836424543141e-01,-6.538745331350836413e-04,-2.053579364601027316e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.604157672473217167e-01,2.341266836424543141e-01,-6.538745331350836413e-04,-2.053579364601027316e-02,-3.575435328189777717e-01,2.322117925547325379e-01,3.464050878424240754e-02,-4.131731363129089005e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.575435328189777717e-01,2.322117925547325379e-01,3.464050878424240754e-02,-4.131731363129089005e-04,-3.466011685151920707e-01,2.342408322831780187e-01,7.300690408603757731e-02,1.968456831181640554e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.466011685151920707e-01,2.342408322831780187e-01,7.300690408603757731e-02,1.968456831181640554e-02,-3.306621921881985893e-01,2.401368365995494303e-01,8.154124201274849659e-02,3.503460939774648286e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.306621921881985893e-01,2.401368365995494303e-01,8.154124201274849659e-02,3.503460939774648286e-02,-3.146408991326328786e-01,2.450460602209961758e-01,7.950731765626778413e-02,1.415642490279608694e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.146408991326328786e-01,2.450460602209961758e-01,7.950731765626778413e-02,1.415642490279608694e-02,-3.015543573782713538e-01,2.470543369132317257e-01,4.580643244611012216e-02,1.591301706077306519e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.015543573782713538e-01,2.470543369132317257e-01,4.580643244611012216e-02,1.591301706077306519e-02,-2.904764326158555399e-01,2.526035114967299378e-01,7.263296031222554738e-02,3.759700454212794307e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.904764326158555399e-01,2.526035114967299378e-01,7.263296031222554738e-02,3.759700454212794307e-02,-2.778286981137058076e-01,2.581328885284932539e-01,4.420299682314239587e-02,1.807273907942871100e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.778286981137058076e-01,2.581328885284932539e-01,4.420299682314239587e-02,1.807273907942871100e-02,-2.700237953064200669e-01,2.596988905265364411e-01,3.820897156190489197e-02,-1.852225940193183602e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.700237953064200669e-01,2.596988905265364411e-01,3.820897156190489197e-02,-1.852225940193183602e-03,-2.652924198378989740e-01,2.572916666721097867e-01,4.483739494261079588e-03,-2.060735553572488193e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.442481695247490148e-01,2.474687502652120064e-01,2.345944894714095815e-05,1.440005481922553877e-02,-3.442825962553078267e-01,2.483509621152187041e-01,6.746251311911289315e-03,-8.693359965415167409e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.442825962553078267e-01,2.483509621152187041e-01,6.746251311911289315e-03,-8.693359965415167409e-03,-3.412710006108717886e-01,2.453521531593405580e-01,3.321057842498577328e-02,-2.486852820058916419e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.412710006108717886e-01,2.453521531593405580e-01,3.321057842498577328e-02,-2.486852820058916419e-02,-3.303257491110506150e-01,2.387594699271219090e-01,7.573494802710929730e-02,-3.087462176656583998e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.303257491110506150e-01,2.387594699271219090e-01,7.573494802710929730e-02,-3.087462176656583998e-02,-3.173514053837054871e-01,2.344082058887038966e-01,4.746615537182623940e-02,-1.272537059378972719e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.173514053837054871e-01,2.344082058887038966e-01,4.746615537182623940e-02,-1.272537059378972719e-02,-3.122210858888063156e-01,2.341317020792520465e-01,2.575154749873726986e-03,9.333734492884399742e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.122210858888063156e-01,2.341317020792520465e-01,2.575154749873726986e-03,9.333734492884399742e-03,-3.094373624425422742e-01,2.379539553638106153e-01,3.389054756275504399e-02,2.784602540589362421e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.094373624425422742e-01,2.379539553638106153e-01,3.389054756275504399e-02,2.784602540589362421e-02,-3.048096414035919022e-01,2.455977475366402651e-01,4.754771793955953584e-03,4.020663111903103465e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.048096414035919022e-01,2.455977475366402651e-01,4.754771793955953584e-03,4.020663111903103465e-02,-3.020372769920620093e-01,2.516698367612449916e-01,3.373958763318839205e-02,2.002045064936044949e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.020372769920620093e-01,2.516698367612449916e-01,3.373958763318839205e-02,2.002045064936044949e-02,-2.914421125709514282e-01,2.537205186847831251e-01,7.246610095097595627e-02,1.267445990522445822e-03,-2.000000000000000042e-02,2.000000000000000111e-01
