human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,-1.851773419552937838e-01,3.315881721496247159e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.852059889616604060e-01,3.315757901540021257e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.852059889616604060e-01,3.315757901540021257e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.820690533552758450e-01,3.315674449451991301e-01,3.585307538652675319e-02,1.223970278161193629e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.820690533552758450e-01,3.315674449451991301e-01,3.585307538652675319e-02,1.223970278161193629e-04,-1.771404305273938107e-01,3.315937577237920153e-01,4.942286242168835060e-03,3.574914245799939755e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.771404305273938107e-01,3.315937577237920153e-01,4.942286242168835060e-03,3.574914245799939755e-04,-1.771689811549063687e-01,3.315969428771938232e-01,-4.838184127205698596e-04,-1.964392116439369349e-04,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.771689811549063687e-01,3.315969428771938232e-01,-4.838184127205698596e-04,-1.964392116439369349e-04,-1.802754050980146239e-01,3.315717953054033718e-01,-3.521726933156184292e-02,-4.644339565481349612e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.802754050980146239e-01,3.315717953054033718e-01,-3.521726933156184292e-02,-4.644339565481349612e-04,-1.920256339020541825e-01,3.315451023254071261e-01,-7.700159182994699425e-02,2.283599325043102332e-04,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.920256339020541825e-01,3.315451023254071261e-01,-7.700159182994699425e-02,2.283599325043102332e-04,-2.084033134847911306e-01,3.314557841361888690e-01,-8.222622548921368346e-02,-4.736517599303329169e-04,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.084033134847911306e-01,3.314557841361888690e-01,-8.222622548921368346e-02,-4.736517599303329169e-04,-2.216054190872274732e-01,3.297190021512385605e-01,-4.676198568949862383e-02,-1.814807985402439386e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.216054190872274732e-01,3.297190021512385605e-01,-4.676198568949862383e-02,-1.814807985402439386e-02,-2.299210105683685279e-01,3.239593138752167034e-01,-4.101966806649350733e-02,-3.975192096826949545e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.299210105683685279e-01,3.239593138752167034e-01,-4.101966806649350733e-02,-3.975192096826949545e-02,-2.381452100177644526e-01,3.142349609035100522e-01,-4.172273522091849568e-02,-5.866049412216535475e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.381452100177644526e-01,3.142349609035100522e-01,-4.172273522091849568e-02,-5.866049412216535475e-02,-2.464156792039109423e-01,3.005213125560261544e-01,-4.140932585067066962e-02,-7.841259595927828341e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.464156792039109423e-01,3.005213125560261544e-01,-4.140932585067066962e-02,-7.841259595927828341e-02,-2.580581377975402213e-01,2.823427343738522111e-01,-7.597117737979083851e-02,-8.707992149003074278e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.580581377975402213e-01,2.823427343738522111e-01,-7.597117737979083851e-02,-8.707992149003074278e-02,-2.742894410048281606e-01,2.670007623201677838e-01,-8.317049973415092945e-02,-6.620794460610625320e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.742894410048281606e-01,2.670007623201677838e-01,-8.317049973415092945e-02,-6.620794460610625320e-02,-2.937592641622345790e-01,2.556610987656868783e-01,-1.152307900021715681e-01,-4.785159624285507951e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.937592641622345790e-01,2.556610987656868783e-01,-1.152307900021715681e-01,-4.785159624285507951e-02,-3.149940701845896918e-01,2.482743834604456135e-01,-8.487285159079192842e-02,-2.715718690045671943e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.149940701845896918e-01,2.482743834604456135e-01,-8.487285159079192842e-02,-2.715718690045671943e-02,-3.312577270821279174e-01,2.450173541496992180e-01,-8.111004839824066670e-02,-6.788787673106653001e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.312577270821279174e-01,2.450173541496992180e-01,-8.111004839824066670e-02,-6.788787673106653001e-03,-3.506724051865950931e-01,2.457736191360588296e-01,-1.157313239186358866e-01,1.346200621593977333e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.506724051865950931e-01,2.457736191360588296e-01,-1.157313239186358866e-01,1.346200621593977333e-02,-3.565186672715611182e-01,2.506522174828149097e-01,2.894932750681752584e-02,3.488468544554033240e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.565186672715611182e-01,2.506522174828149097e-01,2.894932750681752584e-02,3.488468544554033240e-02,-3.527485337783761721e-01,2.573723106514462788e-01,1.941384224706013662e-04,2.561139619359868377e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.527485337783761721e-01,2.573723106514462788e-01,1.941384224706013662e-04,2.561139619359868377e-02,-3.540619460877488245e-01,2.601241952324540030e-01,-5.755559348007778346e-03,4.354797770057507005e-03,-2.000000000000000042e-02,0.000000000000000000e+00
