expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-2.300000000000000000e+01,6.650585889816284180e+00,4.041497614609894651e-01,3.400000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.015360116958618164e+00,9.707207734404459110e-02,1.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001340889930725098e+01,1.751605230199853702e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.200000000000000000e+01,6.445954084396362305e+00,3.601894839828137518e-01,3.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001198506355285645e+01,1.642677204835850224e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001246690750122070e+01,2.012509267381612066e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.047557592391967773e+01,6.324117058608821340e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001231694221496582e+01,1.845901958371086504e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001386499404907227e+01,1.776713473845338731e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001310110092163086e+01,1.538120034669214986e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.200000000000000000e+01,4.448765993118286133e+00,3.274320172125803619e-01,2.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012895107269287109e+01,8.235229583773280293e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012267398834228516e+01,9.705759722604652140e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012097001075744629e+01,1.127066008110328532e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012280917167663574e+01,1.168100821468844419e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012086200714111328e+01,7.662719873290553263e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011947512626647949e+01,8.408810628223921668e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012377619743347168e+01,8.403411039367995050e-01,1.500000000000000000e+02
0.000000000000000000e+00,-5.800000000000000000e+01,1.375143098831176758e+01,6.693604374168400373e-01,6.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012163400650024414e+01,7.505698196044399140e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012403416633605957e+01,1.746407393141093722e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.500000000000000000e+01,7.077826976776123047e+00,3.075542665581664781e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012130403518676758e+01,1.817478383671874198e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.700000000000000000e+01,7.479557991027832031e+00,5.097646454712663200e-01,3.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.055995941162109375e+00,2.231924796611149953e-01,2.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012216114997863770e+01,2.080556613510518016e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.350000000000000000e+02,2.931094980239868164e+01,2.138815002386851738e+00,1.460000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012601184844970703e+01,2.241125188541686519e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012923789024353027e+01,1.625219284978178358e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012343716621398926e+01,2.047658756233556421e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.000000000000000000e+00,3.641616106033325195e+00,2.092104228585496550e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012319707870483398e+01,3.147210544013434141e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012167501449584961e+01,3.466854983522171807e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012532210350036621e+01,3.504360189559395877e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012326097488403320e+01,3.371608311753322429e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011879396438598633e+01,3.124342287068584856e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012132191658020020e+01,3.220567548394766000e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012180495262145996e+01,2.986421173659317585e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.400000000000000000e+01,8.899121046066284180e+00,9.151382491998545365e-01,4.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011960196495056152e+01,3.447429740009501309e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012529492378234863e+01,1.967754592985196727e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012045693397521973e+01,2.191177879376994042e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012662315368652344e+01,1.814562930508185179e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012228202819824219e+01,2.316243631797278435e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012193393707275391e+01,1.501421167388465872e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012348318099975586e+01,2.008246005158614622e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012565207481384277e+01,2.707883927746006503e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012385797500610352e+01,1.918322022668496496e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012415289878845215e+01,2.022775886759765385e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012110090255737305e+01,1.255814697198229801e+00,1.500000000000000000e+02
