expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-3.100000000000000000e+01,8.260165929794311523e+00,3.701763380972312167e-01,4.200000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.669063091278076172e+00,5.052101297809447056e-01,4.900000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+01,1.410088300704956055e+01,9.024316921894156573e-01,7.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001665616035461426e+01,2.068951274914032190e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.900000000000000000e+01,1.792843008041381836e+01,8.570707275651535673e-01,9.000000000000000000e+01
0.000000000000000000e+00,-1.140000000000000000e+02,2.497991299629211426e+01,1.503177885346362208e+00,1.250000000000000000e+02
0.000000000000000000e+00,-2.800000000000000000e+01,7.654956102371215820e+00,3.011399319239989048e-01,3.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001781511306762695e+01,1.907046998537817784e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001202702522277832e+01,1.790074328189362740e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+00,3.829268932342529297e+00,2.232398022730688325e-01,2.000000000000000000e+01
0.000000000000000000e+00,-4.900000000000000000e+01,1.192702484130859375e+01,4.342194854100562273e-01,6.000000000000000000e+01
0.000000000000000000e+00,-2.700000000000000000e+01,7.482161045074462891e+00,2.926803883519528138e-01,3.800000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.247110128402709961e+00,1.924972677460632386e-01,2.200000000000000000e+01
0.000000000000000000e+00,-7.500000000000000000e+01,1.718659520149230957e+01,6.375658503939503063e-01,8.600000000000000000e+01
0.000000000000000000e+00,-6.200000000000000000e+01,1.455685400962829590e+01,6.088173101040882385e-01,7.300000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.650563001632690430e+00,1.714953715578763638e-01,2.400000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.628876924514770508e+00,1.392099370870212294e-01,1.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012390184402465820e+01,1.222487842905777056e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.400000000000000000e+01,1.091640996932983398e+01,4.440863400999420785e-01,5.500000000000000000e+01
