human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-1.846403719958765177e-01,3.323108613460842298e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.877406037739217104e-01,3.322665805920412829e-01,-3.510224068947845333e-02,4.647832133479953289e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.877406037739217104e-01,3.322665805920412829e-01,-3.510224068947845333e-02,4.647832133479953289e-04,-1.958139499275349249e-01,3.322863231631995595e-01,-4.043985045587199234e-02,-7.705794548885334938e-04,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.958139499275349249e-01,3.322863231631995595e-01,-4.043985045587199234e-02,-7.705794548885334938e-04,-2.006753700567867615e-01,3.322232938038582883e-01,-5.992544606450403606e-03,1.019757402734116497e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.006753700567867615e-01,3.322232938038582883e-01,-5.992544606450403606e-03,1.019757402734116497e-03,-2.034659344520381996e-01,3.322538445944007712e-01,-3.416869701558138128e-02,-3.645413888166016011e-05,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.034659344520381996e-01,3.322538445944007712e-01,-3.416869701558138128e-02,-3.645413888166016011e-05,-2.080486965163299562e-01,3.321602398265378064e-01,-2.877405647031539004e-03,-2.192189137845820032e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.080486965163299562e-01,3.321602398265378064e-01,-2.877405647031539004e-03,-2.192189137845820032e-03,-2.077313277120440560e-01,3.293707777168551898e-01,1.321754467741755555e-03,-2.353866734550319820e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.077313277120440560e-01,3.293707777168551898e-01,1.321754467741755555e-03,-2.353866734550319820e-02,-2.104775730026283431e-01,3.225427855692372114e-01,-3.401940591882809950e-02,-4.417475978260965164e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.104775730026283431e-01,3.225427855692372114e-01,-3.401940591882809950e-02,-4.417475978260965164e-02,-2.180714375196547428e-01,3.116117807139853757e-01,-3.863419677905326199e-02,-6.313579183659830119e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.180714375196547428e-01,3.116117807139853757e-01,-3.863419677905326199e-02,-6.313579183659830119e-02,-2.256471008668416989e-01,2.967393782294943660e-01,-3.878735004513637202e-02,-8.356228001780828529e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.256471008668416989e-01,2.967393782294943660e-01,-3.878735004513637202e-02,-8.356228001780828529e-02,-2.334832249766778944e-01,2.775229636764904306e-01,-3.736935120400439875e-02,-9.150519700282185032e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.334832249766778944e-01,2.775229636764904306e-01,-3.736935120400439875e-02,-9.150519700282185032e-02,-2.411157493005654517e-01,2.614689787776181551e-01,-3.746269106017367095e-02,-7.075680185150258483e-02,2.000000000000000042e-02,0.000000000000000000e+00
