expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-8.300000000000000000e+01,1.873148083686828613e+01,9.431955510216344374e-01,9.400000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+01,4.431473970413208008e+00,2.056821790589396515e-01,2.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.035354137420654297e+00,2.719341622099624156e-01,2.600000000000000000e+01
0.000000000000000000e+00,-4.700000000000000000e+01,1.148272299766540527e+01,5.546782188536374392e-01,5.800000000000000000e+01
0.000000000000000000e+00,-6.900000000000000000e+01,1.591259694099426270e+01,9.155686989227310724e-01,8.000000000000000000e+01
0.000000000000000000e+00,-7.900000000000000000e+01,1.792492413520812988e+01,1.179802167290011194e+00,9.000000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+01,1.409941601753234863e+01,9.176581583208591741e-01,7.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001253485679626465e+01,1.818203741220110414e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001092004776000977e+01,1.409326436206708610e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.600000000000000000e+01,7.253129959106445312e+00,4.413922480502597279e-01,3.700000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.639047145843505859e+00,2.903258226639892081e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.400000000000000000e+01,4.852056026458740234e+00,3.304315167501431505e-01,2.500000000000000000e+01
0.000000000000000000e+00,-7.600000000000000000e+01,1.738390803337097168e+01,9.652411368888537124e-01,8.700000000000000000e+01
0.000000000000000000e+00,-7.100000000000000000e+01,1.637416100502014160e+01,8.102290508222161902e-01,8.200000000000000000e+01
0.000000000000000000e+00,-9.400000000000000000e+01,2.102346491813659668e+01,1.058174747354619250e+00,1.050000000000000000e+02
0.000000000000000000e+00,-2.000000000000000000e+00,2.426829099655151367e+00,1.529162116315458952e-01,1.300000000000000000e+01
0.000000000000000000e+00,-3.100000000000000000e+01,8.288039922714233398e+00,3.536571882949135492e-01,4.200000000000000000e+01
0.000000000000000000e+00,-3.200000000000000000e+01,8.491271018981933594e+00,4.289409094743635298e-01,4.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012060403823852539e+01,1.451002422352850818e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.500000000000000000e+01,1.314165687561035156e+01,5.856610243375777181e-01,6.600000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.649142026901245117e+00,2.294734602986475136e-01,2.400000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.245819807052612305e+00,3.129581647034785363e-01,2.200000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820156097412109375e+00,1.131712520790142257e-01,1.000000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.703147888183593750e+00,4.746973328041205198e-01,4.900000000000000000e+01
0.000000000000000000e+00,-8.700000000000000000e+01,1.961209297180175781e+01,1.131922420926188444e+00,9.800000000000000000e+01
0.000000000000000000e+00,-3.300000000000000000e+01,8.693181991577148438e+00,5.603530274921403320e-01,4.400000000000000000e+01
0.000000000000000000e+00,-1.080000000000000000e+02,2.385550308227539062e+01,1.162392925694767598e+00,1.190000000000000000e+02
0.000000000000000000e+00,-2.700000000000000000e+01,7.479358911514282227e+00,3.039029683877686461e-01,3.800000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224313020706176758e+00,1.345961348318195916e-01,1.200000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.830862045288085938e+00,1.294317627686655536e-01,1.500000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.680945873260498047e+00,3.996959156221621678e-01,3.900000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.863723993301391602e+00,3.037812103219255100e-01,3.000000000000000000e+01
0.000000000000000000e+00,-2.100000000000000000e+01,6.268432140350341797e+00,2.899029360473337480e-01,3.200000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.459825038909912109e+00,2.107106101637122586e-01,2.800000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.819616794586181641e+00,1.187454216236369375e-01,1.000000000000000000e+01
0.000000000000000000e+00,-4.800000000000000000e+01,1.172704911231994629e+01,4.752141045223143290e-01,5.900000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.066313982009887695e+00,3.671194158037796029e-01,3.100000000000000000e+01
0.000000000000000000e+00,-6.300000000000000000e+01,1.475784707069396973e+01,9.193071861193619077e-01,7.400000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.257917165756225586e+00,2.388657053311147860e-01,2.700000000000000000e+01
0.000000000000000000e+00,-8.800000000000000000e+01,1.981031084060668945e+01,1.138124795495618180e+00,9.900000000000000000e+01
