human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,0.000000000000000000e+00,-3.446576574360568079e-01,1.723447733717816122e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.446550907071210812e-01,1.723488043358537836e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.446550907071210812e-01,1.723488043358537836e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.446522664087065535e-01,1.723469294121976469e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-3.446522664087065535e-01,1.723469294121976469e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.417201328095743618e-01,1.722601332228022863e-01,3.447958546704751881e-02,2.543767972304812781e-03,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.417201328095743618e-01,1.722601332228022863e-01,3.447958546704751881e-02,2.543767972304812781e-03,-3.367223090279695685e-01,1.723125247912337399e-01,4.803046977558357231e-03,2.343649789670766009e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.367223090279695685e-01,1.723125247912337399e-01,4.803046977558357231e-03,2.343649789670766009e-03,-3.366182905076110510e-01,1.745867577339479393e-01,-1.032986011493112295e-03,2.072971238541731001e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.366182905076110510e-01,1.745867577339479393e-01,-1.032986011493112295e-03,2.072971238541731001e-02,-3.396552101018862069e-01,1.808463935487029106e-01,-3.371527318006008189e-02,4.050839459897487282e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.396552101018862069e-01,1.808463935487029106e-01,-3.371527318006008189e-02,4.050839459897487282e-02,-3.504471577854351705e-01,1.912335594208190437e-01,-7.243853592592922053e-02,6.084197776760310455e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.504471577854351705e-01,1.912335594208190437e-01,-7.243853592592922053e-02,6.084197776760310455e-02,-3.559508003590611258e-01,2.054331778945995002e-01,2.280867541268166016e-02,8.022750117314163265e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.559508003590611258e-01,2.054331778945995002e-01,2.280867541268166016e-02,8.022750117314163265e-02,-3.470314664373977953e-01,2.244542077560972293e-01,6.238277872628233273e-02,9.902267503309575281e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.470314664373977953e-01,2.244542077560972293e-01,6.238277872628233273e-02,9.902267503309575281e-02,-3.331381141018612824e-01,2.423062193169536194e-01,6.966122495564115724e-02,7.892461325308354481e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.331381141018612824e-01,2.423062193169536194e-01,6.966122495564115724e-02,7.892461325308354481e-02,-3.194060569421461881e-01,2.562068751430284785e-01,7.079907033829287155e-02,5.897634360818952010e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.194060569421461881e-01,2.562068751430284785e-01,7.079907033829287155e-02,5.897634360818952010e-02,-3.025384695266641888e-01,2.659202267004261433e-01,1.022349511436350389e-01,3.932972633157921782e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.025384695266641888e-01,2.659202267004261433e-01,1.022349511436350389e-01,3.932972633157921782e-02,-2.779478260519753774e-01,2.715806300959016650e-01,1.420635241612153987e-01,1.756265499581570119e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.779478260519753774e-01,2.715806300959016650e-01,1.420635241612153987e-01,1.756265499581570119e-02,-2.470144304144986647e-01,2.732392118403306758e-01,1.498566665910106566e-01,-3.175528918927362533e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.470144304144986647e-01,2.732392118403306758e-01,1.498566665910106566e-01,-3.175528918927362533e-03,-2.142679326309912813e-01,2.705962621240230459e-01,1.820277785002942794e-01,-2.427590155058874724e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.142679326309912813e-01,2.705962621240230459e-01,1.820277785002942794e-01,-2.427590155058874724e-02,-1.750011943951954585e-01,2.637832414901519207e-01,2.000996875264295927e-01,-4.377375317859632381e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.750011943951954585e-01,2.637832414901519207e-01,2.000996875264295927e-01,-4.377375317859632381e-02,-1.688450063022127190e-01,2.570947915895829272e-01,4.122695695722491775e-03,-2.259734239927495281e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.688450063022127190e-01,2.570947915895829272e-01,4.122695695722491775e-03,-2.259734239927495281e-02,-1.719616137873184458e-01,2.543703815885724473e-01,-3.503933712089163377e-02,-4.071989710757023366e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.719616137873184458e-01,2.543703815885724473e-01,-3.503933712089163377e-02,-4.071989710757023366e-03,-1.799242970042606027e-01,2.556297964928010424e-01,-4.012166469961703924e-02,1.597526679089612128e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.799242970042606027e-01,2.556297964928010424e-01,-4.012166469961703924e-02,1.597526679089612128e-02,-1.912396235203426831e-01,2.612029019221963066e-01,-7.392587448255857896e-02,3.601174788279284944e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.912396235203426831e-01,2.612029019221963066e-01,-7.392587448255857896e-02,3.601174788279284944e-02,-2.101217864527353540e-01,2.680824047601398363e-01,-1.153218055335658160e-01,2.605370058441289216e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.101217864527353540e-01,2.680824047601398363e-01,-1.153218055335658160e-01,2.605370058441289216e-02,-2.341195573902644100e-01,2.711222513737021611e-01,-1.196061778070667131e-01,5.240259941025957394e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.341195573902644100e-01,2.711222513737021611e-01,-1.196061778070667131e-01,5.240259941025957394e-03,-2.551474598562455953e-01,2.701661890705263080e-01,-8.594034590173380006e-02,-1.421854270544825431e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.551474598562455953e-01,2.701661890705263080e-01,-8.594034590173380006e-02,-1.421854270544825431e-02,-2.741976798703381624e-01,2.651859847062600917e-01,-1.142577272418911633e-01,-3.491343457225297431e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.741976798703381624e-01,2.651859847062600917e-01,-1.142577272418911633e-01,-3.491343457225297431e-02,-2.980550229956583363e-01,2.562665337635611773e-01,-1.188561600107257976e-01,-5.025125634477938669e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.980550229956583363e-01,2.562665337635611773e-01,-1.188561600107257976e-01,-5.025125634477938669e-02,-3.259260793729518157e-01,2.481256662307626260e-01,-1.540797996510695489e-01,-2.819878929255762237e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.259260793729518157e-01,2.481256662307626260e-01,-1.540797996510695489e-01,-2.819878929255762237e-02,-3.547874499758887912e-01,2.443297921758527669e-01,-1.238885637197726236e-01,-7.980369939712919636e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.547874499758887912e-01,2.443297921758527669e-01,-1.238885637197726236e-01,-7.980369939712919636e-03,-3.595925412920892850e-01,2.446804176584187751e-01,1.807611568016306933e-03,1.256074635196752914e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.595925412920892850e-01,2.446804176584187751e-01,1.807611568016306933e-03,1.256074635196752914e-02,-3.595421550731758287e-01,2.492184837172291278e-01,2.090300871766045433e-03,3.181728738208194213e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.595421550731758287e-01,2.492184837172291278e-01,2.090300871766045433e-03,3.181728738208194213e-02,-3.565064968992461836e-01,2.572306085280933186e-01,3.632103063350072825e-02,3.850629512120791464e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.565064968992461836e-01,2.572306085280933186e-01,3.632103063350072825e-02,3.850629512120791464e-02,-3.449393927086205069e-01,2.631196685873999352e-01,7.485291733120656710e-02,1.835772494314501582e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.449393927086205069e-01,2.631196685873999352e-01,7.485291733120656710e-02,1.835772494314501582e-02,-3.316899155792983334e-01,2.646437930066654620e-01,4.766568860070041075e-02,-2.492088872917892859e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.316899155792983334e-01,2.646437930066654620e-01,4.766568860070041075e-02,-2.492088872917892859e-03,-3.263090374310607111e-01,2.625261872931818341e-01,7.116106763496160906e-03,-1.465061416731755321e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.263090374310607111e-01,2.625261872931818341e-01,7.116106763496160906e-03,-1.465061416731755321e-02,-3.258637571631093355e-01,2.596162877411030134e-01,1.012006471994601146e-03,-1.422247552589937618e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.258637571631093355e-01,2.596162877411030134e-01,1.012006471994601146e-03,-1.422247552589937618e-02,-3.255767062432977088e-01,2.567622645238272217e-01,1.308888276881116797e-03,-1.436994117465058285e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.255767062432977088e-01,2.567622645238272217e-01,1.308888276881116797e-03,-1.436994117465058285e-02,-3.281870233499922240e-01,2.547142458513647623e-01,-3.339224330408629288e-02,-9.669186283128634223e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.281870233499922240e-01,2.547142458513647623e-01,-3.339224330408629288e-02,-9.669186283128634223e-04,-3.334291650950576558e-01,2.566480451497803461e-01,-6.761284097398408133e-03,1.946685425817813037e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.334291650950576558e-01,2.566480451497803461e-01,-6.761284097398408133e-03,1.946685425817813037e-02,-3.364570124583245447e-01,2.625145808127121172e-01,-3.412998150617917864e-02,3.216509470288862749e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.364570124583245447e-01,2.625145808127121172e-01,-3.412998150617917864e-02,3.216509470288862749e-02,-3.413820103648928517e-01,2.669314527497832490e-01,-5.988472101568271914e-03,1.291897541573086040e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.413820103648928517e-01,2.669314527497832490e-01,-5.988472101568271914e-03,1.291897541573086040e-02,-3.415039216645973097e-01,2.674304577281346185e-01,2.463178081096499637e-03,-5.719835368696249249e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.415039216645973097e-01,2.674304577281346185e-01,2.463178081096499637e-03,-5.719835368696249249e-03,-3.443413335729967883e-01,2.639119692062384392e-01,-3.586376624606588126e-02,-2.637775475674047215e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.443413335729967883e-01,2.639119692062384392e-01,-3.586376624606588126e-02,-2.637775475674047215e-02,-3.494048177348776374e-01,2.560135461419429381e-01,-4.361525828074096917e-03,-4.540533437287361251e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.494048177348776374e-01,2.560135461419429381e-01,-4.361525828074096917e-03,-4.540533437287361251e-02,-3.461300965117665163e-01,2.491246527976826997e-01,3.573963099519100045e-02,-2.455102101013429544e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.461300965117665163e-01,2.491246527976826997e-01,3.573963099519100045e-02,-2.455102101013429544e-02,-3.378280668643610096e-01,2.462081035235963444e-01,4.131960811597441136e-02,-4.745771018580025730e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.378280668643610096e-01,2.462081035235963444e-01,4.131960811597441136e-02,-4.745771018580025730e-03,-3.295580786427793618e-01,2.473483652348612005e-01,4.157651345363733847e-02,1.555620870202330253e-02,2.000000000000000042e-02,0.000000000000000000e+00
