expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-4.500000000000000000e+01,1.107857584953308105e+01,6.086878883155076858e-01,5.600000000000000000e+01
0.000000000000000000e+00,-4.300000000000000000e+01,1.067579579353332520e+01,4.582612917202766867e-01,5.400000000000000000e+01
0.000000000000000000e+00,-7.800000000000000000e+01,1.772464394569396973e+01,9.811792984551637176e-01,8.900000000000000000e+01
0.000000000000000000e+00,-2.200000000000000000e+01,6.446287870407104492e+00,3.743574094111739026e-01,3.300000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.625768899917602539e+00,1.899281377772542578e-01,1.900000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.655560970306396484e+00,3.524861900224372513e-01,3.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001088809967041016e+01,1.973534141677389941e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.400000000000000000e+01,1.893323588371276855e+01,1.106195384880314325e+00,9.500000000000000000e+01
0.000000000000000000e+00,-3.300000000000000000e+01,8.661680936813354492e+00,4.887873487001769823e-01,4.400000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.237536907196044922e+00,2.217172719623084209e-01,2.700000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820402145385742188e+00,1.236598808616159312e-01,1.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820303201675415039e+00,1.287428750648001441e-01,1.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820920944213867188e+00,1.215460820624437582e-01,1.000000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.033493041992187500e+00,1.862298123231957148e-01,1.600000000000000000e+01
0.000000000000000000e+00,-2.200000000000000000e+01,6.468593835830688477e+00,3.159999999581951102e-01,3.300000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.618694067001342773e+00,1.177088070059868485e-01,9.000000000000000000e+00
0.000000000000000000e+00,-9.000000000000000000e+00,3.842525959014892578e+00,1.779998159112059775e-01,2.000000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.256256103515625000e+00,2.508890747548282452e-01,2.700000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.437736034393310547e+00,2.066313497076651406e-01,1.800000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.427470922470092773e+00,1.374157998436558170e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.662036895751953125e+00,2.395792679419229132e-01,2.900000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224449872970581055e+00,1.302094785252894960e-01,1.200000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.032361984252929688e+00,1.813789690441600932e-01,1.600000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.841784954071044922e+00,1.665684432154545813e-01,2.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820777893066406250e+00,1.324101596130213554e-01,1.000000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.830585956573486328e+00,1.656048249087453683e-01,1.500000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.235945940017700195e+00,1.898109117775139132e-01,1.700000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.830522060394287109e+00,1.568271897320956954e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.225375175476074219e+00,1.340132552718352188e-01,1.200000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.033009052276611328e+00,2.058817567495221379e-01,1.600000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.618780851364135742e+00,1.294176148587068143e-01,9.000000000000000000e+00
0.000000000000000000e+00,-3.000000000000000000e+00,2.629187822341918945e+00,1.550881046779129802e-01,1.400000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.831485986709594727e+00,1.796824557548082346e-01,1.500000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.436178207397460938e+00,1.703654335410729470e-01,1.800000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.033195972442626953e+00,1.870636062834828972e-01,1.600000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.034077882766723633e+00,1.447095061707309172e-01,1.600000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820766925811767578e+00,1.248566189582069053e-01,1.000000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.618368864059448242e+00,1.191449599230925138e-01,9.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.820247888565063477e+00,1.311531650393540638e-01,1.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.823271989822387695e+00,1.377861616083327079e-01,1.000000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224892139434814453e+00,1.263176263158299339e-01,1.200000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.034147977828979492e+00,1.738212133413402638e-01,1.600000000000000000e+01
