human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,0.000000000000000000e+00,-1.854499694518590980e-01,3.320024653187558239e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.854544759584207114e-01,3.320070200920348658e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.854544759584207114e-01,3.320070200920348658e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.854404568546497156e-01,3.319978621071684732e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.854404568546497156e-01,3.319978621071684732e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.824672964186183355e-01,3.319895597180289037e-01,3.377007708947643572e-02,-6.224003658336087989e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.824672964186183355e-01,3.319895597180289037e-01,3.377007708947643572e-02,-6.224003658336087989e-04,-1.745454738355758373e-01,3.319702152449898191e-01,4.030647925008361970e-02,-1.153217792804236974e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.745454738355758373e-01,3.319702152449898191e-01,4.030647925008361970e-02,-1.153217792804236974e-03,-1.761781717569779193e-01,3.319573073049580936e-01,-3.508079495842507389e-02,-9.382525679416267670e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.761781717569779193e-01,3.319573073049580936e-01,-3.508079495842507389e-02,-9.382525679416267670e-04,-1.842005954352799457e-01,3.319600970608424517e-01,-4.077251403436327193e-02,-1.957677308703750286e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.842005954352799457e-01,3.319600970608424517e-01,-4.077251403436327193e-02,-1.957677308703750286e-04,-1.951478749582646888e-01,3.319208607230555996e-01,-7.395075171741152809e-02,-1.150225957726326142e-03,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.951478749582646888e-01,3.319208607230555996e-01,-7.395075171741152809e-02,-1.150225957726326142e-03,-2.140870503259849067e-01,3.318247162886144297e-01,-1.144658331036219473e-01,-1.451824070825150862e-03,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.140870503259849067e-01,3.318247162886144297e-01,-1.144658331036219473e-01,-1.451824070825150862e-03,-2.380447621451187712e-01,3.316110253223095161e-01,-1.202955765652480996e-01,-7.746146818884792418e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.380447621451187712e-01,3.316110253223095161e-01,-1.202955765652480996e-01,-7.746146818884792418e-04,-2.590911246623331943e-01,3.314651349586087425e-01,-8.554585950723841981e-02,-9.517685741122457795e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.590911246623331943e-01,3.314651349586087425e-01,-8.554585950723841981e-02,-9.517685741122457795e-04,-2.725263741259899009e-01,3.314206850584135999e-01,-4.497315952955475982e-02,-1.871968277396673778e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.725263741259899009e-01,3.314206850584135999e-01,-4.497315952955475982e-02,-1.871968277396673778e-04,-2.772590928858095216e-01,3.313974512283964224e-01,-2.999140664790226739e-03,-3.665130862358361862e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.772590928858095216e-01,3.313974512283964224e-01,-2.999140664790226739e-03,-3.665130862358361862e-04,-2.799842948556926503e-01,3.314154330942485904e-01,-3.273377507332346503e-02,-1.076728691839389700e-03,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.799842948556926503e-01,3.314154330942485904e-01,-3.273377507332346503e-02,-1.076728691839389700e-03,-2.905853271241522484e-01,3.313801855418457842e-01,-7.399858005455008103e-02,-1.662876117834678844e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.905853271241522484e-01,3.313801855418457842e-01,-7.399858005455008103e-02,-1.662876117834678844e-03,-3.031922855064084765e-01,3.291834799330265460e-01,-4.461810776418283220e-02,-2.058790428181849277e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.031922855064084765e-01,3.291834799330265460e-01,-4.461810776418283220e-02,-2.058790428181849277e-02,-3.112459207601028788e-01,3.228114797829621518e-01,-3.698831268177824039e-02,-4.160097188383478362e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.112459207601028788e-01,3.228114797829621518e-01,-3.698831268177824039e-02,-4.160097188383478362e-02,-3.218383982275012656e-01,3.124799682598411454e-01,-7.278115744062603476e-02,-6.146486760424368923e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.218383982275012656e-01,3.124799682598411454e-01,-7.278115744062603476e-02,-6.146486760424368923e-02,-3.343751671690025074e-01,2.981518743134194405e-01,-4.417511728111647024e-02,-8.104292318944936180e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.343751671690025074e-01,2.981518743134194405e-01,-4.417511728111647024e-02,-8.104292318944936180e-02,-3.449893235525049451e-01,2.798206068895561782e-01,-7.186561941072368287e-02,-1.011302061102462846e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.449893235525049451e-01,2.798206068895561782e-01,-7.186561941072368287e-02,-1.011302061102462846e-01,-3.577978157288325134e-01,2.597594010131296094e-01,-5.460865086087208185e-03,-8.618749725242261239e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.577978157288325134e-01,2.597594010131296094e-01,-5.460865086087208185e-03,-8.618749725242261239e-02,-3.575508257251683308e-01,2.434127109393358634e-01,1.005444820724677541e-03,-7.083937698833979446e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.575508257251683308e-01,2.434127109393358634e-01,1.005444820724677541e-03,-7.083937698833979446e-02,-3.544954632243907944e-01,2.307650042373081689e-01,3.475893129870447767e-02,-5.071120573621217681e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.544954632243907944e-01,2.307650042373081689e-01,3.475893129870447767e-02,-5.071120573621217681e-02,-3.464674972488294147e-01,2.226322177405943847e-01,4.073511469887148434e-02,-3.094177129598495168e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.464674972488294147e-01,2.226322177405943847e-01,4.073511469887148434e-02,-3.094177129598495168e-02,-3.414519298656204516e-01,2.184836260765780080e-01,5.373233630893797103e-03,-1.087489331061051306e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.414519298656204516e-01,2.184836260765780080e-01,5.373233630893797103e-03,-1.087489331061051306e-02,-3.413231685638768997e-01,2.183304549277216844e-01,2.458554695542502881e-03,6.273510652246561820e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.413231685638768997e-01,2.183304549277216844e-01,2.458554695542502881e-03,6.273510652246561820e-03,-3.384102488383236573e-01,2.222062787687414942e-01,3.403094089118421234e-02,2.913719278717128922e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.384102488383236573e-01,2.222062787687414942e-01,3.403094089118421234e-02,2.913719278717128922e-02,-3.298355568975575025e-01,2.304316072421317696e-01,4.012890464282176106e-02,5.080846679150140960e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.298355568975575025e-01,2.304316072421317696e-01,4.012890464282176106e-02,5.080846679150140960e-02,-3.244268944668743937e-01,2.408999193152351614e-01,8.321351371884036854e-03,4.571385332001552670e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.244268944668743937e-01,2.408999193152351614e-01,8.321351371884036854e-03,4.571385332001552670e-02,-3.240037162626271949e-01,2.479425841069118897e-01,1.672695847726892457e-03,2.517220360611546054e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.240037162626271949e-01,2.479425841069118897e-01,1.672695847726892457e-03,2.517220360611546054e-02,-3.207040926032824202e-01,2.509525674795798911e-01,3.537489201398307664e-02,4.508931348324824590e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.207040926032824202e-01,2.509525674795798911e-01,3.537489201398307664e-02,4.508931348324824590e-03,-3.124565178046904146e-01,2.499496319961554414e-01,4.171283044242721921e-02,-1.411313240426872659e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.124565178046904146e-01,2.499496319961554414e-01,4.171283044242721921e-02,-1.411313240426872659e-02,-3.040560597703341750e-01,2.449613201557440112e-01,4.000081132201848549e-02,-3.377943790277106173e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.040560597703341750e-01,2.449613201557440112e-01,4.000081132201848549e-02,-3.377943790277106173e-02,-2.983966902935782928e-01,2.397131000463133821e-01,8.014721230210335862e-03,-1.474422923999055800e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.983966902935782928e-01,2.397131000463133821e-01,8.014721230210335862e-03,-1.474422923999055800e-02,-3.010233824907119216e-01,2.387805216357058169e-01,-3.178347222036402575e-02,4.325617555544452805e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.010233824907119216e-01,2.387805216357058169e-01,-3.178347222036402575e-02,4.325617555544452805e-03,-3.056690279258423848e-01,2.418515653119356901e-01,-3.753818809673424572e-03,2.495154356709927690e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.056690279258423848e-01,2.418515653119356901e-01,-3.753818809673424572e-03,2.495154356709927690e-02,-3.054117307009099891e-01,2.489184466490680925e-01,1.526889733441373414e-03,4.577691972469219439e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.054117307009099891e-01,2.489184466490680925e-01,1.526889733441373414e-03,4.577691972469219439e-02,-3.020608287792633795e-01,2.581709180767595146e-01,3.698474365979501077e-02,3.851937757503329923e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.020608287792633795e-01,2.581709180767595146e-01,3.698474365979501077e-02,3.851937757503329923e-02,-2.907368905844351925e-01,2.639098487464279219e-01,7.603397489828125910e-02,1.820734812731098287e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.907368905844351925e-01,2.639098487464279219e-01,7.603397489828125910e-02,1.820734812731098287e-02,-2.735300925967410479e-01,2.655090848886821342e-01,8.257657092487354078e-02,-1.816117771347408811e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.735300925967410479e-01,2.655090848886821342e-01,8.257657092487354078e-02,-1.816117771347408811e-03,-2.539203048568344778e-01,2.630025947407318432e-01,1.180618143073863952e-01,-2.272306172865197135e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.539203048568344778e-01,2.630025947407318432e-01,1.180618143073863952e-01,-2.272306172865197135e-02,-2.322854272940470810e-01,2.564383703277390292e-01,8.933913860641926052e-02,-4.296471614377474907e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
