expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.240000000000000000e+02,2.699216890335083008e+01,1.846802686163556473e+00,1.350000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001226902008056641e+01,2.162495283156484760e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001237893104553223e+01,2.001091461425740459e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001482796669006348e+01,1.922591714348221625e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001309108734130859e+01,2.237707653215029957e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001172780990600586e+01,1.874626261775430125e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001546907424926758e+01,2.036692363121086036e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001509809494018555e+01,1.841986472206151637e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001371908187866211e+01,1.981801728790058670e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001174902915954590e+01,2.155923602514691950e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012281394004821777e+01,1.718861142812667886e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011961388587951660e+01,1.751606302932835701e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011958599090576172e+01,7.641823330697002925e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012154293060302734e+01,2.256226854186536013e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011986017227172852e+01,1.344950644683321261e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012644195556640625e+01,1.633937270192970415e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012240290641784668e+01,1.844309444868476255e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012373614311218262e+01,1.327071036145939908e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011844897270202637e+01,1.351520626760830623e+00,1.500000000000000000e+02
