human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,-1.846393440202590275e-01,3.290974027365414223e-01,1.476052507648520059e-04,-2.493306131096302558e-02,-1.875736254354625765e-01,3.216829842518812987e-01,-3.341368222771760182e-02,-4.627719199369678682e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.875736254354625765e-01,3.216829842518812987e-01,-3.341368222771760182e-02,-4.627719199369678682e-02,-1.984132909334822004e-01,3.105055099279693809e-01,-7.480918062944975910e-02,-6.482590311824372453e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.984132909334822004e-01,3.105055099279693809e-01,-7.480918062944975910e-02,-6.482590311824372453e-02,-2.112153510896714881e-01,2.952024785103131710e-01,-4.568042298101214482e-02,-8.585707961177535541e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.112153510896714881e-01,2.952024785103131710e-01,-4.568042298101214482e-02,-8.585707961177535541e-02,-2.220446653730878406e-01,2.761941432652299522e-01,-7.204813856245313730e-02,-9.846105159562289211e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.220446653730878406e-01,2.761941432652299522e-01,-7.204813856245313730e-02,-9.846105159562289211e-02,-2.407170474900232060e-01,2.585452371436904873e-01,-1.133915555530072283e-01,-7.837563887632874315e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.407170474900232060e-01,2.585452371436904873e-01,-1.133915555530072283e-01,-7.837563887632874315e-02,-2.657481467205749515e-01,2.444257796059220444e-01,-1.202658449266908458e-01,-5.848942777625283640e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.657481467205749515e-01,2.444257796059220444e-01,-1.202658449266908458e-01,-5.848942777625283640e-02,-2.900068191282725860e-01,2.348946835193714833e-01,-1.214111070646746171e-01,-3.836572305097545044e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.900068191282725860e-01,2.348946835193714833e-01,-1.214111070646746171e-01,-3.836572305097545044e-02,-3.113360234870389265e-01,2.291025549597526800e-01,-8.639284042411103648e-02,-2.885103471902736652e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.113360234870389265e-01,2.291025549597526800e-01,-8.639284042411103648e-02,-2.885103471902736652e-02,-3.277181242732235544e-01,2.213534597828752115e-01,-7.927368213324692547e-02,-4.948650334131909218e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.277181242732235544e-01,2.213534597828752115e-01,-7.927368213324692547e-02,-4.948650334131909218e-02,-3.439908123816236563e-01,2.095552219097980007e-01,-8.083663857788352114e-02,-6.996863243235096341e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.439908123816236563e-01,2.095552219097980007e-01,-8.083663857788352114e-02,-6.996863243235096341e-02,-3.579449016968856423e-01,1.943171594829510851e-01,1.278764178418059436e-02,-7.170711357800906016e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.579449016968856423e-01,1.943171594829510851e-01,1.278764178418059436e-02,-7.170711357800906016e-02,-3.579797219227925931e-01,1.812486739221785270e-01,2.533929716140716475e-03,-5.349517372257910769e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.579797219227925931e-01,1.812486739221785270e-01,2.533929716140716475e-03,-5.349517372257910769e-02,-3.578953631329685470e-01,1.728096390261805448e-01,-1.739708908603053547e-04,-3.344505850540590436e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.578953631329685470e-01,1.728096390261805448e-01,-1.739708908603053547e-04,-3.344505850540590436e-02,-3.578832690935905281e-01,1.683308212766873591e-01,2.189967464682110844e-04,-1.259089749027016321e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.578832690935905281e-01,1.683308212766873591e-01,2.189967464682110844e-04,-1.259089749027016321e-02,-3.578711986175043824e-01,1.678967132806084561e-01,1.194220298904807550e-03,8.875158579545365869e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.578711986175043824e-01,1.678967132806084561e-01,1.194220298904807550e-03,8.875158579545365869e-03,-3.578153953903220885e-01,1.714443178402395018e-01,-2.036633877340965001e-03,2.853131828340817536e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.578153953903220885e-01,1.714443178402395018e-01,-2.036633877340965001e-03,2.853131828340817536e-02,-3.578516889112134391e-01,1.790020107390116466e-01,5.468703756807277109e-04,4.708078646137465323e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.578516889112134391e-01,1.790020107390116466e-01,5.468703756807277109e-04,4.708078646137465323e-02,-3.547969929365588637e-01,1.911045580258717569e-01,3.558410955763038896e-02,6.660929861097136806e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.547969929365588637e-01,1.911045580258717569e-01,3.558410955763038896e-02,6.660929861097136806e-02,-3.497626127625620418e-01,2.067650149775518975e-01,6.791731491605684616e-03,8.864879606309745974e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.497626127625620418e-01,2.067650149775518975e-01,6.791731491605684616e-03,8.864879606309745974e-02,-3.524142794448120730e-01,2.260398820340719095e-01,-3.222427995966945652e-02,9.448291520744114824e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.524142794448120730e-01,2.260398820340719095e-01,-3.222427995966945652e-02,9.448291520744114824e-02,-3.571188439759215294e-01,2.430691846488695906e-01,1.431900536396024009e-03,7.533155370512965854e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.571188439759215294e-01,2.430691846488695906e-01,1.431900536396024009e-03,7.533155370512965854e-02,-3.570244808332824205e-01,2.559998282804433756e-01,-4.411807299407000072e-04,5.449797024982922650e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.570244808332824205e-01,2.559998282804433756e-01,-4.411807299407000072e-04,5.449797024982922650e-02,-3.539985064509395540e-01,2.652450094502948330e-01,3.361546189032951076e-02,3.596755473275291964e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.539985064509395540e-01,2.652450094502948330e-01,3.361546189032951076e-02,3.596755473275291964e-02,-3.431331816678994118e-01,2.700081240421184359e-01,7.456991997449236020e-02,1.356627164239295261e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.431331816678994118e-01,2.700081240421184359e-01,7.456991997449236020e-02,1.356627164239295261e-02,-3.272296647392834434e-01,2.707165050276209017e-01,8.232690530835969078e-02,-7.454531762354167125e-03,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.272296647392834434e-01,2.707165050276209017e-01,8.232690530835969078e-02,-7.454531762354167125e-03,-3.112104195690741371e-01,2.674587206924449179e-01,7.922815674138279640e-02,-2.626405155263436542e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.112104195690741371e-01,2.674587206924449179e-01,7.922815674138279640e-02,-2.626405155263436542e-02,-2.951038037541919845e-01,2.601217211485775671e-01,7.766768092759210318e-02,-4.980771178291814455e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.951038037541919845e-01,2.601217211485775671e-01,7.766768092759210318e-02,-4.980771178291814455e-02,-2.754623071585148297e-01,2.522383873389445474e-01,1.136204938211951843e-01,-2.844738692127815952e-02,2.000000000000000042e-02,2.000000000000000111e-01
