expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-7.900000000000000000e+01,1.798664307594299316e+01,1.174691996946648720e+00,9.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.010383605957031250e+01,2.002004885846380144e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010775899887084961e+01,2.335379968516736238e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010869216918945312e+01,1.717557554058071201e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.240000000000000000e+02,2.707534098625183105e+01,1.719334200351254838e+00,1.350000000000000000e+02
0.000000000000000000e+00,-6.000000000000000000e+01,1.414273309707641602e+01,8.351959528519181664e-01,7.100000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+01,2.020803785324096680e+01,1.151391593655817003e+00,1.010000000000000000e+02
0.000000000000000000e+00,-1.700000000000000000e+01,5.455636978149414062e+00,2.389206176668758896e-01,2.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011151409149169922e+01,1.963245603074854628e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021648693084716797e+01,1.478085877718690933e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+00,3.853265047073364258e+00,1.613960436201408721e-01,2.000000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.639512062072753906e+00,1.766218849665235069e-01,1.400000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.433977127075195312e+00,1.523925473814771170e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.400000000000000000e+01,4.869437932968139648e+00,2.604328441355184820e-01,2.500000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.852814912796020508e+00,2.335152965444658724e-01,2.000000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.273563146591186523e+00,2.767243973580787442e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.071889162063598633e+00,2.143202949424482529e-01,2.600000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.435911893844604492e+00,1.246200884399517733e-01,1.300000000000000000e+01
0.000000000000000000e+00,-3.700000000000000000e+01,9.532932043075561523e+00,4.225414778195242249e-01,4.800000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.056715965270996094e+00,2.045551686775625433e-01,2.100000000000000000e+01
