human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,1.000000000000000000e+00,-3.489634266519425765e-01,1.704479357130647132e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.460082577956367644e-01,1.704029931718653856e-01,3.470371269566567551e-02,-6.405778679078515201e-05,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.460082577956367644e-01,1.704029931718653856e-01,3.470371269566567551e-02,-6.405778679078515201e-05,-3.350387349616922306e-01,1.704130250135608704e-01,7.336677825349281756e-02,5.978115449069986050e-04,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.350387349616922306e-01,1.704130250135608704e-01,7.336677825349281756e-02,5.978115449069986050e-04,-3.160518178827930180e-01,1.704285759263185762e-01,1.129163488760009243e-01,-1.015604776051915684e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.160518178827930180e-01,1.704285759263185762e-01,1.129163488760009243e-01,-1.015604776051915684e-03,-2.908743602506155268e-01,1.702724406501206489e-01,1.218218999625424181e-01,-7.545197298885288929e-04,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.908743602506155268e-01,1.702724406501206489e-01,1.218218999625424181e-01,-7.545197298885288929e-04,-2.695126962661325010e-01,1.714188755729940672e-01,8.627749978269072528e-02,1.421712250272307194e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.695126962661325010e-01,1.714188755729940672e-01,8.627749978269072528e-02,1.421712250272307194e-02,-2.530943992325782599e-01,1.763910776786223045e-01,8.089331911601051195e-02,3.529060331322395050e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.530943992325782599e-01,1.763910776786223045e-01,8.089331911601051195e-02,3.529060331322395050e-02,-2.397012065815447568e-01,1.854566942751253167e-01,4.917413961410217055e-02,5.516156688658863799e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.397012065815447568e-01,1.854566942751253167e-01,4.917413961410217055e-02,5.516156688658863799e-02,-2.311659099865282785e-01,1.992088626977696897e-01,3.938222265273604722e-02,7.763772089776753427e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.311659099865282785e-01,1.992088626977696897e-01,3.938222265273604722e-02,7.763772089776753427e-02,-2.259810155394032238e-01,2.163081929440672235e-01,7.320032515320644417e-03,8.670679371740107333e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.259810155394032238e-01,2.163081929440672235e-01,7.320032515320644417e-03,8.670679371740107333e-02,-2.287183409298500503e-01,2.315295707167968897e-01,-3.520684203142607216e-02,6.628932916881204174e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.287183409298500503e-01,2.315295707167968897e-01,-3.520684203142607216e-02,6.628932916881204174e-02,-2.396459351015245431e-01,2.427569661075108520e-01,-7.571396202384766960e-02,4.442701006099501054e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.396459351015245431e-01,2.427569661075108520e-01,-7.571396202384766960e-02,4.442701006099501054e-02,-2.564730084963394718e-01,2.501464294895456297e-01,-8.151768465107310513e-02,2.993322551772877732e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.564730084963394718e-01,2.501464294895456297e-01,-8.151768465107310513e-02,2.993322551772877732e-02,-2.698051357613736045e-01,2.582610031806428230e-01,-4.611578905557637414e-02,4.918049833106401258e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.698051357613736045e-01,2.582610031806428230e-01,-4.611578905557637414e-02,4.918049833106401258e-02,-2.781367191287712481e-01,2.704444413031766303e-01,-4.219927682039114475e-02,7.178003184808626203e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.781367191287712481e-01,2.704444413031766303e-01,-4.219927682039114475e-02,7.178003184808626203e-02,-2.832973964800344913e-01,2.866743490007733763e-01,-7.464598240872793306e-03,9.128856216763758802e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.832973964800344913e-01,2.866743490007733763e-01,-7.464598240872793306e-03,9.128856216763758802e-02,-2.832494462663690538e-01,3.035253519123869981e-01,4.471597686564929806e-04,7.208749669760368406e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.832494462663690538e-01,3.035253519123869981e-01,4.471597686564929806e-04,7.208749669760368406e-02,-2.831127300274992598e-01,3.156436937836529788e-01,7.039828861311177527e-05,4.991091588664403611e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.831127300274992598e-01,3.156436937836529788e-01,7.039828861311177527e-05,4.991091588664403611e-02,-2.800902619666566506e-01,3.237505807113006395e-01,3.427794657755110774e-02,3.082854474875819026e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.800902619666566506e-01,3.237505807113006395e-01,3.427794657755110774e-02,3.082854474875819026e-02,-2.686121092877999383e-01,3.279319617314572222e-01,7.514864831056936034e-02,1.064977435491745207e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.686121092877999383e-01,3.279319617314572222e-01,7.514864831056936034e-02,1.064977435491745207e-02,-2.522879084061956378e-01,3.277922975955642193e-01,8.097855097698071491e-02,-9.819586493409217937e-03,-2.000000000000000042e-02,0.000000000000000000e+00
