expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.010947895050048828e+01,1.971024820634328822e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010408091545104980e+01,2.264757823895328759e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.900000000000000000e+01,2.000861501693725586e+01,1.173478064446912050e+00,1.000000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010564899444580078e+01,2.108735575462493461e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.300000000000000000e+01,1.273123407363891602e+01,6.415495170781403411e-01,6.400000000000000000e+01
0.000000000000000000e+00,-1.310000000000000000e+02,2.848844504356384277e+01,1.821973751908085859e+00,1.420000000000000000e+02
0.000000000000000000e+00,-1.150000000000000000e+02,2.525761985778808594e+01,1.537929072687100218e+00,1.260000000000000000e+02
0.000000000000000000e+00,-5.500000000000000000e+01,1.313787698745727539e+01,8.793561603612889410e-01,6.600000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.829717874526977539e+00,2.218618118164429887e-01,1.500000000000000000e+01
0.000000000000000000e+00,-5.700000000000000000e+01,1.358347296714782715e+01,9.846080862391418664e-01,6.800000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.840157985687255859e+00,1.377605489935355143e-01,1.500000000000000000e+01
0.000000000000000000e+00,-5.500000000000000000e+01,1.318237781524658203e+01,4.824813905073412901e-01,6.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.055902957916259766e+00,2.068947610183391461e-01,2.100000000000000000e+01
0.000000000000000000e+00,-2.300000000000000000e+01,6.694816112518310547e+00,3.048842827164765512e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.679417133331298828e+00,3.098041600254582417e-01,2.900000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.231917858123779297e+00,1.507931416477044095e-01,1.200000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.257706880569458008e+00,2.093131124354950245e-01,2.200000000000000000e+01
0.000000000000000000e+00,-8.800000000000000000e+01,1.987214398384094238e+01,8.019638697807870420e-01,9.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021725487709045410e+01,1.331677257819031013e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021386790275573730e+01,1.223655362282032755e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021433091163635254e+01,1.167672147744608369e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.100000000000000000e+01,1.034308195114135742e+01,4.407228234044533455e-01,5.200000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01,8.925157070159912109e+00,4.299216745010530638e-01,4.500000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.840731143951416016e+00,2.073375404818130208e-01,1.500000000000000000e+01
0.000000000000000000e+00,-3.600000000000000000e+01,9.328348875045776367e+00,3.456013936937187281e-01,4.700000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.434677839279174805e+00,1.286140305784061744e-01,1.300000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.041825056076049805e+00,2.124685287166408754e-01,1.600000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.246182918548583984e+00,1.623655700156988735e-01,1.700000000000000000e+01
0.000000000000000000e+00,-6.700000000000000000e+01,1.561565303802490234e+01,6.449067303112352434e-01,7.800000000000000000e+01
0.000000000000000000e+00,-1.330000000000000000e+02,2.899453806877136230e+01,1.156100400815915252e+00,1.440000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.827024936676025391e+00,1.108559426653771829e-01,1.000000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e+00,1.014618158340454102e+00,7.732062565671393717e-02,6.000000000000000000e+00
0.000000000000000000e+00,-6.800000000000000000e+01,1.582132077217102051e+01,7.156142610738401855e-01,7.900000000000000000e+01
0.000000000000000000e+00,-5.500000000000000000e+01,1.318118309974670410e+01,5.264920400262623756e-01,6.600000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.448673009872436523e+00,2.191213816228993194e-01,1.800000000000000000e+01
0.000000000000000000e+00,6.000000000000000000e+00,8.122348785400390625e-01,8.449240981125745453e-02,5.000000000000000000e+00
0.000000000000000000e+00,-4.800000000000000000e+01,1.176130104064941406e+01,4.991525664035983967e-01,5.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021422696113586426e+01,1.127505753123428489e+00,1.500000000000000000e+02
0.000000000000000000e+00,5.000000000000000000e+00,1.015470981597900391e+00,9.838930120394405454e-02,6.000000000000000000e+00
