human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,1.000000000000000000e+00,-1.893036665048605238e-01,3.263047031665252118e-01,-3.831747609364723217e-05,-2.663832250519107200e-02,-1.893562846973009806e-01,3.186925927468111097e-01,7.373244732875464461e-04,-4.722621195456759569e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.893562846973009806e-01,3.186925927468111097e-01,7.373244732875464461e-04,-4.722621195456759569e-02,-1.922225830357890131e-01,3.073025130205003230e-01,-3.235487944609016786e-02,-6.843928085606555689e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.922225830357890131e-01,3.073025130205003230e-01,-3.235487944609016786e-02,-6.843928085606555689e-02,-2.029690141943226167e-01,2.918309584583912986e-01,-7.259640560734752224e-02,-8.758876090440177731e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.029690141943226167e-01,2.918309584583912986e-01,-7.259640560734752224e-02,-8.758876090440177731e-02,-2.216388139438071336e-01,2.724133797882413166e-01,-1.131338509539437376e-01,-1.039352741514961292e-01,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.216388139438071336e-01,2.724133797882413166e-01,-1.131338509539437376e-01,-1.039352741514961292e-01,-2.466848835291703401e-01,2.529245942991842355e-01,-1.205921862373726255e-01,-8.424238817988605188e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.466848835291703401e-01,2.529245942991842355e-01,-1.205921862373726255e-01,-8.424238817988605188e-02,-2.738730672240086150e-01,2.382529531743382833e-01,-1.554043012708371252e-01,-6.529220711408624533e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.738730672240086150e-01,2.382529531743382833e-01,-1.554043012708371252e-01,-6.529220711408624533e-02,-3.090985311888725939e-01,2.274511753691579041e-01,-1.947134921272618002e-01,-4.521638441305751016e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.090985311888725939e-01,2.274511753691579041e-01,-1.947134921272618002e-01,-4.521638441305751016e-02,-3.488803562897150323e-01,2.206227283506378700e-01,-1.977796881764453951e-01,-2.595091081942689157e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.488803562897150323e-01,2.206227283506378700e-01,-1.977796881764453951e-01,-2.595091081942689157e-02,-3.636079841034705606e-01,2.179970693803498227e-01,2.871229218108073064e-02,-7.610313334106928382e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.636079841034705606e-01,2.179970693803498227e-01,2.871229218108073064e-02,-7.610313334106928382e-04,-3.542279355070100388e-01,2.197759035961513729e-01,6.840282163165052609e-02,1.951352107974879679e-02,2.000000000000000042e-02,2.000000000000000111e-01
