expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.010812497138977051e+01,2.593363126505471961e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.050898218154907227e+01,6.245969039939537337e-01,5.300000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+01,1.818429112434387207e+01,1.093163175535786236e+00,9.100000000000000000e+01
0.000000000000000000e+00,-6.200000000000000000e+01,1.454923892021179199e+01,8.974586109881778073e-01,7.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011082601547241211e+01,2.471850236110254340e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011198687553405762e+01,2.452949079482006134e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010777211189270020e+01,2.134338457876499451e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.100000000000000000e+01,4.243396043777465820e+00,3.101236517238385448e-01,2.200000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+01,1.010403108596801758e+01,6.113665159103939262e-01,5.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021490406990051270e+01,2.174546267933355814e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021541500091552734e+01,2.104569471637875555e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021501708030700684e+01,1.593970204431307769e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021842098236083984e+01,1.443410616825189008e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021468997001647949e+01,1.846551783797291790e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021509003639221191e+01,1.743711284043062859e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021424412727355957e+01,1.806102176331374487e+00,1.500000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+00,1.217577934265136719e+00,1.047485000535245819e-01,7.000000000000000000e+00
0.000000000000000000e+00,-1.500000000000000000e+02,3.021579599380493164e+01,1.247117422576768941e+00,1.500000000000000000e+02
0.000000000000000000e+00,5.000000000000000000e+00,1.016143083572387695e+00,7.881347544373777658e-02,6.000000000000000000e+00
0.000000000000000000e+00,-1.500000000000000000e+02,3.021436405181884766e+01,1.811058958997435298e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021414208412170410e+01,2.415049946587625396e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021835398674011230e+01,2.005579221845017024e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021511483192443848e+01,1.293698086566619887e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021705293655395508e+01,1.284501016589073119e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021193218231201172e+01,1.328735187670170736e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.022014403343200684e+01,1.687668389712045913e+00,1.500000000000000000e+02
