human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-3.485026538014525110e-01,3.300278207050479362e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.485115869352389262e-01,3.300202621887129428e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.485115869352389262e-01,3.300202621887129428e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.485071919804701990e-01,3.300181583388792084e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.485071919804701990e-01,3.300181583388792084e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.457402906530903097e-01,3.299482129135321573e-01,3.454578593223293220e-02,-5.481576477081549770e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.457402906530903097e-01,3.299482129135321573e-01,3.454578593223293220e-02,-5.481576477081549770e-04,-3.341881020823335158e-01,3.299093240616252642e-01,7.655983235175140011e-02,-6.124489484730689937e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.341881020823335158e-01,3.299093240616252642e-01,7.655983235175140011e-02,-6.124489484730689937e-04,-3.148914355044206692e-01,3.297210990226535632e-01,1.144835181582310596e-01,-1.253116838001504208e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.148914355044206692e-01,3.297210990226535632e-01,1.144835181582310596e-01,-1.253116838001504208e-03,-2.904710229111199804e-01,3.295125928489639477e-01,1.224402960960351838e-01,-2.413516796862552496e-04,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.904710229111199804e-01,3.295125928489639477e-01,1.224402960960351838e-01,-2.413516796862552496e-04,-2.661028861626965059e-01,3.292870991796044144e-01,1.222282833348092151e-01,-1.654383382825539220e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.661028861626965059e-01,3.292870991796044144e-01,1.222282833348092151e-01,-1.654383382825539220e-03,-2.437117539641363018e-01,3.291560162256429445e-01,8.820233259659268632e-02,-7.288700616756862115e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.437117539641363018e-01,3.291560162256429445e-01,8.820233259659268632e-02,-7.288700616756862115e-04,-2.245249965969371986e-01,3.290507556254307908e-01,1.142518846949973077e-01,-2.363628289235686721e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.245249965969371986e-01,3.290507556254307908e-01,1.142518846949973077e-01,-2.363628289235686721e-04,-2.031050295606078304e-01,3.288723712628382478e-01,8.724970541729626383e-02,5.942951687984310716e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.031050295606078304e-01,3.288723712628382478e-01,8.724970541729626383e-02,5.942951687984310716e-04,-1.836182725557142792e-01,3.287356338861576743e-01,1.136816779900428620e-01,-8.841583007398803873e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.836182725557142792e-01,3.287356338861576743e-01,1.136816779900428620e-01,-8.841583007398803873e-04,-1.761588715881245437e-01,3.287439810952889063e-01,2.429142943022153875e-03,2.380414349117063351e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.761588715881245437e-01,3.287439810952889063e-01,2.429142943022153875e-03,2.380414349117063351e-03,-1.791580046782534352e-01,3.287383520375907198e-01,-3.570606622172759620e-02,6.997526258990706275e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.791580046782534352e-01,3.287383520375907198e-01,-3.570606622172759620e-02,6.997526258990706275e-04,-1.900535495452339851e-01,3.286550029397912187e-01,-7.431147475848386141e-02,-2.813819570231447954e-04,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.900535495452339851e-01,3.286550029397912187e-01,-7.431147475848386141e-02,-2.813819570231447954e-04,-2.098801712455106439e-01,3.284997923091269589e-01,-1.163901815217753544e-01,-1.204231815076717543e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.098801712455106439e-01,3.284997923091269589e-01,-1.163901815217753544e-01,-1.204231815076717543e-03,-2.342621394333581630e-01,3.282989168672773017e-01,-1.215041468563215349e-01,-1.241732686145583658e-03,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.342621394333581630e-01,3.282989168672773017e-01,-1.215041468563215349e-01,-1.241732686145583658e-03,-2.557190814373193621e-01,3.280188498090347848e-01,-8.757067712509045143e-02,-5.842044728226914764e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.557190814373193621e-01,3.280188498090347848e-01,-8.757067712509045143e-02,-5.842044728226914764e-03,-2.748565898370840532e-01,3.249119709992092098e-01,-1.149769731060419353e-01,-2.542430851410727374e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.748565898370840532e-01,3.249119709992092098e-01,-1.149769731060419353e-01,-2.542430851410727374e-02,-2.975123905002128311e-01,3.173400251211835887e-01,-8.931798226459052026e-02,-4.568999657499130812e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.975123905002128311e-01,3.173400251211835887e-01,-8.931798226459052026e-02,-4.568999657499130812e-02,-3.140828906447703517e-01,3.060574439116026668e-01,-8.286678586907000876e-02,-6.638097262354515637e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.140828906447703517e-01,3.060574439116026668e-01,-8.286678586907000876e-02,-6.638097262354515637e-02,-3.277477193991582549e-01,2.907830953092905291e-01,-4.875164321232679232e-02,-8.492618623513296938e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.277477193991582549e-01,2.907830953092905291e-01,-4.875164321232679232e-02,-8.492618623513296938e-02,-3.391311418243774800e-01,2.730506901334229797e-01,-7.651445466985709598e-02,-8.253278964273051688e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.391311418243774800e-01,2.730506901334229797e-01,-7.651445466985709598e-02,-8.253278964273051688e-02,-3.538076268971175331e-01,2.581760068464930002e-01,-5.286184456657035124e-02,-5.990403992056820420e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.538076268971175331e-01,2.581760068464930002e-01,-5.286184456657035124e-02,-5.990403992056820420e-02,-3.600660451014923158e-01,2.480008968312715778e-01,-5.499732386535860842e-04,-4.118239251559852043e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.600660451014923158e-01,2.480008968312715778e-01,-5.499732386535860842e-04,-4.118239251559852043e-02,-3.599556509328171172e-01,2.419895735959458893e-01,6.285725548638423574e-04,-2.012826314777435219e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.599556509328171172e-01,2.419895735959458893e-01,6.285725548638423574e-04,-2.012826314777435219e-02,-3.599661394890727451e-01,2.399195780532573097e-01,1.028373219179897933e-03,5.848867790403573536e-05,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.599661394890727451e-01,2.399195780532573097e-01,1.028373219179897933e-03,5.848867790403573536e-05,-3.600111044553515605e-01,2.419376144636301296e-01,6.337197517803996871e-04,1.994944202214740323e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.600111044553515605e-01,2.419376144636301296e-01,6.337197517803996871e-04,1.994944202214740323e-02,-3.599766927601732447e-01,2.480743208911888598e-01,5.965255673461685110e-04,4.162306426233648021e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.599766927601732447e-01,2.480743208911888598e-01,5.965255673461685110e-04,4.162306426233648021e-02,-3.598895723687274839e-01,2.581890036424284718e-01,1.107048833959403070e-03,5.929729832625355718e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.598895723687274839e-01,2.581890036424284718e-01,1.107048833959403070e-03,5.929729832625355718e-02,-3.597673996879174330e-01,2.722402942990775343e-01,1.083579776568580370e-03,8.175968695974815403e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.597673996879174330e-01,2.722402942990775343e-01,1.083579776568580370e-03,8.175968695974815403e-02,-3.567570417085427215e-01,2.890490854605723414e-01,3.417958294137240366e-02,7.202681905459183687e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.567570417085427215e-01,2.890490854605723414e-01,3.417958294137240366e-02,7.202681905459183687e-02,-3.486874399018031201e-01,3.013326100693666243e-01,4.065066620709092970e-02,5.302546052698294682e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.486874399018031201e-01,3.013326100693666243e-01,4.065066620709092970e-02,5.302546052698294682e-02,-3.435047587271599090e-01,3.096731104799697043e-01,6.307103503282617506e-03,3.152032099010107502e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.435047587271599090e-01,3.096731104799697043e-01,6.307103503282617506e-03,3.152032099010107502e-02,-3.463262673544663661e-01,3.139844456556781238e-01,-3.541062713269896994e-02,8.630145519389249148e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.463262673544663661e-01,3.139844456556781238e-01,-3.541062713269896994e-02,8.630145519389249148e-03,-3.577598865941501449e-01,3.141993133057773280e-01,-7.593843108808266684e-02,-9.844430519738132240e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.577598865941501449e-01,3.141993133057773280e-01,-7.593843108808266684e-02,-9.844430519738132240e-03,-3.609762890837852067e-01,3.102741856532720832e-01,2.269721858508875253e-03,-2.773463092645838193e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.609762890837852067e-01,3.102741856532720832e-01,2.269721858508875253e-03,-2.773463092645838193e-02,-3.609328632249462765e-01,3.031272187600448920e-01,1.776297139555733104e-03,-3.167932024680206876e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.609328632249462765e-01,3.031272187600448920e-01,1.776297139555733104e-03,-3.167932024680206876e-02,-3.580173475342581235e-01,2.985249220627057554e-01,3.564500587390045938e-02,-1.198772532712378235e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.580173475342581235e-01,2.985249220627057554e-01,3.564500587390045938e-02,-1.198772532712378235e-02,-3.494580084321228242e-01,2.980480535670723130e-01,4.321443474413731722e-02,7.540365437068065162e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.494580084321228242e-01,2.980480535670723130e-01,4.321443474413731722e-02,7.540365437068065162e-03,-3.439328179833440746e-01,3.017881514186801506e-01,8.013373244333717171e-03,2.713830804305985070e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.439328179833440746e-01,3.017881514186801506e-01,8.013373244333717171e-03,2.713830804305985070e-02,-3.407634221873294678e-01,3.094239477174827169e-01,3.549100502425654030e-02,4.771476347308464816e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.407634221873294678e-01,3.094239477174827169e-01,3.549100502425654030e-02,4.771476347308464816e-02,-3.323615037485178059e-01,3.211133029504570358e-01,4.321306286011579456e-02,6.835699859621217900e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.323615037485178059e-01,3.211133029504570358e-01,4.321306286011579456e-02,6.835699859621217900e-02,-3.207245693135068465e-01,3.374249665139278931e-01,7.680889550336195137e-02,8.930847948541738301e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.207245693135068465e-01,3.374249665139278931e-01,7.680889550336195137e-02,8.930847948541738301e-02,-3.014259798267482360e-01,3.426497616320192119e-01,1.149264803707050336e-01,-3.419029941912941819e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.014259798267482360e-01,3.426497616320192119e-01,1.149264803707050336e-01,-3.419029941912941819e-03,-2.742388965276239543e-01,3.422422549666124802e-01,1.559073080623086804e-01,-4.387813413526116084e-03,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.742388965276239543e-01,3.422422549666124802e-01,1.559073080623086804e-01,-4.387813413526116084e-03,-2.447698605811398642e-01,3.417998042185891872e-01,1.280134970841891318e-01,-6.703685303347200683e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.447698605811398642e-01,3.417998042185891872e-01,1.280134970841891318e-01,-6.703685303347200683e-03,-2.225933733061254693e-01,3.380789968513395194e-01,8.683345858442191589e-02,-2.874729865804220505e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
